,Essential Three,Furiosa,Swinging George,Feelin Flirty,Rolled In Gold,Beau Hart,Barroom Blitz,Imajiva
08-12-2022 12:32:21.425993,"(31.0, 70.0, 65.33333333333334)","(8.5, 14.5, 12.166666666666666)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 17.833333333333336)","(1.5, 1.85, 1.7858333333333334)","(101.0, 400.0, 342.0)","(6.0, 9.2, 8.32)","(18.0, 27.0, 25.5)"
08-12-2022 12:32:22.573141,"(31.0, 70.0, 65.33333333333334)","(8.5, 14.5, 13.961538461538462)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 16.4)","(1.5, 1.85, 1.7858333333333334)","(101.0, 400.0, 342.0)","(6.0, 9.2, 8.32)","(18.0, 27.0, 25.5)"
08-12-2022 12:32:23.675392,"(31.0, 70.0, 65.6923076923077)","(8.5, 14.5, 12.166666666666666)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 17.125)","(1.5, 1.85, 1.7858333333333334)","(101.0, 400.0, 342.0)","(6.0, 9.2, 8.32)","(18.0, 27.0, 23.6)"
08-12-2022 12:32:24.833422,"(31.0, 70.0, 65.6923076923077)","(8.5, 14.5, 13.961538461538462)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 16.4)","(1.5, 1.85, 1.7858333333333334)","(101.0, 400.0, 342.0)","(6.0, 9.2, 8.32)","(18.0, 27.0, 20.666666666666668)"
08-12-2022 12:32:25.937369,"(31.0, 70.0, 51.333333333333336)","(8.5, 14.5, 14.195652173913043)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 16.4)","(1.5, 1.85, 1.7858333333333334)","(101.0, 400.0, 342.0)","(6.0, 9.2, 8.32)","(18.0, 27.0, 20.666666666666668)"
08-12-2022 12:32:26.945560,"(31.0, 70.0, 51.333333333333336)","(8.5, 14.5, 13.3)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 16.4)","(1.5, 1.85, 1.7858333333333334)","(101.0, 400.0, 342.0)","(6.0, 9.2, 8.32)","(18.0, 27.0, 25.53846153846154)"
08-12-2022 12:32:27.995602,"(31.0, 70.0, 51.333333333333336)","(8.5, 15.0, 13.6)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 16.4)","(1.5, 1.85, 1.7858333333333334)","(101.0, 400.0, 342.0)","(6.0, 9.2, 8.32)","(18.0, 27.0, 23.4)"
08-12-2022 12:32:29.000408,"(31.0, 70.0, 51.333333333333336)","(8.5, 15.0, 13.6)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 16.4)","(1.5, 1.85, 1.7858333333333334)","(101.0, 400.0, 342.0)","(6.0, 9.2, 8.32)","(18.0, 27.0, 23.4)"
08-12-2022 12:32:30.011655,"(31.0, 70.0, 51.333333333333336)","(8.5, 15.0, 13.6)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 17.125)","(1.5, 1.85, 1.7858333333333334)","(101.0, 400.0, 342.0)","(6.0, 9.2, 7.824999999999999)","(18.0, 27.0, 20.666666666666668)"
08-12-2022 12:32:31.054012,"(31.0, 70.0, 51.333333333333336)","(8.5, 15.0, 13.6)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 17.125)","(1.5, 1.85, 1.7858333333333334)","(101.0, 400.0, 342.0)","(6.0, 9.2, 7.824999999999999)","(18.0, 27.0, 25.53846153846154)"
08-12-2022 12:32:32.142970,"(31.0, 70.0, 51.333333333333336)","(8.5, 15.0, 13.6)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 16.4)","(1.5, 1.85, 1.7858333333333334)","(101.0, 400.0, 342.0)","(6.0, 9.2, 7.824999999999999)","(18.0, 27.0, 25.53846153846154)"
08-12-2022 12:32:33.237952,"(31.0, 70.0, 51.333333333333336)","(8.5, 15.0, 13.6)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 16.4)","(1.5, 1.85, 1.7858333333333334)","(101.0, 400.0, 342.0)","(6.0, 9.2, 7.824999999999999)","(18.0, 27.0, 25.53846153846154)"
08-12-2022 12:32:34.306476,"(31.0, 70.0, 51.333333333333336)","(8.5, 15.0, 13.6)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 16.4)","(1.5, 1.85, 1.7858333333333334)","(101.0, 400.0, 342.0)","(6.0, 9.2, 7.824999999999999)","(18.0, 27.0, 20.666666666666668)"
08-12-2022 12:32:35.328100,"(31.0, 70.0, 51.333333333333336)","(8.5, 15.0, 13.6)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 17.125)","(1.5, 1.85, 1.7858333333333334)","(101.0, 400.0, 342.0)","(6.0, 9.2, 7.824999999999999)","(18.0, 27.0, 20.666666666666668)"
08-12-2022 12:32:36.439649,"(31.0, 70.0, 51.333333333333336)","(8.5, 15.0, 13.6)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 17.125)","(1.5, 1.85, 1.7858333333333334)","(101.0, 400.0, 342.0)","(6.0, 9.2, 7.824999999999999)","(18.0, 27.0, 23.4)"
08-12-2022 12:32:37.501951,"(31.0, 70.0, 51.333333333333336)","(8.5, 15.0, 13.6)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 17.833333333333336)","(1.5, 1.85, 1.7858333333333334)","(101.0, 400.0, 343.3333333333333)","(6.0, 9.2, 7.824999999999999)","(18.0, 27.0, 23.4)"
08-12-2022 12:32:38.587587,"(31.0, 70.0, 51.333333333333336)","(8.5, 15.0, 13.6)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 18.363636363636363)","(1.5, 1.85, 1.7858333333333334)","(101.0, 390.0, 345.0)","(6.0, 9.2, 7.824999999999999)","(18.0, 27.0, 23.4)"
08-12-2022 12:32:39.695530,"(31.0, 70.0, 60.66666666666667)","(8.5, 15.0, 13.6)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 15.75)","(1.5, 1.85, 1.7858333333333334)","(101.0, 390.0, 360.0)","(6.0, 9.2, 7.824999999999999)","(18.0, 27.0, 23.4)"
08-12-2022 12:32:40.779105,"(31.0, 70.0, 60.66666666666667)","(8.5, 15.0, 13.6)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 17.142857142857142)","(1.5, 1.85, 1.7858333333333334)","(101.0, 390.0, 360.0)","(6.0, 9.2, 7.824999999999999)","(18.0, 27.0, 23.4)"
08-12-2022 12:32:41.856857,"(31.0, 70.0, 60.66666666666667)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 17.142857142857142)","(1.5, 1.85, 1.7858333333333334)","(101.0, 390.0, 366.3636363636364)","(6.0, 9.2, 7.824999999999999)","(18.0, 27.0, 20.666666666666668)"
