,No Complaints,Really Royal,Dusty Country,Over Load,So You Sing,County Mist,Disney Cool
06-01-2023 13:35:58.286085,"(3.3, 5.5, 3.7967741935483867)","(5.0, 12.0, 6.15)","(2.7, 4.2, 2.87)","(18.0, 55.0, 37.5)","(17.0, 50.0, 32.75)","(3.5, 5.1, 3.722222222222222)","(31.0, 180.0, 120.76923076923077)"
06-01-2023 13:35:59.286729,"(3.3, 5.5, 3.7967741935483867)","(5.0, 12.0, 6.15)","(2.7, 4.2, 2.87)","(18.0, 55.0, 40.22727272727273)","(17.0, 50.0, 32.75)","(3.5, 5.1, 3.722222222222222)","(31.0, 180.0, 120.76923076923077)"
06-01-2023 13:36:00.337674,"(3.3, 5.5, 3.7967741935483867)","(5.0, 12.0, 6.15)","(2.7, 4.2, 2.87)","(18.0, 60.0, 40.22727272727273)","(17.0, 50.0, 32.75)","(3.5, 5.1, 3.722222222222222)","(31.0, 180.0, 120.76923076923077)"
06-01-2023 13:36:01.301433,"(3.3, 5.5, 3.7967741935483867)","(5.0, 12.0, 6.15)","(2.7, 4.2, 2.87)","(18.0, 60.0, 40.22727272727273)","(17.0, 50.0, 32.75)","(3.5, 5.1, 3.722222222222222)","(31.0, 180.0, 120.76923076923077)"
06-01-2023 13:36:02.227041,"(3.3, 5.5, 3.7967741935483867)","(5.0, 12.0, 6.15)","(2.7, 4.2, 2.87)","(18.0, 60.0, 40.22727272727273)","(17.0, 50.0, 32.75)","(3.5, 5.1, 3.722222222222222)","(31.0, 180.0, 120.76923076923077)"
06-01-2023 13:36:03.263498,"(3.3, 5.5, 3.7967741935483867)","(5.0, 12.0, 6.15)","(2.7, 4.2, 2.87)","(18.0, 60.0, 40.22727272727273)","(17.0, 50.0, 32.75)","(3.5, 5.1, 3.722222222222222)","(31.0, 180.0, 120.76923076923077)"
06-01-2023 13:36:04.334498,"(3.3, 5.5, 3.7967741935483867)","(5.0, 12.0, 6.15)","(2.7, 4.2, 2.87)","(18.0, 60.0, 40.22727272727273)","(17.0, 50.0, 32.75)","(3.5, 5.1, 3.722222222222222)","(31.0, 180.0, 120.76923076923077)"
06-01-2023 13:36:05.403729,"(3.3, 5.5, 3.7967741935483867)","(5.0, 12.0, 6.15)","(2.7, 4.2, 2.87)","(18.0, 60.0, 40.22727272727273)","(17.0, 50.0, 32.75)","(3.5, 5.1, 3.722222222222222)","(31.0, 180.0, 120.76923076923077)"
06-01-2023 13:36:06.499655,"(3.3, 5.5, 3.7967741935483867)","(5.0, 12.0, 6.15)","(2.7, 4.2, 2.87)","(18.0, 60.0, 40.22727272727273)","(17.0, 50.0, 32.75)","(3.5, 5.1, 3.722222222222222)","(31.0, 180.0, 120.76923076923077)"
06-01-2023 13:36:07.554231,"(3.3, 5.5, 3.7967741935483867)","(5.0, 12.0, 6.15)","(2.7, 4.2, 2.87)","(18.0, 60.0, 40.22727272727273)","(17.0, 50.0, 32.75)","(3.5, 5.1, 3.722222222222222)","(31.0, 180.0, 120.76923076923077)"
06-01-2023 13:36:08.531503,"(3.3, 5.5, 3.7967741935483867)","(5.0, 12.0, 6.15)","(2.7, 4.2, 2.87)","(18.0, 60.0, 40.22727272727273)","(17.0, 50.0, 32.75)","(3.5, 5.1, 3.722222222222222)","(31.0, 180.0, 120.76923076923077)"
06-01-2023 13:36:09.519265,"(3.3, 5.5, 3.7967741935483867)","(5.0, 12.0, 6.15)","(2.7, 4.2, 2.87)","(18.0, 60.0, 40.22727272727273)","(17.0, 50.0, 32.75)","(3.5, 5.1, 3.722222222222222)","(31.0, 180.0, 120.76923076923077)"
06-01-2023 13:36:10.509929,"(3.3, 5.5, 3.7967741935483867)","(5.0, 12.0, 6.15)","(2.7, 4.2, 2.87)","(18.0, 60.0, 40.22727272727273)","(17.0, 50.0, 32.75)","(3.5, 5.1, 3.722222222222222)","(31.0, 180.0, 120.76923076923077)"
06-01-2023 13:36:11.569920,"(3.3, 5.5, 3.7967741935483867)","(5.0, 12.0, 6.15)","(2.7, 4.2, 2.87)","(18.0, 60.0, 40.22727272727273)","(17.0, 50.0, 32.75)","(3.5, 5.1, 3.722222222222222)","(31.0, 180.0, 120.76923076923077)"
06-01-2023 13:36:12.547428,"(3.3, 5.5, 3.7967741935483867)","(5.0, 12.0, 10.2)","(2.7, 4.2, 2.87)","(18.0, 60.0, 40.22727272727273)","(17.0, 50.0, 32.75)","(3.5, 5.1, 3.722222222222222)","(31.0, 180.0, 120.76923076923077)"
06-01-2023 13:36:13.455300,"(3.3, 5.5, 3.7967741935483867)","(5.0, 12.0, 10.2)","(2.7, 4.2, 2.87)","(18.0, 60.0, 40.22727272727273)","(17.0, 50.0, 32.75)","(3.5, 5.1, 3.722222222222222)","(31.0, 180.0, 120.76923076923077)"
06-01-2023 13:36:14.472500,"(3.3, 5.5, 3.7967741935483867)","(5.0, 12.0, 9.910714285714285)","(2.7, 4.2, 2.87)","(18.0, 60.0, 38.5)","(17.0, 50.0, 32.75)","(3.5, 5.1, 3.722222222222222)","(31.0, 180.0, 120.76923076923077)"
06-01-2023 13:36:15.500010,"(3.3, 5.5, 3.7967741935483867)","(5.0, 12.0, 9.910714285714285)","(2.7, 4.2, 2.87)","(18.0, 60.0, 38.5)","(17.0, 50.0, 32.75)","(3.5, 5.1, 3.722222222222222)","(31.0, 180.0, 120.76923076923077)"
