,Lektra Dish,Zambora Nut,Thai Time,My Maximus,Rock Me Mama,Impactus,Call Me Thor
10-01-2023 16:20:42.286305,"(12.0, 34.0, 29.108695652173914)","(1.8, 2.66, 1.8614285714285714)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:20:43.765577,"(12.0, 34.0, 29.108695652173914)","(1.8, 2.66, 1.8614285714285714)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:20:45.142539,"(12.0, 34.0, 29.108695652173914)","(1.8, 2.66, 1.8614285714285714)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:20:46.491194,"(12.0, 34.0, 29.108695652173914)","(1.8, 2.66, 1.8358333333333334)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:20:47.808268,"(12.0, 34.0, 29.108695652173914)","(1.8, 2.66, 1.8358333333333334)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:20:49.126638,"(12.0, 34.0, 29.108695652173914)","(1.8, 2.66, 1.8358333333333334)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:20:50.656186,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.8358333333333334)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:20:51.827772,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.8358333333333334)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:20:53.564604,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.8358333333333334)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:20:55.304854,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.8358333333333334)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
