,Ziggey,Star Lilly,Sunnie Beach,Rattlin Lilly,Novel Approach,Ryleeorielly,Ourcaribbeancruise,American Dutchess,Diamond Dance Nz,Octavia
0,"[datetime.datetime(2022, 11, 28, 16, 27, 11, 464346), 31.0, 100.0]","[datetime.datetime(2022, 11, 28, 16, 27, 11, 464346), 2.8, 5.1]","[datetime.datetime(2022, 11, 28, 16, 27, 11, 464346), 11.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 27, 11, 464346), 1.6, 2.3]","[datetime.datetime(2022, 11, 28, 16, 27, 11, 464346), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 27, 11, 464346), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 16, 27, 11, 464346), 71.0, 310.0]","[datetime.datetime(2022, 11, 28, 16, 27, 11, 464346), 19.0, 44.0]","[datetime.datetime(2022, 11, 28, 16, 27, 11, 464346), 15.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 27, 11, 464346), 101.0, 390.0]"
1,"[datetime.datetime(2022, 11, 28, 16, 27, 12, 743799), 31.0, 100.0]","[datetime.datetime(2022, 11, 28, 16, 27, 12, 743799), 2.8, 5.1]","[datetime.datetime(2022, 11, 28, 16, 27, 12, 743799), 11.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 27, 12, 743799), 1.6, 2.3]","[datetime.datetime(2022, 11, 28, 16, 27, 12, 743799), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 27, 12, 743799), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 16, 27, 12, 743799), 71.0, 310.0]","[datetime.datetime(2022, 11, 28, 16, 27, 12, 743799), 19.0, 44.0]","[datetime.datetime(2022, 11, 28, 16, 27, 12, 743799), 15.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 27, 12, 743799), 101.0, 390.0]"
2,"[datetime.datetime(2022, 11, 28, 16, 27, 14, 26955), 31.0, 100.0]","[datetime.datetime(2022, 11, 28, 16, 27, 14, 26955), 2.8, 5.1]","[datetime.datetime(2022, 11, 28, 16, 27, 14, 26955), 11.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 27, 14, 26955), 1.6, 2.3]","[datetime.datetime(2022, 11, 28, 16, 27, 14, 26955), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 27, 14, 26955), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 16, 27, 14, 26955), 71.0, 310.0]","[datetime.datetime(2022, 11, 28, 16, 27, 14, 26955), 19.0, 44.0]","[datetime.datetime(2022, 11, 28, 16, 27, 14, 26955), 15.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 27, 14, 26955), 101.0, 390.0]"
3,"[datetime.datetime(2022, 11, 28, 16, 27, 15, 294503), 31.0, 100.0]","[datetime.datetime(2022, 11, 28, 16, 27, 15, 294503), 2.8, 5.1]","[datetime.datetime(2022, 11, 28, 16, 27, 15, 294503), 11.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 27, 15, 294503), 1.6, 2.3]","[datetime.datetime(2022, 11, 28, 16, 27, 15, 294503), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 27, 15, 294503), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 16, 27, 15, 294503), 71.0, 310.0]","[datetime.datetime(2022, 11, 28, 16, 27, 15, 294503), 19.0, 44.0]","[datetime.datetime(2022, 11, 28, 16, 27, 15, 294503), 15.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 27, 15, 294503), 101.0, 390.0]"
4,"[datetime.datetime(2022, 11, 28, 16, 27, 16, 560754), 31.0, 100.0]","[datetime.datetime(2022, 11, 28, 16, 27, 16, 560754), 2.8, 5.1]","[datetime.datetime(2022, 11, 28, 16, 27, 16, 560754), 11.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 27, 16, 560754), 1.6, 2.3]","[datetime.datetime(2022, 11, 28, 16, 27, 16, 560754), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 27, 16, 560754), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 16, 27, 16, 560754), 71.0, 310.0]","[datetime.datetime(2022, 11, 28, 16, 27, 16, 560754), 19.0, 44.0]","[datetime.datetime(2022, 11, 28, 16, 27, 16, 560754), 15.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 27, 16, 560754), 101.0, 390.0]"
5,"[datetime.datetime(2022, 11, 28, 16, 27, 17, 894011), 31.0, 100.0]","[datetime.datetime(2022, 11, 28, 16, 27, 17, 894011), 2.8, 5.1]","[datetime.datetime(2022, 11, 28, 16, 27, 17, 894011), 11.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 27, 17, 894011), 1.6, 2.3]","[datetime.datetime(2022, 11, 28, 16, 27, 17, 894011), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 27, 17, 894011), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 16, 27, 17, 894011), 71.0, 310.0]","[datetime.datetime(2022, 11, 28, 16, 27, 17, 894011), 19.0, 44.0]","[datetime.datetime(2022, 11, 28, 16, 27, 17, 894011), 15.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 27, 17, 894011), 101.0, 390.0]"
6,"[datetime.datetime(2022, 11, 28, 16, 27, 19, 227404), 31.0, 100.0]","[datetime.datetime(2022, 11, 28, 16, 27, 19, 227404), 2.8, 5.1]","[datetime.datetime(2022, 11, 28, 16, 27, 19, 227404), 11.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 27, 19, 227404), 1.6, 2.3]","[datetime.datetime(2022, 11, 28, 16, 27, 19, 227404), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 27, 19, 227404), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 16, 27, 19, 227404), 71.0, 310.0]","[datetime.datetime(2022, 11, 28, 16, 27, 19, 227404), 19.0, 44.0]","[datetime.datetime(2022, 11, 28, 16, 27, 19, 227404), 15.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 27, 19, 227404), 101.0, 390.0]"
7,"[datetime.datetime(2022, 11, 28, 16, 27, 20, 553590), 31.0, 100.0]","[datetime.datetime(2022, 11, 28, 16, 27, 20, 553590), 2.8, 5.1]","[datetime.datetime(2022, 11, 28, 16, 27, 20, 553590), 11.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 27, 20, 553590), 1.6, 2.3]","[datetime.datetime(2022, 11, 28, 16, 27, 20, 553590), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 27, 20, 553590), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 16, 27, 20, 553590), 71.0, 310.0]","[datetime.datetime(2022, 11, 28, 16, 27, 20, 553590), 19.0, 44.0]","[datetime.datetime(2022, 11, 28, 16, 27, 20, 553590), 15.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 27, 20, 553590), 101.0, 390.0]"
8,"[datetime.datetime(2022, 11, 28, 16, 27, 21, 839629), 31.0, 100.0]","[datetime.datetime(2022, 11, 28, 16, 27, 21, 839629), 2.8, 5.1]","[datetime.datetime(2022, 11, 28, 16, 27, 21, 839629), 11.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 27, 21, 839629), 1.6, 2.3]","[datetime.datetime(2022, 11, 28, 16, 27, 21, 839629), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 27, 21, 839629), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 16, 27, 21, 839629), 71.0, 310.0]","[datetime.datetime(2022, 11, 28, 16, 27, 21, 839629), 19.0, 44.0]","[datetime.datetime(2022, 11, 28, 16, 27, 21, 839629), 15.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 27, 21, 839629), 101.0, 390.0]"
9,"[datetime.datetime(2022, 11, 28, 16, 27, 23, 123513), 31.0, 100.0]","[datetime.datetime(2022, 11, 28, 16, 27, 23, 123513), 2.8, 5.1]","[datetime.datetime(2022, 11, 28, 16, 27, 23, 123513), 11.0, 19.5]","[datetime.datetime(2022, 11, 28, 16, 27, 23, 123513), 1.6, 2.3]","[datetime.datetime(2022, 11, 28, 16, 27, 23, 123513), 10.0, 20.0]","[datetime.datetime(2022, 11, 28, 16, 27, 23, 123513), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 16, 27, 23, 123513), 71.0, 310.0]","[datetime.datetime(2022, 11, 28, 16, 27, 23, 123513), 19.0, 44.0]","[datetime.datetime(2022, 11, 28, 16, 27, 23, 123513), 15.0, 99999]","[datetime.datetime(2022, 11, 28, 16, 27, 23, 123513), 101.0, 390.0]"
