,Cruising Cloe,Major Sentence,Pandorica,Zipping Diesel,Wichita Bale,Air Race Ace,Jaggers Lady,Irongate
04-01-2023 14:52:27.152774,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:28.358666,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:29.581973,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:30.781435,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:32.039610,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:33.218199,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:34.392419,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:35.534658,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:36.634677,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:37.789409,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:38.824142,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:39.920080,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:41.056820,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:42.239556,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:43.309766,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:44.468002,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:45.649739,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:46.716513,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:47.862533,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:49.023499,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:50.210280,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
