,Black Power,Galloping Albi,Forcefully,Shanks Pony,Bel Air Storm,Burn Rate,Reloaded
05-01-2023 16:30:09.288864,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:10.376428,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:11.460876,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:12.399970,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:13.452081,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:14.521526,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:15.622749,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:16.750426,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:17.832822,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:18.883906,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
