,Rock N Roll Doo Nz,Art Tutor,Sicario,A Gs White Socks Nz,Max Delight,Triple Eight Nz,Jilliby Sylvester,Rick Reilly Nz,Torrid Saint,Rackemup Tigerpie,Major Meister Nz,Bernie Winkle Nz
07-01-2023 19:48:54.465882,"(2.2, 99999, 99990)","(101.0, 170.0, 113.75)","(4.4, 6.2, 5.257142857142857)","(21.0, 99999, 99990)","(10.0, 14.0, 12.25)","(21.0, 99999, 99990)","(91.0, 170.0, 103.33333333333334)","(61.0, 99999, 99990)","(12.0, 19.0, 17.333333333333332)","(101.0, 210.0, 181.42857142857144)","(4.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 19:48:55.993726,"(2.2, 99999, 99990)","(101.0, 170.0, 120.0)","(4.4, 6.2, 5.257142857142857)","(21.0, 99999, 99990)","(10.0, 14.0, 12.25)","(21.0, 99999, 99990)","(91.0, 170.0, 103.33333333333334)","(61.0, 99999, 99990)","(12.0, 19.0, 17.333333333333332)","(101.0, 210.0, 181.42857142857144)","(4.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 19:48:57.558110,"(2.2, 99999, 99990)","(101.0, 170.0, 120.0)","(4.4, 6.2, 5.257142857142857)","(21.0, 99999, 99990)","(10.0, 14.0, 12.25)","(21.0, 99999, 99990)","(91.0, 170.0, 103.33333333333334)","(61.0, 99999, 99990)","(12.0, 19.0, 17.333333333333332)","(101.0, 210.0, 181.42857142857144)","(4.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 19:48:59.141997,"(2.2, 99999, 99990)","(101.0, 170.0, 120.0)","(4.4, 6.2, 5.257142857142857)","(21.0, 99999, 99990)","(10.0, 14.0, 12.25)","(21.0, 99999, 99990)","(91.0, 170.0, 103.33333333333334)","(61.0, 99999, 99990)","(12.0, 19.0, 17.333333333333332)","(101.0, 210.0, 181.42857142857144)","(4.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 19:49:00.756306,"(2.2, 99999, 99990)","(101.0, 170.0, 127.14285714285714)","(4.4, 6.2, 5.257142857142857)","(21.0, 99999, 99990)","(10.0, 14.0, 12.25)","(21.0, 99999, 99990)","(91.0, 170.0, 103.33333333333334)","(61.0, 99999, 99990)","(12.0, 19.0, 17.333333333333332)","(101.0, 210.0, 181.42857142857144)","(4.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 19:49:02.274163,"(2.2, 99999, 99990)","(101.0, 170.0, 127.14285714285714)","(4.4, 6.2, 5.257142857142857)","(21.0, 99999, 99990)","(10.0, 14.0, 12.25)","(21.0, 99999, 99990)","(91.0, 170.0, 103.33333333333334)","(61.0, 99999, 99990)","(12.0, 19.0, 17.333333333333332)","(101.0, 210.0, 181.42857142857144)","(4.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 19:49:03.843657,"(2.2, 99999, 99990)","(101.0, 170.0, 127.14285714285714)","(4.4, 6.2, 5.257142857142857)","(21.0, 99999, 99990)","(10.0, 14.0, 12.25)","(21.0, 99999, 99990)","(91.0, 170.0, 103.33333333333334)","(61.0, 99999, 99990)","(12.0, 19.0, 17.333333333333332)","(101.0, 210.0, 181.42857142857144)","(4.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 19:49:05.331863,"(2.2, 99999, 99990)","(101.0, 170.0, 127.14285714285714)","(4.4, 6.2, 5.257142857142857)","(21.0, 99999, 99990)","(10.0, 14.0, 12.25)","(21.0, 99999, 99990)","(91.0, 170.0, 103.33333333333334)","(61.0, 99999, 99990)","(12.0, 19.0, 17.333333333333332)","(101.0, 210.0, 181.42857142857144)","(4.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 19:49:06.975898,"(2.2, 99999, 99990)","(101.0, 170.0, 127.14285714285714)","(4.4, 6.2, 5.257142857142857)","(21.0, 99999, 99990)","(10.0, 14.0, 11.9)","(21.0, 99999, 99990)","(91.0, 170.0, 103.33333333333334)","(61.0, 99999, 99990)","(12.0, 19.0, 17.333333333333332)","(101.0, 210.0, 181.42857142857144)","(4.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 19:49:08.579949,"(2.2, 99999, 99990)","(101.0, 170.0, 127.14285714285714)","(4.4, 6.2, 5.257142857142857)","(21.0, 99999, 99990)","(10.0, 14.0, 11.9)","(21.0, 99999, 99990)","(91.0, 170.0, 103.33333333333334)","(61.0, 99999, 99990)","(12.0, 19.0, 17.333333333333332)","(101.0, 210.0, 181.42857142857144)","(4.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 19:49:10.082270,"(2.2, 99999, 99990)","(101.0, 170.0, 127.14285714285714)","(4.4, 6.2, 5.257142857142857)","(21.0, 99999, 99990)","(10.0, 14.0, 11.958333333333334)","(21.0, 99999, 99990)","(91.0, 170.0, 103.33333333333334)","(61.0, 99999, 99990)","(12.0, 19.0, 17.333333333333332)","(101.0, 210.0, 181.42857142857144)","(4.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 19:49:11.563084,"(2.2, 99999, 99990)","(101.0, 170.0, 127.14285714285714)","(4.4, 6.2, 5.257142857142857)","(21.0, 99999, 99990)","(10.0, 14.0, 11.958333333333334)","(21.0, 99999, 99990)","(91.0, 170.0, 103.33333333333334)","(61.0, 99999, 99990)","(12.0, 19.0, 17.333333333333332)","(101.0, 210.0, 181.42857142857144)","(4.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 19:49:13.007023,"(2.2, 99999, 99990)","(101.0, 170.0, 127.14285714285714)","(4.4, 6.2, 5.257142857142857)","(21.0, 99999, 99990)","(10.0, 14.0, 11.958333333333334)","(21.0, 99999, 99990)","(91.0, 170.0, 103.33333333333334)","(61.0, 99999, 99990)","(12.0, 19.0, 17.333333333333332)","(101.0, 210.0, 181.42857142857144)","(4.0, 99999, 99990)","(101.0, 99999, 99990)"
07-01-2023 19:49:14.490698,"(2.2, 99999, 99990)","(101.0, 170.0, 127.14285714285714)","(4.4, 6.2, 5.257142857142857)","(21.0, 99999, 99990)","(10.0, 14.0, 11.958333333333334)","(21.0, 99999, 99990)","(91.0, 170.0, 103.33333333333334)","(61.0, 99999, 99990)","(12.0, 19.0, 17.333333333333332)","(101.0, 210.0, 181.42857142857144)","(4.0, 99999, 99990)","(101.0, 99999, 99990)"
