,Inner Light,Three Putt Par,Tobias,Georges Luck,Jens Sapphire,Sketchy In By,Angry Firestorm,Zsa Zsa Express
11-01-2023 11:06:34.297613,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:35.334308,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:36.500936,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:37.797562,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:38.894980,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:39.898048,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:40.954457,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:42.287723,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:43.352192,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:44.435127,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:45.507224,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:46.688503,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:47.859442,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:49.060411,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:50.156268,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:51.191070,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:52.294823,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:53.540865,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:54.822910,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:55.999120,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:57.294748,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:58.470854,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:06:59.634694,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:00.873757,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:02.073628,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:03.165267,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:04.272937,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:05.423734,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:06.479439,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:07.615109,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:08.670140,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:09.884851,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:10.956765,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:11.990404,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:13.064641,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:14.266994,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:15.378506,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:16.509572,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
