,Joe Gem,Black Eyed Peas,After Hours,Lucretia Ann,Dr Jaylen,Aston Director,Madalia Patch,Billy Bob Jordan
11-01-2023 19:50:40.192362,"(1.5, 2.08, 1.7)","(31.0, 120.0, 60.15384615384615)","(8.0, 16.5, 13.02)","(19.0, 75.0, 40.625)","(9.0, 17.0, 12.6)","(19.0, 50.0, 27.81818181818182)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.0, 12.485714285714284)"
11-01-2023 19:50:41.404415,"(1.5, 2.08, 1.7)","(31.0, 110.0, 60.15384615384615)","(8.0, 16.5, 13.02)","(19.0, 75.0, 40.625)","(9.0, 17.0, 12.6)","(19.0, 50.0, 27.81818181818182)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.0, 12.485714285714284)"
11-01-2023 19:50:42.487000,"(1.5, 2.08, 1.7)","(31.0, 110.0, 60.15384615384615)","(8.0, 16.5, 13.02)","(19.0, 75.0, 40.625)","(9.0, 17.0, 12.6)","(19.0, 50.0, 27.81818181818182)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.0, 12.485714285714284)"
11-01-2023 19:50:43.575423,"(1.5, 2.08, 1.7)","(31.0, 110.0, 60.15384615384615)","(8.0, 16.5, 13.02)","(19.0, 75.0, 40.625)","(9.0, 17.0, 12.6)","(19.0, 50.0, 27.81818181818182)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.0, 12.485714285714284)"
11-01-2023 19:50:44.706861,"(1.5, 2.08, 1.7)","(31.0, 110.0, 60.15384615384615)","(8.0, 16.5, 13.02)","(19.0, 75.0, 40.625)","(9.0, 17.0, 12.6)","(19.0, 50.0, 27.81818181818182)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.0, 12.485714285714284)"
11-01-2023 19:50:45.884300,"(1.5, 2.08, 1.7)","(31.0, 110.0, 60.15384615384615)","(8.0, 16.5, 13.02)","(19.0, 75.0, 40.625)","(9.0, 17.0, 12.6)","(19.0, 50.0, 30.1875)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.0, 12.485714285714284)"
11-01-2023 19:50:47.140481,"(1.5, 2.08, 1.7)","(31.0, 110.0, 60.15384615384615)","(8.0, 16.5, 13.02)","(19.0, 75.0, 40.625)","(9.0, 17.0, 12.6)","(19.0, 48.0, 30.1875)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.0, 12.485714285714284)"
11-01-2023 19:50:48.338790,"(1.5, 2.08, 1.7)","(31.0, 110.0, 60.15384615384615)","(8.0, 16.5, 13.02)","(19.0, 75.0, 40.625)","(9.0, 17.0, 12.6)","(19.0, 48.0, 30.1875)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.0, 12.485714285714284)"
11-01-2023 19:50:49.526384,"(1.5, 2.08, 1.7)","(31.0, 110.0, 60.15384615384615)","(8.0, 16.5, 13.02)","(19.0, 75.0, 40.625)","(9.0, 17.0, 12.6)","(19.0, 48.0, 30.1875)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.0, 12.485714285714284)"
11-01-2023 19:50:50.632479,"(1.5, 2.08, 1.7)","(31.0, 110.0, 60.15384615384615)","(8.0, 16.5, 13.02)","(19.0, 75.0, 40.625)","(9.0, 17.0, 12.6)","(19.0, 48.0, 27.272727272727273)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.0, 12.485714285714284)"
11-01-2023 19:50:51.815759,"(1.5, 2.08, 1.7)","(31.0, 110.0, 60.15384615384615)","(8.0, 16.5, 13.02)","(19.0, 75.0, 40.625)","(9.0, 17.0, 12.6)","(19.0, 48.0, 27.272727272727273)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.0, 12.485714285714284)"
11-01-2023 19:50:53.013974,"(1.5, 2.08, 1.7)","(31.0, 110.0, 60.15384615384615)","(8.0, 16.5, 13.02)","(19.0, 75.0, 40.625)","(9.0, 17.0, 12.6)","(19.0, 48.0, 27.272727272727273)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.0, 12.485714285714284)"
11-01-2023 19:50:54.267246,"(1.5, 2.08, 1.7)","(31.0, 110.0, 60.15384615384615)","(8.0, 16.5, 13.02)","(19.0, 75.0, 40.625)","(9.0, 17.0, 13.935294117647059)","(19.0, 48.0, 30.1875)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.0, 11.666666666666666)"
11-01-2023 19:50:55.489133,"(1.5, 2.08, 1.7)","(31.0, 110.0, 69.5)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 48.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:50:56.706937,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:50:57.927237,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:50:59.124945,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:00.313678,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:01.510259,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:02.652051,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:03.819902,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:05.004228,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:06.217899,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:07.385331,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
