,Werina Express,Herculean Zeal,Slick Town,Dont Tell Helen,Darryls Girl,Book Of Love,Rochill Amy,Bernie Boom
11-01-2023 14:42:12.152993,"(2.9, 8.6, 3.412121212121212)","(21.0, 65.0, 188.72222222222223)","(2.8, 3.85, 2.8807692307692307)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.7)","(31.0, 350.0, 278.44444444444446)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:13.455729,"(2.9, 8.6, 3.412121212121212)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.8807692307692307)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 220.79999999999998)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:14.755655,"(2.9, 8.6, 3.412121212121212)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.8807692307692307)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 220.79999999999998)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:16.043036,"(2.9, 8.6, 3.2666666666666666)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.8807692307692307)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 220.79999999999998)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:17.257276,"(2.9, 8.6, 3.2666666666666666)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.8807692307692307)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 220.79999999999998)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:18.645107,"(2.9, 8.6, 3.2666666666666666)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.8807692307692307)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:20.043715,"(2.9, 8.6, 3.2666666666666666)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.8807692307692307)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:21.432316,"(2.9, 8.6, 3.2666666666666666)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.8807692307692307)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 78.05555555555556)"
11-01-2023 14:42:22.947536,"(2.9, 8.6, 3.2666666666666666)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.8807692307692307)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 78.05555555555556)"
11-01-2023 14:42:24.533355,"(2.9, 8.6, 3.2666666666666666)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.8807692307692307)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 78.05555555555556)"
11-01-2023 14:42:25.766950,"(2.9, 8.6, 3.2666666666666666)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.8807692307692307)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 78.05555555555556)"
11-01-2023 14:42:26.864562,"(2.9, 8.6, 3.2666666666666666)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.8807692307692307)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:27.962415,"(2.9, 8.6, 3.2666666666666666)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.8807692307692307)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:29.168372,"(2.9, 8.6, 3.2666666666666666)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.8807692307692307)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:30.367001,"(2.9, 8.6, 3.2666666666666666)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.9725)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:31.601916,"(2.9, 8.6, 3.6044444444444443)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.7884615384615388)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:32.817438,"(2.9, 8.6, 2.9757575757575756)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.7884615384615388)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:33.999817,"(2.9, 8.6, 2.9757575757575756)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.7884615384615388)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:35.239205,"(2.9, 8.6, 2.9757575757575756)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.7884615384615388)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:36.455728,"(2.9, 8.6, 2.9757575757575756)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.7884615384615388)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:37.684185,"(2.9, 8.6, 2.9757575757575756)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.7884615384615388)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:38.828017,"(2.9, 8.6, 2.9757575757575756)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.7884615384615388)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:40.067800,"(2.9, 8.6, 2.9757575757575756)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.7884615384615388)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:41.325288,"(2.9, 8.6, 2.9757575757575756)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.7884615384615388)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:42.669436,"(2.9, 8.6, 2.9757575757575756)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.7884615384615388)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:44.065500,"(2.9, 8.6, 2.9757575757575756)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.7884615384615388)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:45.484753,"(2.9, 8.6, 2.9757575757575756)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.7884615384615388)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:46.908215,"(2.9, 8.6, 2.9757575757575756)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.7884615384615388)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:48.204319,"(2.9, 8.6, 2.9757575757575756)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.7884615384615388)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:49.418536,"(2.9, 8.6, 2.9757575757575756)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.7884615384615388)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:50.657460,"(2.9, 8.6, 2.9757575757575756)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.7884615384615388)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:51.940194,"(2.9, 8.6, 2.9757575757575756)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.7884615384615388)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:53.247093,"(2.9, 8.6, 2.9757575757575756)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.7884615384615388)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
