,Rocking Tiff,Jordie Dee,Courtney Katarina,Dougs Cino,Stylish Heaven,Tell Us We Dream,Beaudacious,Woody Nightshade,Lorne Beach,Valbarann
0,"[datetime.datetime(2022, 11, 28, 19, 51, 7, 756215), 1.6, 2.28]","[datetime.datetime(2022, 11, 28, 19, 51, 7, 756215), 19.0, 29.0]","[datetime.datetime(2022, 11, 28, 19, 51, 7, 756215), 31.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 51, 7, 756215), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 19, 51, 7, 756215), 7.0, 9.8]","[datetime.datetime(2022, 11, 28, 19, 51, 7, 756215), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 51, 7, 756215), 7.5, 11.5]","[datetime.datetime(2022, 11, 28, 19, 51, 7, 756215), 18.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 51, 7, 756215), 21.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 51, 7, 756215), 19.0, 30.0]"
1,"[datetime.datetime(2022, 11, 28, 19, 51, 9, 33076), 1.6, 2.28]","[datetime.datetime(2022, 11, 28, 19, 51, 9, 33076), 19.0, 29.0]","[datetime.datetime(2022, 11, 28, 19, 51, 9, 33076), 31.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 51, 9, 33076), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 19, 51, 9, 33076), 7.0, 9.8]","[datetime.datetime(2022, 11, 28, 19, 51, 9, 33076), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 51, 9, 33076), 7.5, 11.5]","[datetime.datetime(2022, 11, 28, 19, 51, 9, 33076), 18.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 51, 9, 33076), 21.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 51, 9, 33076), 19.0, 30.0]"
2,"[datetime.datetime(2022, 11, 28, 19, 51, 10, 298042), 1.6, 2.28]","[datetime.datetime(2022, 11, 28, 19, 51, 10, 298042), 19.0, 29.0]","[datetime.datetime(2022, 11, 28, 19, 51, 10, 298042), 31.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 51, 10, 298042), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 19, 51, 10, 298042), 7.0, 9.8]","[datetime.datetime(2022, 11, 28, 19, 51, 10, 298042), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 51, 10, 298042), 7.5, 11.5]","[datetime.datetime(2022, 11, 28, 19, 51, 10, 298042), 18.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 51, 10, 298042), 21.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 51, 10, 298042), 19.0, 30.0]"
3,"[datetime.datetime(2022, 11, 28, 19, 51, 11, 590026), 1.6, 2.28]","[datetime.datetime(2022, 11, 28, 19, 51, 11, 590026), 19.0, 29.0]","[datetime.datetime(2022, 11, 28, 19, 51, 11, 590026), 31.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 51, 11, 590026), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 19, 51, 11, 590026), 7.0, 9.8]","[datetime.datetime(2022, 11, 28, 19, 51, 11, 590026), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 51, 11, 590026), 7.5, 11.5]","[datetime.datetime(2022, 11, 28, 19, 51, 11, 590026), 18.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 51, 11, 590026), 21.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 51, 11, 590026), 19.0, 30.0]"
4,"[datetime.datetime(2022, 11, 28, 19, 51, 12, 844030), 1.6, 2.28]","[datetime.datetime(2022, 11, 28, 19, 51, 12, 844030), 19.0, 29.0]","[datetime.datetime(2022, 11, 28, 19, 51, 12, 844030), 31.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 51, 12, 844030), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 19, 51, 12, 844030), 7.0, 9.8]","[datetime.datetime(2022, 11, 28, 19, 51, 12, 844030), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 51, 12, 844030), 7.5, 11.5]","[datetime.datetime(2022, 11, 28, 19, 51, 12, 844030), 18.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 51, 12, 844030), 21.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 51, 12, 844030), 19.0, 30.0]"
5,"[datetime.datetime(2022, 11, 28, 19, 51, 14, 84944), 1.6, 2.28]","[datetime.datetime(2022, 11, 28, 19, 51, 14, 84944), 19.0, 29.0]","[datetime.datetime(2022, 11, 28, 19, 51, 14, 84944), 31.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 51, 14, 84944), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 19, 51, 14, 84944), 7.0, 9.8]","[datetime.datetime(2022, 11, 28, 19, 51, 14, 84944), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 51, 14, 84944), 7.5, 11.5]","[datetime.datetime(2022, 11, 28, 19, 51, 14, 84944), 18.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 51, 14, 84944), 21.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 51, 14, 84944), 19.0, 30.0]"
6,"[datetime.datetime(2022, 11, 28, 19, 51, 15, 334427), 1.6, 2.28]","[datetime.datetime(2022, 11, 28, 19, 51, 15, 334427), 19.0, 29.0]","[datetime.datetime(2022, 11, 28, 19, 51, 15, 334427), 31.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 51, 15, 334427), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 19, 51, 15, 334427), 7.0, 9.8]","[datetime.datetime(2022, 11, 28, 19, 51, 15, 334427), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 51, 15, 334427), 7.5, 11.5]","[datetime.datetime(2022, 11, 28, 19, 51, 15, 334427), 18.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 51, 15, 334427), 21.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 51, 15, 334427), 19.0, 30.0]"
7,"[datetime.datetime(2022, 11, 28, 19, 51, 16, 574596), 1.6, 2.28]","[datetime.datetime(2022, 11, 28, 19, 51, 16, 574596), 19.0, 29.0]","[datetime.datetime(2022, 11, 28, 19, 51, 16, 574596), 31.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 51, 16, 574596), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 19, 51, 16, 574596), 7.0, 9.8]","[datetime.datetime(2022, 11, 28, 19, 51, 16, 574596), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 51, 16, 574596), 7.5, 11.5]","[datetime.datetime(2022, 11, 28, 19, 51, 16, 574596), 18.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 51, 16, 574596), 21.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 51, 16, 574596), 19.0, 30.0]"
8,"[datetime.datetime(2022, 11, 28, 19, 51, 17, 813493), 1.6, 2.28]","[datetime.datetime(2022, 11, 28, 19, 51, 17, 813493), 19.0, 29.0]","[datetime.datetime(2022, 11, 28, 19, 51, 17, 813493), 31.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 51, 17, 813493), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 19, 51, 17, 813493), 7.0, 9.8]","[datetime.datetime(2022, 11, 28, 19, 51, 17, 813493), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 51, 17, 813493), 7.5, 11.5]","[datetime.datetime(2022, 11, 28, 19, 51, 17, 813493), 18.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 51, 17, 813493), 21.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 51, 17, 813493), 19.0, 30.0]"
9,"[datetime.datetime(2022, 11, 28, 19, 51, 19, 61599), 1.6, 2.28]","[datetime.datetime(2022, 11, 28, 19, 51, 19, 61599), 19.0, 29.0]","[datetime.datetime(2022, 11, 28, 19, 51, 19, 61599), 31.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 51, 19, 61599), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 19, 51, 19, 61599), 7.0, 9.8]","[datetime.datetime(2022, 11, 28, 19, 51, 19, 61599), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 51, 19, 61599), 7.5, 11.5]","[datetime.datetime(2022, 11, 28, 19, 51, 19, 61599), 18.0, 23.0]","[datetime.datetime(2022, 11, 28, 19, 51, 19, 61599), 21.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 51, 19, 61599), 19.0, 30.0]"
