,Carmelized,Lockdown Vanna,Makinlimmargaritas,Playing For Two,Golden Sally,Smokin Lady,Showthemoneyhoney,Polish The Diamond,Xposed Secret,Stryda
07-01-2023 10:17:42.459016,"(12.0, 160.0, 187.5)","(26.0, 50.0, 43.84615384615385)","(15.0, 130.0, 92.33333333333333)","(11.0, 24.0, 23.7)","(26.0, 200.0, 89.33333333333334)","(5.0, 7.0, 6.428571428571429)","(31.0, 70.0, 66.6)","(6.0, 6.0, 5.75)","(41.0, 220.0, 106.66666666666666)","(1.7, 1.95, 1.941578947368421)"
07-01-2023 10:17:44.593493,"(12.0, 230.0, 187.5)","(26.0, 50.0, 43.84615384615385)","(15.0, 130.0, 92.33333333333333)","(11.0, 24.0, 23.7)","(26.0, 200.0, 89.33333333333334)","(5.0, 7.0, 6.428571428571429)","(31.0, 70.0, 66.6)","(6.0, 6.0, 5.75)","(41.0, 220.0, 106.66666666666666)","(1.7, 1.95, 1.9408571428571428)"
07-01-2023 10:17:46.694254,"(12.0, 230.0, 187.5)","(26.0, 50.0, 43.84615384615385)","(15.0, 130.0, 92.33333333333333)","(11.0, 24.0, 23.7)","(26.0, 200.0, 89.33333333333334)","(5.0, 7.0, 6.428571428571429)","(31.0, 70.0, 66.6)","(6.0, 6.0, 5.75)","(41.0, 220.0, 106.66666666666666)","(1.7, 1.95, 1.9408571428571428)"
07-01-2023 10:17:48.301085,"(12.0, 230.0, 187.5)","(26.0, 50.0, 43.84615384615385)","(15.0, 130.0, 92.33333333333333)","(11.0, 24.0, 23.7)","(26.0, 200.0, 89.33333333333334)","(5.0, 7.0, 6.428571428571429)","(31.0, 70.0, 66.6)","(6.0, 6.0, 5.75)","(41.0, 220.0, 106.66666666666666)","(1.7, 1.95, 1.9408571428571428)"
07-01-2023 10:17:50.125168,"(12.0, 230.0, 187.5)","(26.0, 50.0, 43.84615384615385)","(15.0, 130.0, 92.33333333333333)","(11.0, 24.0, 23.7)","(26.0, 200.0, 89.33333333333334)","(5.0, 7.0, 6.428571428571429)","(31.0, 70.0, 66.6)","(6.0, 6.0, 5.75)","(41.0, 220.0, 106.66666666666666)","(1.7, 1.95, 1.9408571428571428)"
07-01-2023 10:17:51.988540,"(12.0, 230.0, 187.5)","(26.0, 50.0, 43.84615384615385)","(15.0, 130.0, 92.33333333333333)","(11.0, 24.0, 23.7)","(26.0, 200.0, 89.33333333333334)","(5.0, 7.0, 6.428571428571429)","(31.0, 70.0, 66.6)","(6.0, 6.0, 5.75)","(41.0, 220.0, 106.66666666666666)","(1.7, 1.95, 1.9408571428571428)"
07-01-2023 10:17:53.683506,"(12.0, 230.0, 187.5)","(26.0, 50.0, 43.84615384615385)","(15.0, 130.0, 92.33333333333333)","(11.0, 24.0, 23.7)","(26.0, 200.0, 89.33333333333334)","(5.0, 7.0, 6.428571428571429)","(31.0, 70.0, 59.72727272727273)","(6.0, 6.0, 5.75)","(41.0, 220.0, 106.66666666666666)","(1.7, 1.95, 1.9393333333333334)"
07-01-2023 10:17:55.297565,"(12.0, 220.0, 180.0)","(26.0, 50.0, 43.84615384615385)","(15.0, 130.0, 92.33333333333333)","(11.0, 24.0, 23.7)","(26.0, 200.0, 89.33333333333334)","(5.0, 7.0, 6.476923076923077)","(31.0, 65.0, 59.72727272727273)","(6.0, 6.0, 5.75)","(41.0, 220.0, 106.66666666666666)","(1.7, 1.95, 1.9393333333333334)"
07-01-2023 10:17:56.883299,"(12.0, 210.0, 172.5)","(26.0, 50.0, 43.84615384615385)","(15.0, 130.0, 92.33333333333333)","(11.0, 24.0, 22.6875)","(26.0, 200.0, 89.33333333333334)","(5.0, 7.0, 6.2)","(31.0, 65.0, 59.72727272727273)","(6.0, 6.0, 5.85)","(41.0, 220.0, 106.66666666666666)","(1.7, 1.95, 1.958888888888889)"
07-01-2023 10:17:58.393622,"(12.0, 210.0, 172.5)","(26.0, 50.0, 43.84615384615385)","(15.0, 130.0, 92.33333333333333)","(11.0, 24.0, 22.6875)","(26.0, 200.0, 89.33333333333334)","(5.0, 7.0, 6.466666666666667)","(31.0, 65.0, 59.72727272727273)","(6.0, 6.0, 5.75)","(41.0, 220.0, 106.66666666666666)","(1.7, 1.97, 1.958888888888889)"
07-01-2023 10:17:59.989462,"(12.0, 210.0, 172.5)","(26.0, 50.0, 43.84615384615385)","(15.0, 130.0, 92.33333333333333)","(11.0, 24.0, 22.6875)","(26.0, 200.0, 89.33333333333334)","(5.0, 7.0, 6.466666666666667)","(31.0, 65.0, 59.72727272727273)","(6.0, 6.0, 5.75)","(41.0, 220.0, 106.66666666666666)","(1.7, 1.97, 1.958888888888889)"
07-01-2023 10:18:01.579871,"(12.0, 210.0, 172.5)","(26.0, 50.0, 43.84615384615385)","(15.0, 130.0, 92.33333333333333)","(11.0, 24.0, 22.6875)","(26.0, 200.0, 89.33333333333334)","(5.0, 7.0, 6.223529411764706)","(31.0, 65.0, 59.72727272727273)","(6.0, 6.0, 5.75)","(41.0, 220.0, 106.66666666666666)","(1.7, 1.97, 1.958888888888889)"
07-01-2023 10:18:03.212131,"(12.0, 210.0, 172.5)","(26.0, 50.0, 43.84615384615385)","(15.0, 130.0, 92.33333333333333)","(11.0, 24.0, 22.6875)","(26.0, 200.0, 89.33333333333334)","(5.0, 7.4, 6.545454545454546)","(31.0, 65.0, 59.72727272727273)","(6.0, 6.0, 6.05)","(41.0, 220.0, 106.66666666666666)","(1.7, 1.97, 1.958888888888889)"
07-01-2023 10:18:04.918397,"(12.0, 210.0, 172.5)","(26.0, 50.0, 43.84615384615385)","(15.0, 130.0, 92.33333333333333)","(11.0, 24.0, 22.6875)","(26.0, 200.0, 89.33333333333334)","(5.0, 7.2, 6.279999999999999)","(31.0, 65.0, 59.72727272727273)","(6.0, 6.6, 6.04)","(41.0, 220.0, 106.66666666666666)","(1.7, 1.97, 1.958888888888889)"
07-01-2023 10:18:06.480434,"(12.0, 210.0, 116.25)","(26.0, 50.0, 43.84615384615385)","(15.0, 130.0, 99.4)","(11.0, 24.0, 22.6875)","(26.0, 200.0, 89.33333333333334)","(5.0, 6.8, 6.475)","(31.0, 65.0, 59.72727272727273)","(6.0, 6.4, 6.133333333333334)","(41.0, 220.0, 106.66666666666666)","(1.7, 1.97, 1.958888888888889)"
07-01-2023 10:18:08.047797,"(12.0, 200.0, 112.5)","(26.0, 50.0, 43.84615384615385)","(15.0, 120.0, 99.4)","(11.0, 24.0, 22.6875)","(26.0, 200.0, 89.33333333333334)","(5.0, 6.8, 6.475)","(31.0, 65.0, 59.72727272727273)","(6.0, 6.4, 6.133333333333334)","(41.0, 220.0, 106.66666666666666)","(1.7, 2.0, 1.9577777777777778)"
07-01-2023 10:18:09.567337,"(12.0, 200.0, 112.5)","(26.0, 50.0, 43.84615384615385)","(15.0, 120.0, 85.83333333333333)","(11.0, 24.0, 22.5)","(26.0, 200.0, 117.0)","(5.0, 6.8, 6.199999999999999)","(31.0, 65.0, 47.0)","(6.0, 6.4, 6.133333333333334)","(41.0, 220.0, 152.0)","(1.7, 2.0, 1.9577777777777778)"
07-01-2023 10:18:11.092659,"(12.0, 200.0, 106.66666666666666)","(26.0, 50.0, 43.84615384615385)","(15.0, 120.0, 68.75)","(11.0, 24.0, 22.5)","(26.0, 200.0, 117.0)","(5.0, 6.8, 6.199999999999999)","(31.0, 65.0, 44.75)","(6.0, 6.4, 6.133333333333334)","(41.0, 220.0, 152.0)","(1.7, 2.0, 1.9577777777777778)"
07-01-2023 10:18:12.655544,"(12.0, 200.0, 106.66666666666666)","(26.0, 50.0, 43.84615384615385)","(15.0, 120.0, 68.75)","(11.0, 24.0, 22.5)","(26.0, 200.0, 117.0)","(5.0, 6.8, 6.199999999999999)","(31.0, 65.0, 44.75)","(6.0, 6.4, 6.2857142857142865)","(41.0, 220.0, 152.0)","(1.7, 2.0, 1.9577777777777778)"
07-01-2023 10:18:14.237749,"(12.0, 200.0, 106.66666666666666)","(26.0, 50.0, 43.84615384615385)","(15.0, 120.0, 90.71428571428571)","(11.0, 24.0, 22.5)","(26.0, 200.0, 117.0)","(5.0, 6.8, 6.6)","(31.0, 65.0, 44.75)","(6.0, 6.4, 6.133333333333334)","(41.0, 220.0, 152.0)","(1.7, 2.0, 1.9577777777777778)"
07-01-2023 10:18:15.789795,"(12.0, 200.0, 106.66666666666666)","(26.0, 50.0, 43.84615384615385)","(15.0, 120.0, 90.71428571428571)","(11.0, 24.0, 22.5)","(26.0, 200.0, 117.0)","(5.0, 6.8, 6.6)","(31.0, 65.0, 44.75)","(6.0, 6.4, 6.133333333333334)","(41.0, 220.0, 152.0)","(1.7, 2.0, 1.9577777777777778)"
07-01-2023 10:18:17.345269,"(12.0, 200.0, 144.0)","(26.0, 50.0, 43.84615384615385)","(15.0, 120.0, 90.71428571428571)","(11.0, 24.0, 22.5)","(26.0, 200.0, 117.0)","(5.0, 6.8, 6.6)","(31.0, 65.0, 44.75)","(6.0, 6.4, 6.133333333333334)","(41.0, 220.0, 152.0)","(1.7, 2.0, 1.9577777777777778)"
