,Secret Jack,Bee Gees Bandit,Star Writer,Arthur Lowe Nz,Crookwell Jake,Mr Kiwi Nz
09-01-2023 13:34:20.832761,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:21.884895,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:22.996531,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:24.175317,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:25.309933,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:26.285394,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:27.411879,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:28.507919,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:29.532040,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:30.711015,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:31.858626,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:32.930616,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:34.044909,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:35.015020,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:36.086353,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:37.272006,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:38.373638,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:39.479130,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:40.525845,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:41.653072,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:42.816157,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:43.895360,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:44.955677,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:46.227650,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:47.387512,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:48.444675,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:49.544060,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:50.631882,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:51.679762,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:52.614005,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:53.701747,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:54.933558,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:56.097762,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:57.260997,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
