,Know Grizzles,Opawa Anita,Goldstar Carlito,Centurion,Humbling,Opawa Chrissy
12-01-2023 15:17:23.096368,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:24.069377,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:25.070428,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:26.193946,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:27.169794,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:28.175765,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:29.231323,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:30.154426,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:31.087184,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:32.109571,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:33.084338,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
