,Hooded Monkey,In The Orange,Magic Eyeliner,Bang On Blue,Elanga,Gunai Rumours,Kintsugi,Bok Choy
12-01-2023 08:01:06.346287,"(20.0, 60.0, 36.94444444444444)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.5, 18.0, 10.166666666666666)","(2.2, 2.64, 2.54)","(21.0, 70.0, 41.66666666666667)","(4.2, 7.0, 4.666666666666667)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:07.494182,"(20.0, 60.0, 36.94444444444444)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.5, 18.0, 10.166666666666666)","(2.2, 2.62, 2.54)","(21.0, 70.0, 41.66666666666667)","(4.2, 7.0, 4.666666666666667)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:08.636862,"(20.0, 60.0, 36.94444444444444)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.5, 18.0, 10.166666666666666)","(2.2, 2.62, 2.54)","(21.0, 70.0, 41.66666666666667)","(4.2, 7.0, 4.666666666666667)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:09.886397,"(20.0, 60.0, 36.94444444444444)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.5, 18.0, 10.166666666666666)","(2.2, 2.62, 2.54)","(21.0, 70.0, 41.66666666666667)","(4.2, 7.0, 4.666666666666667)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:10.959271,"(20.0, 60.0, 36.94444444444444)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.5, 18.0, 10.166666666666666)","(2.2, 2.62, 2.54)","(21.0, 70.0, 41.66666666666667)","(4.2, 7.0, 4.666666666666667)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:12.303007,"(20.0, 60.0, 40.0)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.5, 18.0, 10.166666666666666)","(2.2, 2.62, 2.156)","(21.0, 70.0, 41.66666666666667)","(4.2, 7.0, 5.26)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:13.410058,"(20.0, 60.0, 40.0)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.5, 18.0, 10.166666666666666)","(2.2, 2.6, 2.1153846153846154)","(21.0, 70.0, 41.66666666666667)","(4.2, 7.0, 5.26)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:14.504373,"(20.0, 60.0, 40.0)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.5, 18.0, 10.166666666666666)","(2.2, 2.6, 2.1153846153846154)","(21.0, 70.0, 41.66666666666667)","(4.2, 7.0, 5.26)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:15.584810,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.5, 18.0, 10.166666666666666)","(2.2, 2.6, 2.5342857142857143)","(21.0, 70.0, 41.66666666666667)","(4.2, 7.0, 5.388888888888889)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:16.613117,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.5, 18.0, 13.272727272727273)","(2.2, 2.6, 2.5342857142857143)","(21.0, 70.0, 41.66666666666667)","(4.2, 7.0, 5.388888888888889)","(7.0, 14.0, 7.7)"
