,Slingshot Yo Yo,Magic Avenue,Rockstar Fender,Bali Lava,Serious Unit,Sacred Park,Zipping Loretta
0,"[datetime.datetime(2022, 11, 28, 16, 53, 5, 33317), 7.5, 18.0]","[datetime.datetime(2022, 11, 28, 16, 53, 5, 33317), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 16, 53, 5, 33317), 17.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 53, 5, 33317), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 16, 53, 5, 33317), 17.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 53, 5, 33317), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 16, 53, 5, 33317), 9.0, 19.5]"
1,"[datetime.datetime(2022, 11, 28, 16, 53, 6, 167235), 7.5, 18.0]","[datetime.datetime(2022, 11, 28, 16, 53, 6, 167235), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 16, 53, 6, 167235), 17.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 53, 6, 167235), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 16, 53, 6, 167235), 17.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 53, 6, 167235), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 16, 53, 6, 167235), 9.0, 19.5]"
2,"[datetime.datetime(2022, 11, 28, 16, 53, 7, 283863), 7.5, 18.0]","[datetime.datetime(2022, 11, 28, 16, 53, 7, 283863), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 16, 53, 7, 283863), 17.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 53, 7, 283863), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 16, 53, 7, 283863), 17.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 53, 7, 283863), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 16, 53, 7, 283863), 9.0, 19.5]"
3,"[datetime.datetime(2022, 11, 28, 16, 53, 8, 434829), 7.5, 18.0]","[datetime.datetime(2022, 11, 28, 16, 53, 8, 434829), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 16, 53, 8, 434829), 17.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 53, 8, 434829), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 16, 53, 8, 434829), 17.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 53, 8, 434829), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 16, 53, 8, 434829), 9.0, 19.5]"
4,"[datetime.datetime(2022, 11, 28, 16, 53, 9, 566265), 7.5, 18.0]","[datetime.datetime(2022, 11, 28, 16, 53, 9, 566265), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 16, 53, 9, 566265), 17.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 53, 9, 566265), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 16, 53, 9, 566265), 17.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 53, 9, 566265), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 16, 53, 9, 566265), 9.0, 19.5]"
5,"[datetime.datetime(2022, 11, 28, 16, 53, 10, 700896), 7.5, 18.0]","[datetime.datetime(2022, 11, 28, 16, 53, 10, 700896), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 16, 53, 10, 700896), 17.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 53, 10, 700896), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 16, 53, 10, 700896), 17.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 53, 10, 700896), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 16, 53, 10, 700896), 9.0, 19.5]"
6,"[datetime.datetime(2022, 11, 28, 16, 53, 11, 834397), 7.5, 18.0]","[datetime.datetime(2022, 11, 28, 16, 53, 11, 834397), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 16, 53, 11, 834397), 17.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 53, 11, 834397), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 16, 53, 11, 834397), 17.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 53, 11, 834397), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 16, 53, 11, 834397), 9.0, 19.5]"
7,"[datetime.datetime(2022, 11, 28, 16, 53, 12, 957851), 7.5, 18.0]","[datetime.datetime(2022, 11, 28, 16, 53, 12, 957851), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 16, 53, 12, 957851), 17.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 53, 12, 957851), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 16, 53, 12, 957851), 17.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 53, 12, 957851), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 16, 53, 12, 957851), 9.0, 19.5]"
8,"[datetime.datetime(2022, 11, 28, 16, 53, 14, 86728), 7.5, 18.0]","[datetime.datetime(2022, 11, 28, 16, 53, 14, 86728), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 16, 53, 14, 86728), 17.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 53, 14, 86728), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 16, 53, 14, 86728), 17.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 53, 14, 86728), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 16, 53, 14, 86728), 9.0, 19.5]"
9,"[datetime.datetime(2022, 11, 28, 16, 53, 15, 228124), 7.5, 18.0]","[datetime.datetime(2022, 11, 28, 16, 53, 15, 228124), 19.0, 65.0]","[datetime.datetime(2022, 11, 28, 16, 53, 15, 228124), 17.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 53, 15, 228124), 2.25, 3.35]","[datetime.datetime(2022, 11, 28, 16, 53, 15, 228124), 17.0, 55.0]","[datetime.datetime(2022, 11, 28, 16, 53, 15, 228124), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 16, 53, 15, 228124), 9.0, 19.5]"
