,Golden Bullet,Super Fab,Jeanie Cargo,Arrogant Suzy,Elsie Bay,Lieutenant Dan,Hit It Benny,Kaidee Dixie
05-01-2023 14:43:42.921307,"(1.28, 1.75, 1.3451351351351353)","(16.0, 55.0, 50.0)","(4.8, 8.4, 4.871428571428571)","(91.0, 590.0, 489.0)","(21.0, 85.0, 46.25)","(15.0, 42.0, 31.375)","(21.0, 85.0, 46.25)","(13.0, 32.0, 28.3)"
05-01-2023 14:43:44.131787,"(1.28, 1.75, 1.3451351351351353)","(16.0, 55.0, 50.0)","(4.8, 8.4, 4.871428571428571)","(91.0, 590.0, 489.0)","(21.0, 85.0, 46.25)","(15.0, 42.0, 32.19230769230769)","(21.0, 85.0, 46.25)","(13.0, 32.0, 28.3)"
05-01-2023 14:43:45.227998,"(1.28, 1.75, 1.3451351351351353)","(16.0, 55.0, 50.0)","(4.8, 8.4, 4.871428571428571)","(91.0, 590.0, 489.0)","(21.0, 85.0, 46.25)","(15.0, 42.0, 32.19230769230769)","(21.0, 85.0, 46.25)","(13.0, 32.0, 28.3)"
05-01-2023 14:43:46.351886,"(1.28, 1.75, 1.3451351351351353)","(16.0, 55.0, 50.0)","(4.8, 8.4, 4.871428571428571)","(91.0, 590.0, 489.0)","(21.0, 85.0, 46.25)","(15.0, 42.0, 32.19230769230769)","(21.0, 85.0, 46.25)","(13.0, 32.0, 28.3)"
05-01-2023 14:43:47.489120,"(1.28, 1.75, 1.3451351351351353)","(16.0, 55.0, 50.0)","(4.8, 8.4, 4.871428571428571)","(91.0, 590.0, 489.0)","(21.0, 85.0, 46.25)","(15.0, 42.0, 32.19230769230769)","(21.0, 85.0, 46.25)","(13.0, 32.0, 28.3)"
05-01-2023 14:43:48.630918,"(1.28, 1.75, 1.3451351351351353)","(16.0, 55.0, 50.0)","(4.8, 8.4, 4.871428571428571)","(91.0, 590.0, 489.0)","(21.0, 85.0, 46.25)","(15.0, 42.0, 32.19230769230769)","(21.0, 85.0, 46.25)","(13.0, 32.0, 28.3)"
05-01-2023 14:43:49.841580,"(1.28, 1.75, 1.3451351351351353)","(16.0, 55.0, 50.0)","(4.8, 8.4, 4.871428571428571)","(91.0, 590.0, 489.0)","(21.0, 85.0, 46.25)","(15.0, 42.0, 32.19230769230769)","(21.0, 85.0, 46.25)","(13.0, 32.0, 28.3)"
05-01-2023 14:43:51.044514,"(1.28, 1.75, 1.3451351351351353)","(16.0, 55.0, 50.0)","(4.8, 8.4, 4.871428571428571)","(91.0, 590.0, 489.0)","(21.0, 85.0, 46.25)","(15.0, 42.0, 31.423076923076923)","(21.0, 85.0, 46.25)","(13.0, 32.0, 28.3)"
05-01-2023 14:43:52.296010,"(1.28, 1.75, 1.3451351351351353)","(16.0, 55.0, 50.0)","(4.8, 8.4, 4.871428571428571)","(91.0, 590.0, 489.0)","(21.0, 85.0, 46.25)","(15.0, 42.0, 27.0)","(21.0, 85.0, 46.25)","(13.0, 32.0, 28.3)"
05-01-2023 14:43:53.534709,"(1.28, 1.75, 1.3451351351351353)","(16.0, 55.0, 50.0)","(4.8, 8.4, 4.871428571428571)","(91.0, 590.0, 489.0)","(21.0, 85.0, 46.25)","(15.0, 42.0, 27.0)","(21.0, 85.0, 46.25)","(13.0, 32.0, 28.3)"
05-01-2023 14:43:54.637304,"(1.28, 1.75, 1.3451351351351353)","(16.0, 55.0, 50.0)","(4.8, 8.4, 4.871428571428571)","(91.0, 590.0, 489.0)","(21.0, 85.0, 46.25)","(15.0, 42.0, 27.0)","(21.0, 85.0, 46.25)","(13.0, 32.0, 28.3)"
