,Willows Pride,Amendola,Shes Got Moves,Locked On Scotch,Replication,Teddy Box,Princess Penny,Special Thunder
07-01-2023 19:30:37.155953,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:30:38.891419,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:30:40.395788,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:30:41.717439,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:30:43.098799,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:30:44.560552,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:30:46.000801,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:30:47.467850,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:30:48.836477,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:30:50.225377,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:30:51.706953,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:30:52.975683,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:30:54.358232,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:30:55.631921,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:30:56.845432,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:30:58.034355,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:30:59.254411,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.070909090909091)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:31:00.381507,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.070909090909091)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:31:01.505639,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.070909090909091)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:31:02.632451,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.070909090909091)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:31:03.807565,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.070909090909091)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:31:05.005173,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.070909090909091)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:31:06.145475,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.070909090909091)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:31:11.683937,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.070909090909091)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:31:12.822467,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:31:14.271253,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:31:15.750344,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:31:17.095275,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
07-01-2023 19:31:18.251989,"(21.0, 80.0, 36.0)","(4.2, 7.0, 6.695652173913043)","(9.0, 18.5, 15.266666666666666)","(1.95, 2.88, 2.036842105263158)","(31.0, 130.0, 68.46153846153845)","(8.5, 18.5, 15.133333333333333)","(4.6, 7.8, 5.413636363636363)","(21.0, 120.0, 43.2)"
