,Pocket Rox,Komachi,Dance Of Thunder,Hot Seat,Numpty,Bronski,Nerrivik,Rogers Day,Strawberry Moon,Fiji,More Than Discreet,Sheeza Tilly,Masina
06-01-2023 15:14:52.506746,"(14.0, 22.0, 18.785714285714285)","(3.8, 4.8, 4.688888888888888)","(5.0, 7.6, 7.013636363636364)","(51.0, 180.0, 130.0)","(7.5, 7.8, 8.333333333333334)","(41.0, 210.0, 168.33333333333331)","(21.0, 55.0, 39.166666666666664)","(11.0, 18.0, 15.333333333333334)","(3.6, 4.7, 4.553333333333334)","(9.0, 17.5, 14.166666666666666)","(31.0, 65.0, 51.0)","(18.0, 38.0, 29.0)","(101.0, 230.0, 206.66666666666666)"
06-01-2023 15:14:54.112895,"(14.0, 22.0, 18.785714285714285)","(3.8, 4.8, 4.688888888888888)","(5.0, 7.6, 7.013636363636364)","(51.0, 180.0, 130.0)","(7.5, 8.6, 8.333333333333334)","(41.0, 210.0, 168.33333333333331)","(21.0, 55.0, 39.166666666666664)","(11.0, 18.0, 15.333333333333334)","(3.6, 4.7, 4.553333333333334)","(9.0, 17.5, 14.166666666666666)","(31.0, 65.0, 51.0)","(18.0, 38.0, 29.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:14:55.599424,"(14.0, 22.0, 19.352941176470587)","(3.8, 4.8, 4.688888888888888)","(5.0, 7.6, 7.013636363636364)","(51.0, 180.0, 130.0)","(7.5, 8.6, 8.333333333333334)","(41.0, 210.0, 168.33333333333331)","(21.0, 55.0, 39.166666666666664)","(11.0, 18.0, 15.333333333333334)","(3.6, 4.7, 4.553333333333334)","(9.0, 17.5, 14.166666666666666)","(31.0, 65.0, 51.0)","(18.0, 38.0, 29.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:14:57.201014,"(14.0, 22.0, 19.352941176470587)","(3.8, 4.8, 4.688888888888888)","(5.0, 7.6, 7.013636363636364)","(51.0, 180.0, 130.0)","(7.5, 8.6, 8.333333333333334)","(41.0, 210.0, 168.33333333333331)","(21.0, 55.0, 39.166666666666664)","(11.0, 18.0, 15.333333333333334)","(3.6, 4.7, 4.553333333333334)","(9.0, 17.5, 14.166666666666666)","(31.0, 65.0, 51.0)","(18.0, 38.0, 29.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:14:58.717805,"(14.0, 22.0, 18.785714285714285)","(3.9, 4.8, 4.688888888888888)","(5.5, 7.6, 7.013636363636364)","(61.0, 180.0, 130.0)","(7.0, 8.6, 7.254676258992806)","(41.0, 210.0, 168.33333333333331)","(26.0, 55.0, 39.166666666666664)","(11.0, 18.0, 15.333333333333334)","(3.6, 4.7, 4.553333333333334)","(10.0, 17.5, 14.166666666666666)","(31.0, 65.0, 51.0)","(18.0, 38.0, 29.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:00.315336,"(14.0, 22.0, 18.785714285714285)","(3.9, 4.8, 4.714285714285714)","(5.5, 7.6, 7.013636363636364)","(61.0, 180.0, 130.0)","(7.0, 8.0, 7.256551724137931)","(41.0, 210.0, 168.33333333333331)","(26.0, 55.0, 39.166666666666664)","(11.0, 18.0, 15.333333333333334)","(3.6, 4.7, 4.553333333333334)","(10.0, 17.5, 14.0)","(31.0, 65.0, 51.0)","(18.0, 38.0, 29.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:01.769819,"(14.0, 22.0, 18.666666666666668)","(3.9, 4.8, 4.714285714285714)","(5.5, 7.6, 7.013636363636364)","(61.0, 180.0, 130.0)","(7.0, 8.0, 7.485714285714286)","(41.0, 210.0, 168.33333333333331)","(26.0, 55.0, 39.166666666666664)","(11.0, 18.0, 15.333333333333334)","(3.6, 4.7, 4.553333333333334)","(10.0, 15.5, 14.0)","(31.0, 65.0, 51.0)","(18.0, 38.0, 29.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:03.325786,"(14.0, 22.0, 18.666666666666668)","(3.9, 4.8, 4.6923076923076925)","(5.5, 7.6, 7.044444444444444)","(61.0, 180.0, 130.0)","(7.0, 8.0, 7.72)","(41.0, 210.0, 168.33333333333331)","(26.0, 55.0, 39.166666666666664)","(11.0, 18.0, 14.8)","(3.6, 4.7, 4.328571428571428)","(10.0, 15.5, 13.75)","(31.0, 65.0, 51.0)","(18.0, 38.0, 31.25)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:04.792778,"(14.0, 22.0, 19.77777777777778)","(3.9, 4.9, 4.8307692307692305)","(5.5, 7.4, 7.153846153846154)","(61.0, 180.0, 130.0)","(7.0, 8.0, 7.72)","(41.0, 210.0, 168.33333333333331)","(26.0, 55.0, 39.166666666666664)","(11.0, 18.0, 14.8)","(3.6, 4.5, 4.275)","(10.0, 15.5, 13.909090909090908)","(31.0, 65.0, 51.0)","(18.0, 38.0, 31.25)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:06.356008,"(14.0, 22.0, 19.894736842105264)","(3.9, 4.9, 4.8307692307692305)","(5.5, 7.4, 7.044444444444444)","(61.0, 180.0, 130.0)","(7.0, 8.0, 7.72)","(41.0, 210.0, 168.33333333333331)","(26.0, 55.0, 39.166666666666664)","(11.0, 18.0, 14.8)","(3.6, 4.5, 4.275)","(10.0, 15.5, 13.909090909090908)","(31.0, 65.0, 51.0)","(18.0, 38.0, 31.25)","(101.0, 230.0, 195.0)"
