,Fentons Rise,Not Afraid,Perfect Stranger,Bells Galore,Pumper
11-01-2023 13:10:00.490608,"(1.8, 2.5, 2.1033333333333335)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.444444444444445)"
11-01-2023 13:10:01.399356,"(1.8, 2.5, 2.3183783783783785)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.444444444444445)"
11-01-2023 13:10:02.365024,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.8)"
11-01-2023 13:10:03.159977,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 7.0)"
11-01-2023 13:10:04.046172,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 7.0)"
11-01-2023 13:10:04.964467,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 7.0)"
11-01-2023 13:10:05.859090,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 7.0)"
11-01-2023 13:10:06.747597,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 7.0)"
11-01-2023 13:10:07.572982,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.285714285714286)"
11-01-2023 13:10:08.428665,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.866666666666666)"
11-01-2023 13:10:09.276463,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3999999999999995)"
11-01-2023 13:10:10.187368,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.4799999999999995)"
11-01-2023 13:10:11.013817,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.4799999999999995)"
11-01-2023 13:10:11.804620,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:12.673489,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:13.495541,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:14.410279,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:15.397010,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:16.209913,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:17.003538,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:17.933522,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:18.811764,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:19.703872,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:20.512968,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:21.322186,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:22.141824,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.285714285714286)"
11-01-2023 13:10:22.958502,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.866666666666666)"
11-01-2023 13:10:23.955364,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3999999999999995)"
11-01-2023 13:10:24.778663,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 7.0249999999999995)"
11-01-2023 13:10:25.573895,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.72)"
11-01-2023 13:10:26.403765,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.8999999999999995)"
11-01-2023 13:10:27.224018,"(1.8, 2.52, 2.300487804878049)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.457142857142856)"
11-01-2023 13:10:28.057438,"(1.8, 2.5, 2.2125)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.4799999999999995)"
11-01-2023 13:10:28.859084,"(1.8, 2.5, 2.178)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.828571428571428)"
