,Magic Bertie,Yankee Banner,Lumin,My Gal Val,Rich Paris,Toffee Street,Alesha Lily,Atlanna,Lady Merchant,World Action
08-12-2022 12:48:32.254170,"(8.0, 12.5, 12.25)","(101.0, 340.0, 313.3333333333333)","(11.0, 13.0, 12.5)","(21.0, 44.0, 42.5)","(2.6, 3.3, 3.284375)","(4.0, 4.7, 4.75)","(19.0, 30.0, 27.875)","(51.0, 100.0, 96.11111111111111)","(41.0, 95.0, 89.16666666666666)","(3.6, 4.4, 4.28125)"
08-12-2022 12:48:33.628421,"(8.0, 12.5, 12.25)","(101.0, 340.0, 313.3333333333333)","(11.0, 13.0, 12.5)","(21.0, 44.0, 42.5)","(2.6, 3.3, 3.257142857142857)","(4.0, 4.8, 4.763636363636364)","(19.0, 29.0, 27.875)","(51.0, 100.0, 96.11111111111111)","(41.0, 95.0, 89.16666666666666)","(3.6, 4.4, 4.28125)"
08-12-2022 12:48:34.984295,"(8.0, 12.5, 12.25)","(101.0, 340.0, 313.3333333333333)","(11.0, 13.0, 12.5)","(21.0, 44.0, 42.5)","(2.6, 3.3, 3.257142857142857)","(4.0, 4.8, 4.763636363636364)","(19.0, 29.0, 27.875)","(51.0, 100.0, 96.11111111111111)","(41.0, 95.0, 89.16666666666666)","(3.6, 4.4, 4.28125)"
08-12-2022 12:48:36.409834,"(8.0, 12.5, 12.25)","(101.0, 340.0, 313.3333333333333)","(11.0, 13.0, 12.5)","(21.0, 44.0, 42.5)","(2.6, 3.3, 3.257142857142857)","(4.0, 4.8, 4.733333333333333)","(19.0, 29.0, 27.875)","(51.0, 100.0, 96.875)","(41.0, 95.0, 89.16666666666666)","(3.6, 4.4, 4.28125)"
08-12-2022 12:48:37.782412,"(8.0, 12.5, 12.25)","(101.0, 340.0, 313.3333333333333)","(11.0, 13.0, 12.5)","(21.0, 44.0, 42.5)","(2.6, 3.3, 3.257142857142857)","(4.0, 4.8, 4.733333333333333)","(19.0, 29.0, 27.875)","(51.0, 100.0, 96.875)","(41.0, 95.0, 89.16666666666666)","(3.6, 4.4, 4.28125)"
08-12-2022 12:48:39.167663,"(8.0, 12.5, 12.25)","(101.0, 340.0, 313.3333333333333)","(11.0, 13.0, 12.380952380952381)","(21.0, 44.0, 42.5)","(2.6, 3.3, 3.24375)","(4.0, 4.8, 4.6722222222222225)","(19.0, 29.0, 27.875)","(51.0, 100.0, 96.875)","(41.0, 95.0, 89.16666666666666)","(3.6, 4.4, 4.294444444444444)"
08-12-2022 12:48:40.545799,"(8.0, 12.5, 12.25)","(101.0, 340.0, 313.3333333333333)","(11.0, 13.0, 12.380952380952381)","(21.0, 44.0, 42.0)","(2.6, 3.3, 3.24375)","(4.0, 4.7, 4.696296296296296)","(19.0, 29.0, 27.875)","(51.0, 100.0, 96.875)","(41.0, 95.0, 89.16666666666666)","(3.6, 4.4, 4.30625)"
08-12-2022 12:48:41.913885,"(8.0, 12.5, 12.25)","(101.0, 340.0, 320.0)","(11.0, 13.0, 12.380952380952381)","(21.0, 44.0, 42.0)","(2.6, 3.3, 3.1989795918367347)","(4.0, 4.8, 4.696296296296296)","(19.0, 29.0, 27.875)","(51.0, 100.0, 96.875)","(41.0, 95.0, 89.16666666666666)","(3.6, 4.4, 4.27741935483871)"
08-12-2022 12:48:43.284366,"(8.0, 12.5, 12.25)","(101.0, 330.0, 280.0)","(11.0, 13.0, 12.380952380952381)","(21.0, 44.0, 42.5)","(2.6, 3.2, 3.1705555555555556)","(4.0, 4.8, 4.696296296296296)","(19.0, 29.0, 27.875)","(51.0, 100.0, 96.875)","(41.0, 95.0, 89.16666666666666)","(3.6, 4.4, 4.34375)"
08-12-2022 12:48:44.651488,"(8.0, 13.0, 12.416666666666666)","(101.0, 330.0, 275.0)","(11.0, 13.0, 11.607142857142858)","(21.0, 44.0, 42.5)","(2.6, 3.2, 3.1705555555555556)","(4.0, 4.8, 4.696296296296296)","(19.0, 29.0, 27.875)","(51.0, 100.0, 96.875)","(41.0, 95.0, 89.16666666666666)","(3.6, 4.5, 4.4)"
08-12-2022 12:48:45.912090,"(8.0, 13.0, 12.375)","(101.0, 330.0, 293.3333333333333)","(11.0, 13.0, 11.607142857142858)","(21.0, 44.0, 42.5)","(2.6, 3.2, 3.1705555555555556)","(4.0, 4.8, 4.73125)","(19.0, 29.0, 27.875)","(51.0, 100.0, 96.875)","(41.0, 95.0, 89.16666666666666)","(3.6, 4.5, 4.4)"
08-12-2022 12:48:47.378275,"(8.0, 13.0, 12.375)","(101.0, 330.0, 275.0)","(11.0, 13.0, 11.607142857142858)","(21.0, 44.0, 42.5)","(2.6, 3.2, 3.1705555555555556)","(4.0, 4.8, 4.73125)","(19.0, 29.0, 27.875)","(51.0, 100.0, 96.875)","(41.0, 95.0, 89.16666666666666)","(3.6, 4.5, 4.4)"
08-12-2022 12:48:48.578693,"(8.0, 13.0, 12.375)","(101.0, 330.0, 275.0)","(11.0, 13.0, 11.607142857142858)","(21.0, 44.0, 42.5)","(2.6, 3.2, 3.168823529411765)","(4.0, 4.8, 4.73125)","(19.0, 29.0, 27.875)","(51.0, 100.0, 96.875)","(41.0, 95.0, 89.16666666666666)","(3.6, 4.5, 4.4)"
08-12-2022 12:48:49.774607,"(8.0, 13.0, 12.375)","(101.0, 290.0, 243.33333333333334)","(11.0, 13.0, 11.607142857142858)","(21.0, 44.0, 42.5)","(2.6, 3.2, 3.168823529411765)","(4.0, 4.8, 4.727777777777778)","(19.0, 29.0, 27.875)","(51.0, 100.0, 96.875)","(41.0, 95.0, 86.25)","(3.6, 4.5, 4.4)"
08-12-2022 12:48:51.043769,"(8.0, 13.0, 12.375)","(101.0, 290.0, 243.33333333333334)","(11.0, 13.0, 11.607142857142858)","(21.0, 44.0, 42.5)","(2.6, 3.2, 3.1705555555555556)","(4.0, 4.8, 4.727777777777778)","(19.0, 29.0, 27.875)","(51.0, 100.0, 96.875)","(41.0, 95.0, 93.33333333333334)","(3.6, 4.5, 4.377777777777777)"
08-12-2022 12:48:52.555479,"(8.0, 13.0, 12.375)","(101.0, 290.0, 243.33333333333334)","(11.0, 13.0, 11.607142857142858)","(21.0, 44.0, 42.5)","(2.6, 3.2, 3.1542372881355933)","(4.0, 4.8, 4.727777777777778)","(19.0, 29.0, 27.875)","(51.0, 100.0, 96.875)","(41.0, 95.0, 93.33333333333334)","(3.6, 4.5, 4.377777777777777)"
08-12-2022 12:48:54.262696,"(8.0, 13.0, 12.375)","(101.0, 290.0, 243.33333333333334)","(11.0, 13.0, 11.607142857142858)","(21.0, 44.0, 42.5)","(2.6, 3.15, 3.1125)","(4.0, 4.8, 4.727777777777778)","(19.0, 29.0, 27.875)","(51.0, 100.0, 96.875)","(41.0, 95.0, 93.33333333333334)","(3.6, 4.5, 4.457894736842105)"
