,Ansons Bay,Blue Title,Coconut Cutie,Star Of The Arts,Shezamaterialgirl,Mullum Doc,Outer Change,Royal Winkle,Feelin Flirty
12-01-2023 13:07:32.087270,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:07:33.490267,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:07:34.845411,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:07:36.183804,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:07:37.581931,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:07:38.815792,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:07:40.224063,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:07:41.566857,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:07:42.744858,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:07:43.888625,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:07:45.129123,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:07:46.385468,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
