,Soda Nemo,Ha Hanna,Inter Raven,Olive Bale,Cindys Pride,Run Topper,Hot Fudge,Prince Of Egypt
15-12-2022 13:51:48.267975,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 127.84615384615384)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:51:49.479458,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 127.84615384615384)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:51:50.662019,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 127.84615384615384)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:51:51.863316,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.3272727272727276)","(41.0, 330.0, 127.84615384615384)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:51:53.085589,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.6, 3.309090909090909)","(41.0, 330.0, 127.84615384615384)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:51:54.186778,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 127.84615384615384)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:51:55.414946,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 127.84615384615384)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:51:56.592962,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 127.84615384615384)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:51:57.812355,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 127.84615384615384)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:51:59.016701,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 127.84615384615384)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:00.218937,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 127.84615384615384)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:01.424730,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 127.84615384615384)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:02.559456,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 127.84615384615384)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:03.705140,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 127.84615384615384)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:04.789283,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 127.84615384615384)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:05.899006,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 127.84615384615384)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:07.068484,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 127.84615384615384)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:08.163410,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 127.84615384615384)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:09.256331,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 127.84615384615384)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:10.259935,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:11.296243,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.6, 3.3272727272727276)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:12.386230,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.6, 3.3272727272727276)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:13.541611,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.6, 3.3272727272727276)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:14.645658,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.6, 3.3272727272727276)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:15.772849,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.6, 3.3272727272727276)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
