,My Boy Mo,Battle Talent,Go Ellie Go,Kappys Angel,Clever Choice,I Did A Thing,Soul Benefit,Luna One,Fifi Girl
05-01-2023 13:52:43.175874,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.8181818181818175)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 69.33333333333334)","(13.0, 30.0, 22.666666666666668)","(15.0, 29.0, 27.764705882352942)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:52:44.451355,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.8)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 69.33333333333334)","(13.0, 30.0, 25.6)","(15.0, 29.0, 27.764705882352942)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:52:45.755350,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.8)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 69.33333333333334)","(13.0, 30.0, 25.6)","(15.0, 29.0, 27.833333333333336)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:52:47.015344,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.8)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 69.33333333333334)","(13.0, 30.0, 25.6)","(15.0, 29.0, 27.833333333333336)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:52:48.335197,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 69.33333333333334)","(13.0, 30.0, 25.6)","(15.0, 29.0, 27.833333333333336)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:52:49.576328,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 118.8)","(13.0, 30.0, 25.6)","(15.0, 29.0, 25.0)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:52:50.759240,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 118.8)","(13.0, 30.0, 25.6)","(15.0, 29.0, 25.0)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:52:51.961298,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.937119341563786)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 118.8)","(13.0, 30.0, 25.6)","(15.0, 29.0, 26.5)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:52:53.179677,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.937119341563786)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 118.8)","(13.0, 30.0, 25.6)","(15.0, 29.0, 26.5)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:52:54.418119,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.937119341563786)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 28.0)","(15.0, 29.0, 27.88888888888889)","(101.0, 220.0, 146.66666666666666)"
