,Need A Change,Lotties Luck,Ideal Double,Smokin Chedda,Prides Bellissima,Baileys Art,Matai Charlotte,Mucho Fuerte,Northview Rock,Dancershavtime,The Ladybird,The Matriarch
14-12-2022 11:55:18.996809,"(5.0, 7.4, 6.733333333333333)","(5.5, 7.0, 6.444444444444445)","(1.8, 2.34, 2.2405755395683453)","(31.0, 150.0, 75.2)","(31.0, 80.0, 66.28571428571428)","(20.0, 25.0, 22.333333333333332)","(31.0, 310.0, 171.0)","(51.0, 370.0, 137.5)","(21.0, 75.0, 59.0)","(26.0, 90.0, 49.75)","(13.0, 19.0, 15.625)","(15.0, 36.0, 23.7)"
14-12-2022 11:55:20.342548,"(5.0, 7.4, 6.733333333333333)","(5.5, 7.0, 6.444444444444445)","(1.8, 2.26, 2.2405755395683453)","(31.0, 140.0, 75.2)","(31.0, 80.0, 66.28571428571428)","(20.0, 28.0, 20.714285714285715)","(31.0, 310.0, 171.0)","(51.0, 370.0, 137.5)","(21.0, 75.0, 59.0)","(26.0, 85.0, 49.75)","(13.0, 19.0, 16.75)","(15.0, 36.0, 38.5)"
14-12-2022 11:55:21.728600,"(5.0, 7.4, 6.733333333333333)","(5.5, 7.0, 6.444444444444445)","(1.8, 2.34, 2.337333333333333)","(31.0, 140.0, 75.2)","(31.0, 80.0, 66.28571428571428)","(20.0, 28.0, 20.5625)","(31.0, 310.0, 171.0)","(51.0, 370.0, 137.5)","(21.0, 75.0, 59.0)","(26.0, 85.0, 49.75)","(13.0, 19.0, 15.625)","(15.0, 44.0, 38.4)"
14-12-2022 11:55:23.004529,"(5.0, 7.4, 6.733333333333333)","(5.5, 7.0, 6.444444444444445)","(1.8, 2.38, 2.372)","(31.0, 140.0, 75.2)","(31.0, 80.0, 66.28571428571428)","(20.0, 28.0, 20.5625)","(31.0, 310.0, 171.0)","(51.0, 370.0, 137.5)","(21.0, 75.0, 59.0)","(26.0, 85.0, 49.75)","(13.0, 19.0, 15.625)","(15.0, 44.0, 36.875)"
14-12-2022 11:55:24.566952,"(5.0, 7.4, 6.733333333333333)","(5.5, 7.0, 6.444444444444445)","(1.8, 2.32, 2.267142857142857)","(31.0, 140.0, 81.0)","(31.0, 80.0, 66.28571428571428)","(20.0, 28.0, 20.5625)","(31.0, 310.0, 171.0)","(51.0, 370.0, 137.5)","(21.0, 75.0, 59.0)","(26.0, 85.0, 49.75)","(13.0, 19.0, 15.625)","(15.0, 44.0, 36.875)"
14-12-2022 11:55:26.046605,"(5.0, 7.4, 7.092307692307693)","(5.5, 7.0, 6.444444444444445)","(1.8, 2.24, 2.3723809523809525)","(31.0, 130.0, 91.6)","(31.0, 80.0, 61.599999999999994)","(20.0, 28.0, 24.57142857142857)","(31.0, 310.0, 171.0)","(51.0, 370.0, 137.5)","(21.0, 75.0, 59.0)","(26.0, 85.0, 49.75)","(13.0, 19.0, 16.75)","(15.0, 44.0, 40.0)"
14-12-2022 11:55:27.442463,"(5.0, 7.4, 7.218181818181819)","(5.5, 7.0, 6.7727272727272725)","(1.8, 2.38, 2.3723809523809525)","(31.0, 130.0, 91.6)","(31.0, 80.0, 61.599999999999994)","(20.0, 28.0, 20.5625)","(31.0, 310.0, 199.60000000000002)","(51.0, 370.0, 141.25)","(21.0, 75.0, 56.2)","(26.0, 85.0, 49.75)","(13.0, 19.0, 15.625)","(15.0, 44.0, 40.0)"
14-12-2022 11:55:28.845649,"(5.0, 7.4, 7.218181818181819)","(5.5, 7.0, 6.7727272727272725)","(1.8, 2.38, 2.31)","(31.0, 130.0, 81.0)","(31.0, 80.0, 66.28571428571428)","(20.0, 28.0, 20.5625)","(31.0, 310.0, 171.0)","(51.0, 370.0, 137.5)","(21.0, 75.0, 59.0)","(26.0, 85.0, 49.75)","(13.0, 19.0, 15.625)","(15.0, 44.0, 36.875)"
14-12-2022 11:55:30.202249,"(5.0, 7.4, 7.218181818181819)","(5.5, 7.0, 6.739130434782608)","(1.8, 2.38, 2.35375)","(31.0, 130.0, 81.0)","(31.0, 80.0, 66.28571428571428)","(20.0, 28.0, 20.5625)","(31.0, 310.0, 171.0)","(51.0, 370.0, 137.5)","(21.0, 75.0, 59.0)","(26.0, 85.0, 49.75)","(13.0, 19.0, 15.625)","(15.0, 44.0, 36.875)"
14-12-2022 11:55:31.458954,"(5.0, 7.4, 7.092307692307693)","(5.5, 7.2, 6.6000000000000005)","(1.8, 2.38, 2.35375)","(31.0, 130.0, 81.0)","(31.0, 80.0, 66.28571428571428)","(20.0, 28.0, 25.545454545454547)","(31.0, 310.0, 171.0)","(51.0, 370.0, 137.5)","(21.0, 75.0, 51.5)","(26.0, 85.0, 77.16666666666666)","(13.0, 19.0, 17.0)","(15.0, 44.0, 31.4)"
14-12-2022 11:55:32.769286,"(5.0, 7.4, 6.866666666666666)","(5.5, 7.2, 6.96)","(1.85, 2.3, 2.294)","(31.0, 130.0, 81.0)","(31.0, 80.0, 68.0)","(20.0, 27.0, 25.545454545454547)","(31.0, 310.0, 230.0)","(51.0, 370.0, 163.33333333333331)","(21.0, 75.0, 51.5)","(26.0, 85.0, 77.16666666666666)","(13.0, 19.0, 17.0)","(15.0, 42.0, 19.916666666666668)"
14-12-2022 11:55:34.165862,"(5.0, 7.4, 6.866666666666666)","(5.5, 7.2, 6.6000000000000005)","(1.85, 2.38, 2.309230769230769)","(31.0, 130.0, 101.42857142857143)","(31.0, 80.0, 60.8)","(20.0, 27.0, 23.666666666666668)","(31.0, 310.0, 230.0)","(51.0, 370.0, 163.33333333333331)","(21.0, 75.0, 51.5)","(26.0, 85.0, 77.16666666666666)","(13.0, 19.0, 17.0)","(15.0, 42.0, 19.916666666666668)"
14-12-2022 11:55:35.573837,"(5.0, 7.4, 6.8)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.34, 2.164)","(31.0, 130.0, 101.42857142857143)","(31.0, 80.0, 61.599999999999994)","(20.0, 26.0, 22.11111111111111)","(31.0, 310.0, 198.8)","(51.0, 370.0, 163.33333333333331)","(21.0, 75.0, 41.42857142857143)","(26.0, 85.0, 77.16666666666666)","(13.0, 19.0, 17.0)","(15.0, 42.0, 35.5)"
14-12-2022 11:55:36.921128,"(5.0, 9.6, 8.953846153846154)","(5.5, 7.0, 6.822222222222222)","(1.85, 2.34, 2.308)","(31.0, 130.0, 96.33333333333333)","(31.0, 80.0, 60.8)","(20.0, 26.0, 22.11111111111111)","(31.0, 310.0, 197.60000000000002)","(51.0, 370.0, 163.33333333333331)","(21.0, 75.0, 41.42857142857143)","(26.0, 85.0, 77.16666666666666)","(13.0, 19.0, 17.0)","(15.0, 42.0, 24.333333333333336)"
14-12-2022 11:55:38.510416,"(5.0, 9.6, 8.914285714285715)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.34, 2.1444444444444444)","(31.0, 130.0, 48.0)","(31.0, 80.0, 60.8)","(20.0, 26.0, 22.11111111111111)","(31.0, 310.0, 170.0)","(51.0, 370.0, 163.33333333333331)","(21.0, 75.0, 41.42857142857143)","(26.0, 85.0, 77.16666666666666)","(13.0, 19.0, 17.0)","(15.0, 42.0, 19.916666666666668)"
14-12-2022 11:55:39.940420,"(5.0, 9.6, 8.914285714285715)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.34, 2.1444444444444444)","(31.0, 120.0, 43.84615384615385)","(31.0, 80.0, 60.8)","(20.0, 26.0, 22.11111111111111)","(31.0, 310.0, 107.14285714285714)","(51.0, 370.0, 163.33333333333331)","(21.0, 75.0, 41.42857142857143)","(26.0, 85.0, 77.16666666666666)","(13.0, 19.0, 17.0)","(15.0, 42.0, 19.916666666666668)"
14-12-2022 11:55:41.310803,"(5.0, 9.6, 8.914285714285715)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.34, 2.2046153846153844)","(31.0, 120.0, 43.84615384615385)","(31.0, 80.0, 60.8)","(20.0, 26.0, 22.11111111111111)","(31.0, 300.0, 160.0)","(51.0, 370.0, 163.33333333333331)","(21.0, 75.0, 41.42857142857143)","(26.0, 85.0, 77.16666666666666)","(13.0, 19.0, 17.0)","(15.0, 42.0, 19.916666666666668)"
14-12-2022 11:55:42.746236,"(5.0, 9.6, 8.914285714285715)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.34, 2.308235294117647)","(31.0, 120.0, 43.84615384615385)","(31.0, 80.0, 60.8)","(20.0, 26.0, 22.11111111111111)","(31.0, 290.0, 160.0)","(51.0, 370.0, 163.33333333333331)","(21.0, 75.0, 41.42857142857143)","(26.0, 85.0, 77.16666666666666)","(13.0, 19.0, 17.0)","(15.0, 42.0, 19.916666666666668)"
14-12-2022 11:55:44.122082,"(5.0, 9.6, 8.914285714285715)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.34, 2.308235294117647)","(31.0, 120.0, 75.0)","(31.0, 80.0, 50.0)","(20.0, 26.0, 22.11111111111111)","(31.0, 290.0, 155.0)","(51.0, 370.0, 163.33333333333331)","(21.0, 75.0, 41.42857142857143)","(26.0, 85.0, 77.16666666666666)","(13.0, 19.0, 16.142857142857142)","(15.0, 42.0, 19.916666666666668)"
14-12-2022 11:55:45.601912,"(5.0, 9.6, 8.914285714285715)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.34, 2.2714285714285714)","(31.0, 110.0, 70.0)","(31.0, 80.0, 50.0)","(20.0, 26.0, 22.11111111111111)","(31.0, 280.0, 155.0)","(51.0, 370.0, 163.33333333333331)","(21.0, 75.0, 41.42857142857143)","(26.0, 85.0, 77.16666666666666)","(13.0, 19.0, 16.142857142857142)","(15.0, 42.0, 19.916666666666668)"
14-12-2022 11:55:47.051059,"(5.0, 9.6, 8.914285714285715)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.34, 2.2714285714285714)","(31.0, 110.0, 58.0)","(31.0, 80.0, 47.14285714285714)","(20.0, 26.0, 22.11111111111111)","(31.0, 280.0, 196.66666666666666)","(51.0, 370.0, 163.33333333333331)","(21.0, 75.0, 48.888888888888886)","(26.0, 85.0, 70.0)","(13.0, 19.0, 16.142857142857142)","(15.0, 42.0, 25.4375)"
14-12-2022 11:55:48.376244,"(5.0, 9.6, 7.56923076923077)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.34, 2.3057142857142856)","(31.0, 100.0, 58.0)","(31.0, 80.0, 45.5)","(20.0, 26.0, 22.11111111111111)","(31.0, 280.0, 172.85714285714286)","(51.0, 370.0, 137.5)","(21.0, 75.0, 46.8)","(26.0, 85.0, 77.5)","(13.0, 19.0, 16.142857142857142)","(15.0, 42.0, 30.200000000000003)"
14-12-2022 11:55:49.792013,"(5.0, 9.2, 7.7)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.34, 2.3057142857142856)","(31.0, 100.0, 73.33333333333334)","(31.0, 80.0, 45.5)","(20.0, 26.0, 26.363636363636363)","(31.0, 280.0, 172.85714285714286)","(51.0, 370.0, 137.5)","(21.0, 75.0, 46.8)","(26.0, 85.0, 70.66666666666667)","(13.0, 19.0, 16.142857142857142)","(15.0, 40.0, 23.1875)"
14-12-2022 11:55:51.107659,"(5.0, 9.2, 7.7)","(5.5, 7.0, 6.555555555555555)","(1.85, 2.34, 2.3057142857142856)","(31.0, 95.0, 73.33333333333334)","(31.0, 80.0, 45.5)","(20.0, 30.0, 26.363636363636363)","(31.0, 280.0, 172.85714285714286)","(51.0, 370.0, 137.5)","(21.0, 75.0, 46.8)","(26.0, 85.0, 70.66666666666667)","(13.0, 19.0, 16.142857142857142)","(15.0, 36.0, 23.1875)"
14-12-2022 11:55:52.536611,"(5.0, 9.2, 7.7)","(5.5, 7.0, 6.555555555555555)","(1.85, 2.34, 2.3057142857142856)","(31.0, 95.0, 73.33333333333334)","(31.0, 80.0, 57.0)","(20.0, 29.0, 27.0)","(31.0, 280.0, 172.85714285714286)","(51.0, 370.0, 137.5)","(21.0, 75.0, 59.33333333333333)","(26.0, 85.0, 70.66666666666667)","(13.0, 19.0, 17.0)","(15.0, 36.0, 32.375)"
14-12-2022 11:55:53.915791,"(5.0, 9.0, 8.2)","(5.5, 7.0, 6.822222222222222)","(1.85, 2.14, 2.1213636363636366)","(31.0, 95.0, 48.57142857142857)","(31.0, 80.0, 45.5)","(20.0, 29.0, 27.0)","(31.0, 280.0, 172.85714285714286)","(51.0, 370.0, 137.5)","(21.0, 75.0, 46.8)","(26.0, 85.0, 70.66666666666667)","(13.0, 19.0, 16.6)","(15.0, 38.0, 23.666666666666668)"
14-12-2022 11:55:55.192725,"(5.0, 9.0, 8.2)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.38, 2.26)","(31.0, 95.0, 66.5625)","(31.0, 80.0, 45.5)","(20.0, 29.0, 27.0)","(31.0, 280.0, 172.85714285714286)","(51.0, 370.0, 137.5)","(21.0, 75.0, 46.8)","(26.0, 85.0, 70.66666666666667)","(13.0, 19.0, 16.6)","(15.0, 40.0, 23.666666666666668)"
14-12-2022 11:55:56.649434,"(5.0, 9.0, 8.2)","(5.5, 7.0, 6.555555555555555)","(1.85, 2.38, 2.3706666666666667)","(31.0, 95.0, 66.5625)","(31.0, 80.0, 45.5)","(20.0, 29.0, 26.428571428571427)","(31.0, 280.0, 217.5)","(51.0, 370.0, 137.5)","(21.0, 75.0, 46.8)","(26.0, 85.0, 70.66666666666667)","(13.0, 19.0, 16.6)","(15.0, 40.0, 23.666666666666668)"
14-12-2022 11:55:58.366334,"(5.0, 9.0, 8.2)","(5.5, 7.0, 6.555555555555555)","(1.85, 2.38, 2.3706666666666667)","(31.0, 95.0, 66.5625)","(31.0, 80.0, 45.5)","(20.0, 29.0, 26.428571428571427)","(31.0, 280.0, 217.5)","(51.0, 370.0, 137.5)","(21.0, 75.0, 46.8)","(26.0, 85.0, 70.66666666666667)","(13.0, 19.0, 16.6)","(15.0, 40.0, 23.666666666666668)"
14-12-2022 11:56:00.162925,"(5.0, 9.0, 8.2)","(5.5, 7.0, 6.555555555555555)","(1.85, 2.38, 2.3706666666666667)","(31.0, 95.0, 66.5625)","(31.0, 80.0, 45.5)","(20.0, 29.0, 26.428571428571427)","(31.0, 280.0, 217.5)","(51.0, 370.0, 137.5)","(21.0, 75.0, 46.8)","(26.0, 85.0, 70.66666666666667)","(13.0, 19.0, 16.6)","(15.0, 40.0, 23.666666666666668)"
14-12-2022 11:56:01.615884,"(5.0, 9.0, 8.2)","(5.5, 7.0, 6.555555555555555)","(1.85, 2.38, 2.3706666666666667)","(31.0, 95.0, 66.5625)","(31.0, 80.0, 45.5)","(20.0, 29.0, 26.428571428571427)","(31.0, 280.0, 217.5)","(51.0, 370.0, 137.5)","(21.0, 75.0, 46.8)","(26.0, 85.0, 70.66666666666667)","(13.0, 19.0, 16.6)","(15.0, 40.0, 23.666666666666668)"
14-12-2022 11:56:02.838066,"(5.0, 9.0, 8.2)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.16, 2.142181818181818)","(31.0, 95.0, 66.5625)","(31.0, 80.0, 57.0)","(20.0, 29.0, 26.6)","(31.0, 280.0, 217.5)","(51.0, 370.0, 137.5)","(21.0, 75.0, 59.33333333333333)","(26.0, 85.0, 70.66666666666667)","(13.0, 19.0, 17.666666666666668)","(15.0, 38.0, 23.9375)"
14-12-2022 11:56:04.074086,"(5.0, 9.0, 8.2)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.34, 2.197142857142857)","(31.0, 95.0, 66.5625)","(31.0, 80.0, 45.5)","(20.0, 29.0, 26.6)","(31.0, 280.0, 217.5)","(51.0, 370.0, 137.5)","(21.0, 75.0, 59.33333333333333)","(26.0, 85.0, 70.66666666666667)","(13.0, 19.0, 16.6)","(15.0, 38.0, 29.0)"
14-12-2022 11:56:05.340220,"(5.0, 9.0, 8.2)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.34, 2.197142857142857)","(31.0, 95.0, 66.5625)","(31.0, 80.0, 45.5)","(20.0, 29.0, 26.5)","(31.0, 280.0, 217.5)","(51.0, 370.0, 137.5)","(21.0, 75.0, 59.33333333333333)","(26.0, 85.0, 70.66666666666667)","(13.0, 19.0, 16.6)","(15.0, 38.0, 29.0)"
14-12-2022 11:56:06.621608,"(5.0, 9.0, 8.725)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.34, 2.197142857142857)","(31.0, 95.0, 65.0)","(31.0, 80.0, 50.0)","(20.0, 29.0, 26.5)","(31.0, 280.0, 224.44444444444446)","(51.0, 370.0, 163.33333333333331)","(21.0, 75.0, 51.5)","(26.0, 85.0, 70.66666666666667)","(13.0, 19.0, 16.6)","(15.0, 38.0, 19.25)"
