,Tommy Fumble,Travers Mania,Speed Freak,Aussie Jake,Sunset Louie,Copper,Ballistic Ant,Travers Time
11-01-2023 21:38:11.437366,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:12.585879,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:13.764108,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:14.926579,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:16.088938,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:17.196383,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:18.384675,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:19.471004,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:20.500089,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:21.553678,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
