,Zippy De Goey,Yeah The Boy,Wild Jewel,Sir Sugar,Reality One,Pie Hard,All Eagle,Talent Show
12-01-2023 08:00:54.715973,"(19.0, 44.0, 35.6)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 11.0, 10.8)","(7.0, 12.5, 12.732142857142858)","(4.6, 5.8, 5.775)","(15.0, 18.5, 16.676470588235293)","(2.4, 2.56, 2.506341463414634)"
12-01-2023 08:00:56.104853,"(19.0, 44.0, 33.81818181818182)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 11.0, 10.8)","(7.0, 13.0, 12.732142857142858)","(4.6, 6.0, 5.775)","(15.0, 19.5, 16.676470588235293)","(2.4, 2.52, 2.506341463414634)"
12-01-2023 08:00:57.350738,"(19.0, 44.0, 33.81818181818182)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 11.0, 10.8)","(7.0, 13.0, 12.711538461538462)","(4.6, 6.0, 5.857142857142858)","(15.0, 19.5, 16.75)","(2.4, 2.52, 2.536923076923077)"
12-01-2023 08:00:58.553720,"(19.0, 44.0, 33.81818181818182)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 11.0, 10.76923076923077)","(7.0, 13.0, 12.711538461538462)","(4.6, 5.9, 5.214285714285714)","(15.0, 19.5, 16.75)","(2.4, 2.56, 2.571111111111111)"
12-01-2023 08:00:59.588455,"(19.0, 44.0, 33.81818181818182)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 11.0, 10.76923076923077)","(7.0, 13.0, 12.711538461538462)","(4.6, 5.3, 5.214285714285714)","(15.0, 19.5, 16.75)","(2.4, 2.58, 2.5448)"
12-01-2023 08:01:00.677480,"(19.0, 44.0, 33.81818181818182)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 11.0, 10.76923076923077)","(7.0, 13.0, 12.711538461538462)","(4.6, 5.3, 5.214285714285714)","(15.0, 19.5, 16.75)","(2.4, 2.64, 2.5700000000000003)"
12-01-2023 08:01:01.843999,"(19.0, 44.0, 33.81818181818182)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 11.0, 10.76923076923077)","(7.0, 13.0, 12.711538461538462)","(4.6, 5.3, 5.25)","(15.0, 19.5, 16.75)","(2.4, 2.64, 2.578181818181818)"
12-01-2023 08:01:02.847737,"(19.0, 44.0, 33.81818181818182)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 11.0, 10.76923076923077)","(7.0, 13.0, 12.711538461538462)","(4.6, 5.3, 5.166666666666667)","(15.0, 19.5, 16.75)","(2.4, 2.64, 2.578181818181818)"
12-01-2023 08:01:04.084528,"(19.0, 44.0, 36.53333333333333)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 11.0, 10.76923076923077)","(7.0, 13.0, 12.711538461538462)","(4.6, 5.2, 5.071428571428572)","(15.0, 19.5, 16.75)","(2.4, 2.64, 2.6035714285714286)"
12-01-2023 08:01:05.271548,"(19.0, 44.0, 36.53333333333333)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 11.0, 10.76923076923077)","(7.0, 13.0, 12.711538461538462)","(4.6, 5.2, 5.071428571428572)","(15.0, 19.5, 16.0)","(2.4, 2.64, 2.5956521739130434)"
12-01-2023 08:01:06.425288,"(19.0, 44.0, 36.53333333333333)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 11.0, 10.76923076923077)","(7.0, 13.0, 12.711538461538462)","(4.6, 5.2, 5.071428571428572)","(15.0, 17.5, 16.0)","(2.4, 2.64, 2.5956521739130434)"
12-01-2023 08:01:07.531181,"(19.0, 44.0, 34.2)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 11.0, 10.76923076923077)","(7.0, 13.0, 12.711538461538462)","(4.6, 5.2, 5.071428571428572)","(15.0, 17.5, 16.0)","(2.4, 2.64, 2.611764705882353)"
12-01-2023 08:01:08.650869,"(19.0, 44.0, 34.2)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 11.0, 10.76923076923077)","(7.0, 13.0, 12.625)","(4.6, 5.2, 5.071428571428572)","(15.0, 18.0, 15.136363636363637)","(2.4, 2.64, 2.611764705882353)"
12-01-2023 08:01:09.875399,"(19.0, 44.0, 34.2)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 11.0, 10.76923076923077)","(7.0, 13.0, 12.625)","(4.6, 5.2, 5.071428571428572)","(15.0, 18.0, 15.136363636363637)","(2.4, 2.64, 2.6171428571428574)"
12-01-2023 08:01:10.947761,"(19.0, 44.0, 34.2)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 11.0, 10.76923076923077)","(7.0, 13.0, 12.625)","(4.6, 5.2, 5.071428571428572)","(15.0, 18.0, 15.136363636363637)","(2.4, 2.64, 2.6171428571428574)"
