,My Boy Gus,Conga Boy,Friendofthecourt,Golden Passage,Midnight Nightmare,Spheroid,Hip Four O Four,Powershot,Dealmeinbud
15-12-2022 10:48:34.472249,"(13.0, 19.5, 19.464285714285715)","(14.0, 21.0, 20.75)","(11.0, 16.0, 15.80952380952381)","(2.8, 3.45, 3.403571428571429)","(7.5, 10.0, 10.118181818181819)","(5.5, 7.2, 7.1454545454545455)","(31.0, 90.0, 78.46153846153847)","(6.0, 7.2, 6.822222222222222)","(6.5, 7.6, 7.268085106382978)"
15-12-2022 10:48:35.623096,"(13.0, 19.5, 19.333333333333332)","(14.0, 21.0, 20.75)","(11.0, 16.0, 15.80952380952381)","(2.8, 3.45, 3.38125)","(7.5, 10.5, 10.266666666666667)","(5.5, 7.2, 7.0)","(31.0, 90.0, 78.46153846153847)","(6.0, 7.0, 6.7176470588235295)","(6.5, 7.6, 6.916129032258064)"
15-12-2022 10:48:36.737451,"(13.0, 19.5, 19.333333333333332)","(14.0, 21.0, 20.75)","(11.0, 16.0, 15.80952380952381)","(2.8, 3.55, 3.423076923076923)","(7.5, 10.5, 10.266666666666667)","(5.5, 7.2, 7.0)","(31.0, 90.0, 78.46153846153847)","(6.0, 7.0, 6.7176470588235295)","(6.5, 7.2, 6.916129032258064)"
15-12-2022 10:48:37.855969,"(13.0, 19.5, 19.333333333333332)","(14.0, 21.0, 20.75)","(11.0, 16.0, 15.80952380952381)","(2.8, 3.55, 3.4545454545454546)","(7.5, 10.5, 10.266666666666667)","(5.5, 7.2, 7.0)","(31.0, 90.0, 78.46153846153847)","(6.0, 7.0, 6.7176470588235295)","(6.5, 7.2, 6.753846153846154)"
15-12-2022 10:48:38.979578,"(13.0, 19.5, 19.333333333333332)","(14.0, 21.0, 20.75)","(11.0, 16.0, 15.80952380952381)","(2.8, 3.55, 3.4545454545454546)","(7.5, 10.5, 10.266666666666667)","(5.5, 7.2, 7.0)","(31.0, 90.0, 78.46153846153847)","(6.0, 7.0, 6.7176470588235295)","(6.5, 7.0, 6.622222222222222)"
15-12-2022 10:48:40.133163,"(13.0, 19.5, 19.333333333333332)","(14.0, 21.0, 20.75)","(11.0, 16.0, 15.80952380952381)","(2.8, 3.55, 3.4545454545454546)","(7.5, 10.5, 10.266666666666667)","(5.5, 7.2, 7.057142857142857)","(31.0, 90.0, 78.46153846153847)","(6.0, 7.0, 6.885106382978723)","(6.5, 7.0, 6.622222222222222)"
15-12-2022 10:48:41.278314,"(13.0, 19.5, 19.333333333333332)","(14.0, 21.0, 20.75)","(11.0, 16.0, 15.80952380952381)","(2.8, 3.55, 3.4545454545454546)","(7.5, 10.5, 10.266666666666667)","(5.5, 7.2, 7.057142857142857)","(31.0, 90.0, 78.46153846153847)","(6.0, 7.2, 6.885106382978723)","(6.5, 7.0, 6.622222222222222)"
15-12-2022 10:48:42.423272,"(13.0, 19.5, 19.333333333333332)","(14.0, 21.0, 20.75)","(11.0, 16.0, 15.80952380952381)","(2.8, 3.6, 3.486666666666667)","(7.5, 10.5, 10.266666666666667)","(5.5, 7.2, 6.825)","(31.0, 90.0, 78.46153846153847)","(6.0, 7.2, 6.885106382978723)","(6.5, 7.0, 6.617391304347826)"
15-12-2022 10:48:43.613476,"(13.0, 19.5, 19.3125)","(14.0, 21.0, 20.75)","(11.0, 16.0, 15.80952380952381)","(2.8, 3.6, 3.5014492753623188)","(7.5, 10.5, 10.35)","(5.5, 7.2, 6.8478260869565215)","(31.0, 90.0, 75.0)","(6.0, 7.2, 6.857142857142857)","(6.5, 7.0, 6.685714285714285)"
15-12-2022 10:48:44.793431,"(13.0, 19.5, 19.40909090909091)","(14.0, 21.0, 20.75)","(11.0, 16.0, 15.80952380952381)","(2.8, 3.6, 3.5107142857142857)","(8.0, 10.5, 10.36875)","(5.5, 7.2, 6.8478260869565215)","(31.0, 90.0, 75.0)","(6.0, 7.2, 6.824242424242424)","(6.5, 7.0, 6.714285714285714)"
15-12-2022 10:48:45.975454,"(13.0, 19.5, 19.40909090909091)","(14.0, 21.0, 20.75)","(11.0, 16.0, 15.80952380952381)","(2.8, 3.55, 3.431395348837209)","(8.0, 10.5, 10.376470588235295)","(5.5, 7.2, 6.84)","(31.0, 90.0, 75.0)","(6.0, 7.2, 6.864864864864865)","(6.5, 7.0, 6.76)"
15-12-2022 10:48:47.215687,"(13.0, 19.5, 19.416666666666668)","(14.0, 21.0, 20.764705882352942)","(11.0, 16.0, 15.818181818181818)","(2.8, 3.55, 3.428723404255319)","(8.0, 10.5, 10.4)","(5.5, 7.2, 6.84)","(41.0, 90.0, 75.0)","(5.5, 7.2, 6.864864864864865)","(6.0, 7.0, 6.648)"
15-12-2022 10:48:48.299691,"(14.0, 19.5, 19.416666666666668)","(14.0, 21.0, 20.764705882352942)","(11.0, 16.0, 15.692307692307692)","(2.8, 3.55, 3.4636363636363634)","(8.0, 10.5, 10.4)","(5.5, 7.2, 6.84)","(41.0, 90.0, 75.0)","(5.5, 7.2, 6.864864864864865)","(6.0, 7.0, 6.648)"
