,Lotta Moscato,Lilly Chrome,Passingthemistery,Love My Cheryl,Shes So Speightsy,Karma Ghia
0,"[datetime.datetime(2022, 11, 28, 9, 50, 16, 840527), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 840527), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 840527), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 840527), 2.6, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 840527), 3.7, 4.4]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 840527), 4.0, 5.4]"
1,"[datetime.datetime(2022, 11, 28, 9, 50, 17, 953350), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 953350), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 953350), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 953350), 2.6, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 953350), 3.7, 4.4]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 953350), 4.0, 5.4]"
2,"[datetime.datetime(2022, 11, 28, 9, 50, 19, 58466), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 58466), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 58466), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 58466), 2.6, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 58466), 3.7, 4.4]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 58466), 4.0, 5.4]"
3,"[datetime.datetime(2022, 11, 28, 9, 50, 20, 167809), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 167809), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 167809), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 167809), 2.6, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 167809), 3.7, 4.4]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 167809), 4.0, 5.4]"
4,"[datetime.datetime(2022, 11, 28, 9, 50, 21, 281973), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 21, 281973), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 21, 281973), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 50, 21, 281973), 2.6, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 21, 281973), 3.7, 4.4]","[datetime.datetime(2022, 11, 28, 9, 50, 21, 281973), 4.0, 5.4]"
5,"[datetime.datetime(2022, 11, 28, 9, 50, 22, 382575), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 22, 382575), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 22, 382575), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 50, 22, 382575), 2.6, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 22, 382575), 3.7, 4.4]","[datetime.datetime(2022, 11, 28, 9, 50, 22, 382575), 4.0, 5.4]"
6,"[datetime.datetime(2022, 11, 28, 9, 50, 23, 489676), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 23, 489676), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 23, 489676), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 50, 23, 489676), 2.6, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 23, 489676), 3.7, 4.4]","[datetime.datetime(2022, 11, 28, 9, 50, 23, 489676), 4.0, 5.4]"
7,"[datetime.datetime(2022, 11, 28, 9, 50, 24, 595132), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 595132), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 595132), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 595132), 2.6, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 595132), 3.7, 4.4]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 595132), 4.0, 5.4]"
8,"[datetime.datetime(2022, 11, 28, 9, 50, 25, 690313), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 25, 690313), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 25, 690313), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 50, 25, 690313), 2.6, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 25, 690313), 3.7, 4.4]","[datetime.datetime(2022, 11, 28, 9, 50, 25, 690313), 4.0, 5.4]"
9,"[datetime.datetime(2022, 11, 28, 9, 50, 26, 793753), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 26, 793753), 10.0, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 26, 793753), 12.0, 55.0]","[datetime.datetime(2022, 11, 28, 9, 50, 26, 793753), 2.6, 16.5]","[datetime.datetime(2022, 11, 28, 9, 50, 26, 793753), 3.7, 4.4]","[datetime.datetime(2022, 11, 28, 9, 50, 26, 793753), 4.0, 5.4]"
