,Aston General,Gyarados,Sugar Freak,Myola Pocket,Quinnley Bale,Scott To Burn,Extremely
07-01-2023 20:30:46.685088,"(5.0, 9.6, 7.645454545454545)","(6.5, 8.6, 8.1)","(3.6, 7.4, 6.66)","(19.0, 70.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:30:47.903952,"(5.0, 9.6, 7.645454545454545)","(6.5, 8.6, 8.1)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:30:49.200647,"(5.0, 9.6, 7.645454545454545)","(6.5, 8.6, 8.1)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:30:50.478342,"(5.0, 9.6, 7.645454545454545)","(6.5, 8.6, 8.1)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:30:51.800067,"(5.0, 9.6, 7.645454545454545)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:30:52.925963,"(5.0, 9.6, 7.645454545454545)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:30:54.005787,"(5.0, 9.6, 7.645454545454545)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:30:55.173434,"(5.0, 9.6, 7.645454545454545)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:30:56.324634,"(5.0, 9.6, 7.645454545454545)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
07-01-2023 20:30:57.638817,"(5.0, 9.6, 7.645454545454545)","(6.5, 8.6, 7.949999999999999)","(3.6, 7.4, 6.66)","(19.0, 80.0, 37.09090909090909)","(10.0, 21.0, 19.0)","(3.8, 5.2, 5.038888888888889)","(3.7, 5.4, 5.211111111111111)"
