,Jackie Rose,Burn Rate,Pacific Rock,Baggys Gold,Merinda,Exiled,Pancho Tommy,Kiwi Turtle
11-01-2023 20:55:58.463184,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 18.364705882352943)","(31.0, 220.0, 124.5)","(10.0, 24.0, 22.923076923076923)","(12.0, 28.0, 22.6875)","(17.0, 55.0, 38.75)","(21.0, 75.0, 49.54545454545455)"
11-01-2023 20:55:59.546205,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 18.364705882352943)","(31.0, 220.0, 124.5)","(10.0, 24.0, 22.923076923076923)","(12.0, 28.0, 22.6875)","(17.0, 55.0, 38.75)","(21.0, 75.0, 49.54545454545455)"
11-01-2023 20:56:00.673914,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 18.364705882352943)","(31.0, 220.0, 97.21428571428571)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:01.847797,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:02.970470,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:04.071389,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:05.160385,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:06.151564,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:07.195688,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:08.299260,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:09.381112,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
11-01-2023 20:56:10.440649,"(1.9, 3.2, 2.071111111111111)","(2.8, 4.4, 2.8775000000000004)","(9.0, 19.0, 13.11111111111111)","(31.0, 220.0, 118.88235294117646)","(10.0, 24.0, 20.625)","(12.0, 28.0, 16.0)","(17.0, 55.0, 27.0)","(21.0, 75.0, 43.0)"
