,Busters Choice,Gunfighter,Lee Haitch Oh,Uplink,Fort Jefferson,Silver Onyx,Skyforger,Electric Daisy,Secia,Firey Panz,Mean Girls
12-01-2023 14:58:50.170716,"(101.0, 230.0, 175.0)","(8.0, 14.0, 12.055555555555555)","(101.0, 230.0, 197.5)","(51.0, 230.0, 145.0)","(10.0, 13.5, 13.365384615384615)","(3.9, 5.8, 5.678260869565217)","(2.1, 2.28, 2.23679012345679)","(51.0, 230.0, 147.5)","(41.0, 140.0, 78.2962962962963)","(4.8, 6.4, 6.1)","(31.0, 120.0, 85.33333333333333)"
12-01-2023 14:58:51.625663,"(101.0, 230.0, 175.0)","(8.0, 14.0, 12.055555555555555)","(101.0, 230.0, 197.5)","(51.0, 230.0, 145.0)","(10.0, 13.5, 13.365384615384615)","(3.9, 5.8, 5.678260869565217)","(2.1, 2.28, 2.23679012345679)","(51.0, 230.0, 147.5)","(41.0, 140.0, 78.2962962962963)","(4.8, 6.4, 6.1)","(31.0, 120.0, 85.33333333333333)"
12-01-2023 14:58:52.986674,"(101.0, 230.0, 175.0)","(8.0, 14.0, 12.055555555555555)","(101.0, 230.0, 197.5)","(51.0, 230.0, 145.0)","(10.0, 13.5, 13.365384615384615)","(3.9, 5.8, 5.1)","(2.1, 2.28, 2.23679012345679)","(51.0, 230.0, 147.5)","(41.0, 140.0, 78.2962962962963)","(4.8, 6.4, 6.1)","(31.0, 120.0, 85.33333333333333)"
12-01-2023 14:58:54.355388,"(101.0, 230.0, 175.0)","(8.0, 14.0, 12.055555555555555)","(101.0, 230.0, 197.5)","(51.0, 230.0, 145.0)","(10.0, 13.5, 13.365384615384615)","(3.9, 5.8, 5.1)","(2.1, 2.28, 2.23679012345679)","(51.0, 230.0, 147.5)","(41.0, 140.0, 78.2962962962963)","(4.8, 6.4, 5.98)","(31.0, 120.0, 85.33333333333333)"
12-01-2023 14:58:55.663888,"(101.0, 230.0, 175.0)","(8.0, 14.0, 12.055555555555555)","(101.0, 230.0, 197.5)","(51.0, 230.0, 145.0)","(10.0, 13.5, 13.365384615384615)","(3.9, 5.8, 5.1)","(2.1, 2.28, 2.23679012345679)","(51.0, 230.0, 147.5)","(41.0, 140.0, 78.2962962962963)","(4.8, 6.4, 5.98)","(31.0, 120.0, 85.33333333333333)"
12-01-2023 14:58:57.108917,"(101.0, 230.0, 175.0)","(8.0, 14.0, 12.055555555555555)","(101.0, 230.0, 197.5)","(51.0, 230.0, 145.0)","(10.0, 13.5, 13.365384615384615)","(3.9, 5.8, 5.1)","(2.1, 2.28, 2.23679012345679)","(51.0, 230.0, 147.5)","(41.0, 140.0, 78.2962962962963)","(4.8, 6.4, 5.98)","(31.0, 120.0, 85.33333333333333)"
12-01-2023 14:58:58.586210,"(101.0, 230.0, 175.0)","(8.0, 14.0, 12.055555555555555)","(101.0, 230.0, 197.5)","(51.0, 230.0, 145.0)","(10.0, 13.5, 13.365384615384615)","(3.9, 5.8, 5.1)","(2.1, 2.28, 2.23679012345679)","(51.0, 230.0, 147.5)","(41.0, 140.0, 78.2962962962963)","(4.8, 6.4, 5.98)","(31.0, 120.0, 85.33333333333333)"
12-01-2023 14:59:00.063097,"(101.0, 230.0, 175.0)","(8.0, 14.0, 12.055555555555555)","(101.0, 230.0, 197.5)","(51.0, 230.0, 145.0)","(10.0, 13.5, 13.365384615384615)","(3.9, 5.8, 5.1)","(2.1, 2.28, 2.23679012345679)","(51.0, 230.0, 147.5)","(41.0, 140.0, 78.2962962962963)","(4.8, 6.4, 5.98)","(31.0, 120.0, 85.33333333333333)"
12-01-2023 14:59:01.488440,"(101.0, 230.0, 175.0)","(8.0, 14.0, 12.055555555555555)","(101.0, 230.0, 197.5)","(51.0, 230.0, 145.0)","(10.0, 13.5, 13.365384615384615)","(3.9, 5.8, 5.1)","(2.1, 2.28, 2.23679012345679)","(51.0, 230.0, 147.5)","(41.0, 140.0, 78.2962962962963)","(4.8, 6.4, 5.98)","(31.0, 120.0, 85.33333333333333)"
12-01-2023 14:59:02.849834,"(101.0, 230.0, 175.0)","(8.0, 14.0, 12.055555555555555)","(101.0, 230.0, 197.5)","(51.0, 230.0, 145.0)","(10.0, 13.5, 13.030303030303031)","(3.9, 5.8, 5.1)","(2.1, 2.28, 2.23679012345679)","(51.0, 230.0, 147.5)","(41.0, 140.0, 78.2962962962963)","(4.8, 6.4, 5.98)","(31.0, 120.0, 85.33333333333333)"
