,Fake Magic,Taspinaro,Right Hook,Madetobebroken,Labby Rock,Tennessee Beach,Tricky Mikki,Snowbird,Destiny Force
11-01-2023 13:33:01.515236,"(2.15, 3.05, 2.836470588235294)","(31.0, 60.0, 51.33333333333333)","(6.0, 8.6, 7.5)","(10.0, 19.0, 17.6)","(14.0, 28.0, 22.75)","(12.0, 23.0, 20.0)","(3.2, 3.6, 3.507894736842105)","(31.0, 60.0, 48.0)","(61.0, 150.0, 83.33333333333333)"
11-01-2023 13:33:02.739557,"(2.15, 3.05, 2.836470588235294)","(31.0, 60.0, 51.33333333333333)","(6.0, 8.6, 7.8)","(10.0, 19.0, 17.6)","(14.0, 28.0, 22.75)","(12.0, 23.0, 20.0)","(3.2, 3.55, 3.507894736842105)","(31.0, 60.0, 48.0)","(61.0, 150.0, 83.33333333333333)"
11-01-2023 13:33:03.901543,"(2.15, 3.05, 2.836470588235294)","(31.0, 60.0, 51.33333333333333)","(6.0, 8.6, 7.8)","(10.0, 19.0, 18.166666666666668)","(14.0, 28.0, 22.75)","(12.0, 23.0, 20.0)","(3.2, 3.55, 3.375)","(31.0, 60.0, 48.0)","(61.0, 150.0, 83.33333333333333)"
11-01-2023 13:33:05.123595,"(2.15, 3.05, 2.8876190476190478)","(31.0, 60.0, 51.33333333333333)","(6.0, 8.6, 7.8)","(10.0, 19.5, 18.166666666666668)","(14.0, 28.0, 22.75)","(12.0, 23.0, 20.0)","(3.2, 3.55, 3.375)","(31.0, 60.0, 48.0)","(61.0, 150.0, 96.66666666666667)"
11-01-2023 13:33:06.429274,"(2.15, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(6.0, 8.6, 7.8)","(10.0, 19.5, 17.5)","(14.0, 28.0, 22.75)","(12.0, 23.0, 20.0)","(3.2, 3.55, 3.375)","(31.0, 60.0, 48.0)","(61.0, 150.0, 96.66666666666667)"
11-01-2023 13:33:07.625968,"(2.15, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(6.0, 8.6, 7.285714285714286)","(10.0, 19.5, 17.5)","(14.0, 28.0, 22.75)","(12.0, 23.0, 20.0)","(3.2, 3.55, 3.375)","(31.0, 60.0, 48.0)","(61.0, 150.0, 96.66666666666667)"
11-01-2023 13:33:08.755847,"(2.15, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(6.0, 8.6, 7.285714285714286)","(10.0, 19.5, 17.5)","(14.0, 28.0, 22.75)","(12.0, 23.0, 20.0)","(3.2, 3.55, 3.375)","(31.0, 60.0, 48.0)","(61.0, 150.0, 96.66666666666667)"
11-01-2023 13:33:09.901074,"(2.15, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(6.0, 8.6, 7.285714285714286)","(10.0, 19.5, 17.5)","(14.0, 28.0, 22.75)","(12.0, 23.0, 20.0)","(3.2, 3.55, 3.375)","(31.0, 60.0, 48.0)","(61.0, 150.0, 110.0)"
11-01-2023 13:33:11.079436,"(2.15, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(6.0, 8.6, 7.285714285714286)","(10.0, 19.5, 16.833333333333332)","(14.0, 28.0, 22.75)","(12.0, 23.0, 20.0)","(3.2, 3.55, 3.375)","(31.0, 60.0, 40.0)","(61.0, 140.0, 110.0)"
11-01-2023 13:33:12.333393,"(2.15, 3.05, 2.850625)","(31.0, 60.0, 51.33333333333333)","(6.0, 8.6, 7.285714285714286)","(10.0, 19.5, 16.833333333333332)","(14.0, 28.0, 22.75)","(12.0, 23.0, 20.0)","(3.2, 3.55, 3.375)","(31.0, 60.0, 40.0)","(61.0, 140.0, 110.0)"
