,Fake Magic,Taspinaro,Right Hook,Madetobebroken,Labby Rock,Tennessee Beach,Tricky Mikki,Snowbird,Destiny Force
11-01-2023 13:37:11.288056,"(2.15, 2.76, 2.69)","(31.0, 120.0, 104.72727272727273)","(6.0, 7.6, 7.213333333333334)","(10.0, 17.5, 17.227272727272727)","(14.0, 32.0, 30.333333333333332)","(12.0, 18.5, 18.125)","(3.2, 3.55, 3.3986842105263158)","(31.0, 50.0, 46.0)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:12.879237,"(2.15, 2.76, 2.69)","(31.0, 120.0, 104.72727272727273)","(6.0, 7.6, 7.213333333333334)","(10.0, 17.5, 17.785714285714285)","(14.0, 32.0, 30.333333333333332)","(12.0, 18.5, 17.75)","(3.2, 3.55, 3.3986842105263158)","(31.0, 50.0, 46.0)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:14.342363,"(2.15, 2.76, 2.69)","(31.0, 110.0, 62.0)","(6.0, 7.6, 7.213333333333334)","(10.0, 19.5, 17.785714285714285)","(14.0, 32.0, 30.333333333333332)","(12.0, 18.5, 17.75)","(3.2, 3.55, 3.3986842105263158)","(31.0, 50.0, 46.0)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:15.778983,"(2.15, 2.76, 2.69)","(31.0, 110.0, 62.0)","(6.0, 7.6, 7.213333333333334)","(10.0, 19.5, 17.785714285714285)","(14.0, 32.0, 37.0)","(12.0, 18.5, 17.75)","(3.2, 3.55, 3.3986842105263158)","(31.0, 50.0, 46.0)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:17.098893,"(2.15, 2.76, 2.69)","(31.0, 110.0, 62.0)","(6.0, 7.6, 8.3)","(10.0, 19.5, 18.0)","(14.0, 42.0, 26.285714285714285)","(12.0, 18.5, 17.75)","(3.2, 3.55, 3.2590361445783134)","(31.0, 50.0, 36.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:18.412156,"(2.15, 2.78, 2.6272727272727274)","(31.0, 110.0, 62.0)","(6.0, 9.4, 8.3)","(10.0, 19.0, 18.0)","(14.0, 40.0, 26.285714285714285)","(12.0, 18.5, 18.05)","(3.2, 3.55, 3.2590361445783134)","(31.0, 50.0, 35.0)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:19.699416,"(2.15, 2.78, 2.628421052631579)","(31.0, 110.0, 62.0)","(6.0, 9.4, 8.7125)","(10.0, 19.0, 17.25)","(14.0, 38.0, 33.666666666666664)","(12.0, 18.5, 17.75)","(3.2, 3.55, 3.3615384615384616)","(31.0, 50.0, 35.0)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:21.142099,"(2.15, 2.74, 2.626666666666667)","(31.0, 110.0, 62.0)","(6.0, 9.4, 8.4)","(10.0, 18.5, 17.25)","(14.0, 38.0, 33.666666666666664)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.38)","(31.0, 50.0, 35.0)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:22.538884,"(2.15, 2.74, 2.626666666666667)","(31.0, 110.0, 62.0)","(6.0, 9.4, 8.4)","(10.0, 18.5, 17.25)","(14.0, 38.0, 33.666666666666664)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.38)","(31.0, 50.0, 35.0)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:24.340854,"(2.15, 2.74, 2.68)","(31.0, 110.0, 62.0)","(6.0, 9.4, 8.4)","(10.0, 18.5, 17.25)","(14.0, 38.0, 33.666666666666664)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.3615384615384616)","(31.0, 50.0, 35.0)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:25.744345,"(2.15, 2.74, 2.68)","(31.0, 110.0, 62.0)","(6.0, 9.4, 8.057142857142857)","(10.0, 18.5, 17.25)","(14.0, 38.0, 33.666666666666664)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.3615384615384616)","(31.0, 50.0, 35.0)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:26.965759,"(2.15, 2.74, 2.68)","(31.0, 110.0, 62.0)","(6.0, 9.2, 8.057142857142857)","(10.0, 18.5, 17.25)","(14.0, 38.0, 28.75)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.3615384615384616)","(31.0, 50.0, 35.0)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:28.373773,"(2.15, 2.74, 2.68)","(31.0, 110.0, 62.0)","(6.0, 9.2, 8.057142857142857)","(10.0, 18.5, 17.25)","(14.0, 40.0, 28.75)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.3615384615384616)","(31.0, 50.0, 35.0)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:29.687501,"(2.15, 2.74, 2.68)","(31.0, 110.0, 62.0)","(6.0, 9.2, 8.057142857142857)","(10.0, 18.5, 17.25)","(14.0, 40.0, 31.0)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.3615384615384616)","(31.0, 50.0, 35.0)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:31.030001,"(2.15, 2.74, 2.68)","(31.0, 110.0, 62.0)","(6.0, 9.2, 8.057142857142857)","(10.0, 18.5, 17.25)","(14.0, 40.0, 33.666666666666664)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.3615384615384616)","(31.0, 50.0, 35.0)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:32.417612,"(2.15, 2.74, 2.68)","(31.0, 110.0, 62.0)","(6.0, 9.2, 8.057142857142857)","(10.0, 18.5, 17.25)","(14.0, 38.0, 33.666666666666664)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.3615384615384616)","(31.0, 50.0, 35.0)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:33.754180,"(2.15, 2.74, 2.68)","(31.0, 110.0, 62.0)","(6.0, 9.2, 8.057142857142857)","(10.0, 18.5, 17.25)","(14.0, 38.0, 32.5)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.3615384615384616)","(31.0, 50.0, 36.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:35.173637,"(2.15, 2.74, 2.68)","(31.0, 110.0, 62.0)","(6.0, 9.2, 8.057142857142857)","(10.0, 18.5, 17.25)","(14.0, 40.0, 32.5)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.3615384615384616)","(31.0, 50.0, 36.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:36.422831,"(2.15, 2.74, 2.68)","(31.0, 110.0, 62.0)","(6.0, 9.2, 8.057142857142857)","(10.0, 18.5, 17.25)","(14.0, 40.0, 32.5)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.3615384615384616)","(31.0, 50.0, 36.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:37.680155,"(2.15, 2.74, 2.68)","(31.0, 110.0, 62.0)","(6.0, 9.2, 8.057142857142857)","(10.0, 18.5, 17.25)","(14.0, 40.0, 32.5)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.3615384615384616)","(31.0, 50.0, 36.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:38.840302,"(2.15, 2.74, 2.68)","(31.0, 110.0, 62.0)","(6.0, 9.2, 8.057142857142857)","(10.0, 18.5, 17.25)","(14.0, 40.0, 32.5)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.3615384615384616)","(31.0, 50.0, 36.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:40.161184,"(2.15, 2.74, 2.68)","(31.0, 110.0, 62.0)","(6.0, 9.2, 8.057142857142857)","(10.0, 18.5, 17.4)","(14.0, 40.0, 32.5)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.3615384615384616)","(31.0, 50.0, 36.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:41.576605,"(2.15, 2.74, 2.68)","(31.0, 110.0, 69.0)","(6.0, 9.2, 8.057142857142857)","(10.0, 18.0, 17.4)","(14.0, 40.0, 31.5)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.3615384615384616)","(31.0, 50.0, 36.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:42.806708,"(2.15, 2.74, 2.68)","(31.0, 100.0, 69.0)","(6.0, 9.2, 8.290909090909091)","(10.0, 18.0, 17.4)","(14.0, 38.0, 28.0)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.38)","(31.0, 50.0, 36.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:44.068717,"(2.15, 2.74, 2.68)","(31.0, 100.0, 69.0)","(6.0, 9.2, 8.6)","(10.0, 18.0, 17.4)","(14.0, 36.0, 28.0)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.38)","(31.0, 50.0, 36.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:45.358589,"(2.15, 2.74, 2.68)","(31.0, 100.0, 69.0)","(6.0, 9.2, 8.6)","(10.0, 18.0, 17.4)","(14.0, 36.0, 28.0)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.3421052631578947)","(31.0, 50.0, 36.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:46.752025,"(2.15, 2.74, 2.68)","(31.0, 100.0, 69.0)","(6.0, 9.2, 8.6)","(10.0, 18.0, 17.4)","(14.0, 36.0, 28.0)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.3421052631578947)","(31.0, 50.0, 36.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:47.950407,"(2.15, 2.74, 2.68)","(31.0, 100.0, 69.0)","(6.0, 9.2, 8.6)","(10.0, 18.0, 17.4)","(14.0, 36.0, 28.0)","(12.0, 18.5, 17.75)","(3.2, 3.5, 3.3421052631578947)","(31.0, 50.0, 36.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:49.214632,"(2.15, 2.74, 2.68)","(31.0, 100.0, 69.0)","(6.0, 9.2, 8.6)","(10.0, 18.0, 17.4)","(14.0, 36.0, 28.0)","(12.0, 18.5, 17.375)","(3.2, 3.5, 3.3421052631578947)","(31.0, 50.0, 36.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:50.456334,"(2.15, 2.74, 2.68)","(31.0, 100.0, 66.0)","(6.0, 9.2, 8.6)","(10.0, 18.0, 16.6)","(14.0, 36.0, 28.0)","(12.0, 18.5, 15.4375)","(3.2, 3.5, 3.3542857142857145)","(31.0, 50.0, 46.92307692307692)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:51.745404,"(2.15, 2.74, 2.6285714285714286)","(31.0, 100.0, 92.44444444444444)","(6.0, 9.2, 8.881818181818181)","(10.0, 18.0, 17.454545454545453)","(14.0, 36.0, 31.2)","(12.0, 18.5, 15.4375)","(3.2, 3.5, 3.3542857142857145)","(31.0, 50.0, 46.92307692307692)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:53.030934,"(2.15, 2.74, 2.6285714285714286)","(31.0, 100.0, 77.33333333333334)","(6.0, 9.2, 8.881818181818181)","(10.0, 18.0, 17.454545454545453)","(14.0, 36.0, 31.2)","(12.0, 18.5, 15.4375)","(3.2, 3.5, 3.3542857142857145)","(31.0, 50.0, 46.92307692307692)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:54.508552,"(2.15, 2.74, 2.6285714285714286)","(31.0, 100.0, 93.19999999999999)","(6.0, 9.2, 8.2)","(10.0, 18.0, 17.454545454545453)","(14.0, 36.0, 28.0)","(12.0, 18.5, 15.4375)","(3.2, 3.5, 3.3542857142857145)","(31.0, 50.0, 36.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:56.177651,"(2.15, 2.74, 2.6285714285714286)","(31.0, 100.0, 91.75)","(6.0, 9.2, 8.685714285714285)","(10.0, 18.0, 17.454545454545453)","(14.0, 36.0, 28.0)","(12.0, 18.5, 15.4375)","(3.2, 3.5, 3.3542857142857145)","(31.0, 50.0, 36.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:57.478014,"(2.15, 2.74, 2.6285714285714286)","(31.0, 100.0, 91.75)","(6.0, 9.2, 8.685714285714285)","(10.0, 18.0, 17.454545454545453)","(14.0, 36.0, 28.0)","(12.0, 18.5, 15.4375)","(3.2, 3.5, 3.3542857142857145)","(31.0, 50.0, 36.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:37:58.858120,"(2.15, 2.74, 2.6285714285714286)","(31.0, 100.0, 91.75)","(6.0, 9.2, 8.685714285714285)","(10.0, 18.0, 17.454545454545453)","(14.0, 36.0, 28.0)","(12.0, 18.5, 15.4375)","(3.2, 3.5, 3.3542857142857145)","(31.0, 50.0, 36.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:38:00.183826,"(2.15, 2.74, 2.6285714285714286)","(31.0, 100.0, 67.0)","(6.0, 9.4, 9.266666666666667)","(10.0, 17.0, 15.214285714285714)","(14.0, 36.0, 34.0)","(12.0, 18.5, 15.4375)","(3.2, 3.5, 3.3542857142857145)","(31.0, 50.0, 36.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:38:01.689383,"(2.15, 2.74, 2.6285714285714286)","(31.0, 100.0, 67.0)","(6.0, 9.4, 8.9)","(10.0, 17.0, 15.214285714285714)","(14.0, 36.0, 28.0)","(12.0, 18.5, 15.4375)","(3.2, 3.5, 3.3542857142857145)","(31.0, 50.0, 40.0)","(61.0, 85.0, 80.0)"
11-01-2023 13:38:03.073998,"(2.15, 2.74, 2.6285714285714286)","(31.0, 100.0, 67.0)","(6.0, 9.4, 9.275)","(10.0, 17.0, 15.214285714285714)","(14.0, 36.0, 27.0)","(12.0, 18.5, 15.4375)","(3.2, 3.5, 3.3421052631578947)","(31.0, 50.0, 38.0)","(61.0, 85.0, 80.0)"
11-01-2023 13:38:04.458181,"(2.15, 2.74, 2.6285714285714286)","(31.0, 100.0, 67.0)","(6.0, 9.4, 9.275)","(10.0, 17.0, 15.214285714285714)","(14.0, 36.0, 29.4)","(12.0, 18.5, 16.75)","(3.2, 3.5, 3.3421052631578947)","(31.0, 50.0, 38.0)","(61.0, 85.0, 80.0)"
11-01-2023 13:38:06.012134,"(2.15, 2.74, 2.6285714285714286)","(31.0, 100.0, 67.0)","(6.0, 9.4, 9.275)","(10.0, 17.0, 15.214285714285714)","(14.0, 36.0, 29.4)","(12.0, 18.0, 16.75)","(3.2, 3.5, 3.3421052631578947)","(31.0, 50.0, 38.0)","(61.0, 85.0, 80.0)"
11-01-2023 13:38:07.384304,"(2.15, 2.74, 2.6285714285714286)","(31.0, 100.0, 67.0)","(6.0, 9.4, 9.266666666666667)","(10.0, 17.0, 15.833333333333334)","(14.0, 36.0, 29.4)","(12.0, 18.0, 17.166666666666668)","(3.2, 3.5, 3.335483870967742)","(31.0, 50.0, 38.0)","(61.0, 85.0, 80.0)"
11-01-2023 13:38:08.719970,"(2.15, 2.74, 2.628)","(31.0, 100.0, 67.0)","(6.0, 9.4, 8.8)","(10.0, 16.5, 16.055555555555557)","(14.0, 36.0, 30.75)","(12.0, 17.5, 17.125)","(3.2, 3.5, 3.39375)","(31.0, 50.0, 39.5)","(61.0, 85.0, 80.0)"
11-01-2023 13:38:09.939202,"(2.15, 2.7, 2.628)","(31.0, 100.0, 67.0)","(6.0, 9.0, 8.8)","(10.0, 16.5, 16.055555555555557)","(14.0, 36.0, 30.4)","(12.0, 17.5, 17.125)","(3.2, 3.5, 3.4153846153846152)","(31.0, 50.0, 39.5)","(61.0, 85.0, 80.0)"
11-01-2023 13:38:11.264091,"(2.15, 2.7, 2.64)","(31.0, 100.0, 67.0)","(6.0, 9.0, 8.11111111111111)","(10.0, 16.5, 16.055555555555557)","(14.0, 36.0, 30.4)","(12.0, 17.5, 17.125)","(3.2, 3.5, 3.4153846153846152)","(31.0, 50.0, 39.5)","(61.0, 85.0, 80.0)"
11-01-2023 13:38:12.625039,"(2.15, 2.7, 2.6285714285714286)","(31.0, 100.0, 67.0)","(6.0, 9.0, 8.11111111111111)","(10.0, 16.5, 16.055555555555557)","(14.0, 36.0, 32.5)","(12.0, 17.5, 17.125)","(3.2, 3.5, 3.4304347826086956)","(31.0, 50.0, 39.5)","(61.0, 85.0, 80.0)"
11-01-2023 13:38:13.852079,"(2.15, 2.74, 2.6285714285714286)","(31.0, 100.0, 67.0)","(6.0, 9.0, 8.11111111111111)","(10.0, 16.5, 16.055555555555557)","(14.0, 36.0, 32.5)","(12.0, 17.5, 17.125)","(3.2, 3.5, 3.4304347826086956)","(31.0, 50.0, 39.5)","(61.0, 85.0, 80.0)"
11-01-2023 13:38:15.058742,"(2.15, 2.74, 2.6270588235294117)","(31.0, 100.0, 67.0)","(6.0, 9.0, 8.11111111111111)","(10.0, 16.5, 16.055555555555557)","(14.0, 36.0, 32.5)","(12.0, 17.5, 17.125)","(3.2, 3.5, 3.4304347826086956)","(31.0, 50.0, 39.5)","(61.0, 85.0, 80.0)"
11-01-2023 13:38:16.376162,"(2.15, 2.74, 2.6270588235294117)","(31.0, 100.0, 67.0)","(6.0, 9.0, 8.11111111111111)","(10.0, 16.5, 16.055555555555557)","(14.0, 36.0, 33.333333333333336)","(12.0, 17.5, 17.125)","(3.2, 3.5, 3.4304347826086956)","(31.0, 50.0, 40.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:38:17.638947,"(2.15, 2.74, 2.6270588235294117)","(31.0, 100.0, 67.0)","(6.0, 9.0, 8.11111111111111)","(10.0, 16.5, 16.055555555555557)","(14.0, 42.0, 33.333333333333336)","(12.0, 17.5, 17.125)","(3.2, 3.5, 3.4304347826086956)","(31.0, 50.0, 40.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:38:18.851563,"(2.15, 2.74, 2.6270588235294117)","(31.0, 100.0, 67.0)","(6.0, 9.0, 8.11111111111111)","(10.0, 16.5, 16.055555555555557)","(14.0, 42.0, 33.333333333333336)","(12.0, 17.5, 17.125)","(3.2, 3.5, 3.4304347826086956)","(31.0, 50.0, 40.666666666666664)","(61.0, 85.0, 80.0)"
11-01-2023 13:38:20.075195,"(2.15, 2.74, 2.6270588235294117)","(31.0, 100.0, 67.0)","(6.0, 9.0, 8.11111111111111)","(10.0, 16.5, 16.055555555555557)","(14.0, 42.0, 33.333333333333336)","(12.0, 17.5, 17.125)","(3.2, 3.5, 3.4304347826086956)","(31.0, 50.0, 40.666666666666664)","(61.0, 85.0, 72.5)"
11-01-2023 13:38:21.334724,"(2.15, 2.74, 2.644)","(31.0, 100.0, 67.0)","(6.0, 9.0, 8.11111111111111)","(10.0, 16.5, 16.055555555555557)","(14.0, 42.0, 33.333333333333336)","(12.0, 17.5, 17.125)","(3.2, 3.5, 3.4304347826086956)","(31.0, 50.0, 40.666666666666664)","(61.0, 85.0, 72.5)"
11-01-2023 13:38:22.618930,"(2.15, 2.74, 2.68)","(31.0, 100.0, 67.0)","(6.0, 9.0, 8.11111111111111)","(10.0, 16.5, 16.055555555555557)","(14.0, 42.0, 33.333333333333336)","(12.0, 17.5, 17.125)","(3.2, 3.5, 3.4304347826086956)","(31.0, 50.0, 40.666666666666664)","(61.0, 85.0, 95.0)"
11-01-2023 13:38:23.860744,"(2.15, 2.74, 2.68)","(31.0, 100.0, 89.66666666666667)","(6.0, 9.0, 8.11111111111111)","(10.0, 16.5, 16.055555555555557)","(14.0, 42.0, 33.333333333333336)","(12.0, 17.5, 17.125)","(3.2, 3.5, 3.4828125)","(31.0, 50.0, 40.666666666666664)","(61.0, 130.0, 95.0)"
11-01-2023 13:38:25.397568,"(2.15, 2.82, 2.67)","(31.0, 100.0, 89.66666666666667)","(6.0, 9.0, 8.083333333333334)","(10.0, 16.5, 16.055555555555557)","(14.0, 42.0, 33.333333333333336)","(12.0, 17.5, 17.125)","(3.2, 3.5, 3.4870967741935486)","(31.0, 50.0, 40.666666666666664)","(61.0, 120.0, 96.92307692307692)"
11-01-2023 13:38:26.867272,"(2.15, 2.82, 2.67)","(31.0, 100.0, 89.66666666666667)","(6.0, 9.0, 8.45)","(10.0, 16.5, 16.055555555555557)","(14.0, 42.0, 33.333333333333336)","(12.0, 17.5, 17.125)","(3.2, 3.5, 3.4870967741935486)","(31.0, 50.0, 40.666666666666664)","(61.0, 120.0, 96.92307692307692)"
11-01-2023 13:38:28.372649,"(2.15, 2.82, 2.66)","(31.0, 100.0, 89.66666666666667)","(6.0, 9.0, 8.45)","(10.0, 16.5, 16.055555555555557)","(14.0, 42.0, 33.333333333333336)","(12.0, 17.5, 17.125)","(3.2, 3.5, 3.4870967741935486)","(31.0, 50.0, 40.666666666666664)","(61.0, 120.0, 80.71428571428571)"
11-01-2023 13:38:29.871885,"(2.15, 2.82, 2.66)","(31.0, 110.0, 98.0)","(6.0, 9.0, 8.377777777777778)","(10.0, 16.5, 16.055555555555557)","(14.0, 42.0, 33.333333333333336)","(12.0, 17.5, 17.125)","(3.2, 3.5, 3.4870967741935486)","(31.0, 50.0, 40.666666666666664)","(61.0, 120.0, 100.35714285714286)"
11-01-2023 13:38:31.282016,"(2.15, 2.8, 2.6350000000000002)","(31.0, 110.0, 98.0)","(6.0, 9.0, 8.377777777777778)","(10.0, 16.5, 15.7)","(14.0, 42.0, 33.333333333333336)","(12.0, 18.0, 16.857142857142858)","(3.2, 3.5, 3.4870967741935486)","(31.0, 50.0, 40.666666666666664)","(61.0, 120.0, 100.35714285714286)"
11-01-2023 13:38:33.188914,"(2.15, 2.8, 2.63125)","(31.0, 110.0, 98.0)","(6.0, 9.0, 8.377777777777778)","(10.0, 16.5, 15.7)","(14.0, 42.0, 33.333333333333336)","(12.0, 18.0, 16.857142857142858)","(3.2, 3.5, 3.4870967741935486)","(31.0, 50.0, 40.666666666666664)","(61.0, 120.0, 100.35714285714286)"
11-01-2023 13:38:34.801815,"(2.15, 2.8, 2.6714285714285713)","(31.0, 110.0, 98.0)","(6.0, 9.0, 8.377777777777778)","(10.0, 16.5, 15.7)","(14.0, 42.0, 33.333333333333336)","(12.0, 18.0, 16.857142857142858)","(3.2, 3.5, 3.4870967741935486)","(31.0, 50.0, 40.666666666666664)","(61.0, 120.0, 95.0)"
11-01-2023 13:38:36.387598,"(2.15, 2.8, 2.6714285714285713)","(31.0, 110.0, 98.0)","(6.0, 9.0, 8.377777777777778)","(10.0, 16.5, 15.7)","(14.0, 42.0, 33.333333333333336)","(12.0, 18.0, 16.857142857142858)","(3.2, 3.5, 3.4870967741935486)","(31.0, 50.0, 40.666666666666664)","(61.0, 120.0, 95.0)"
11-01-2023 13:38:37.863347,"(2.15, 2.8, 2.6736842105263157)","(31.0, 110.0, 98.0)","(6.0, 9.0, 8.377777777777778)","(10.0, 16.5, 15.7)","(14.0, 42.0, 32.666666666666664)","(12.0, 18.0, 16.857142857142858)","(3.2, 3.5, 3.4870967741935486)","(31.0, 50.0, 40.666666666666664)","(61.0, 120.0, 95.0)"
11-01-2023 13:38:39.300404,"(2.15, 2.8, 2.68)","(31.0, 100.0, 82.28571428571429)","(6.0, 9.0, 8.377777777777778)","(10.0, 16.5, 15.7)","(14.0, 40.0, 32.666666666666664)","(12.0, 18.0, 16.857142857142858)","(3.2, 3.5, 3.4870967741935486)","(31.0, 50.0, 40.666666666666664)","(61.0, 120.0, 95.0)"
11-01-2023 13:38:40.746508,"(2.15, 2.8, 2.68)","(31.0, 100.0, 82.28571428571429)","(6.0, 9.0, 8.377777777777778)","(10.0, 16.5, 15.7)","(14.0, 38.0, 32.0)","(12.0, 18.0, 16.857142857142858)","(3.2, 3.5, 3.4870967741935486)","(31.0, 50.0, 40.666666666666664)","(61.0, 120.0, 95.0)"
11-01-2023 13:38:42.143534,"(2.15, 2.8, 2.68)","(31.0, 100.0, 82.28571428571429)","(6.0, 9.0, 8.377777777777778)","(10.0, 16.5, 15.7)","(14.0, 38.0, 30.5)","(12.0, 18.0, 16.857142857142858)","(3.2, 3.5, 3.4870967741935486)","(31.0, 50.0, 40.666666666666664)","(61.0, 120.0, 95.0)"
11-01-2023 13:38:43.665156,"(2.15, 2.8, 2.68)","(31.0, 100.0, 82.28571428571429)","(6.0, 9.0, 8.377777777777778)","(10.0, 16.5, 15.7)","(14.0, 38.0, 30.5)","(12.0, 18.0, 16.857142857142858)","(3.2, 3.5, 3.4870967741935486)","(31.0, 50.0, 40.666666666666664)","(61.0, 120.0, 95.0)"
11-01-2023 13:38:44.947490,"(2.15, 2.8, 2.68)","(31.0, 100.0, 82.28571428571429)","(6.0, 9.0, 8.377777777777778)","(10.0, 16.5, 15.7)","(14.0, 38.0, 30.5)","(12.0, 18.0, 16.857142857142858)","(3.2, 3.5, 3.4870967741935486)","(31.0, 50.0, 40.666666666666664)","(61.0, 120.0, 95.0)"
11-01-2023 13:38:46.461800,"(2.15, 2.8, 2.68)","(31.0, 100.0, 82.28571428571429)","(6.0, 9.0, 8.377777777777778)","(10.0, 16.5, 15.7)","(14.0, 38.0, 30.5)","(12.0, 18.0, 16.857142857142858)","(3.2, 3.5, 3.4870967741935486)","(31.0, 50.0, 40.666666666666664)","(61.0, 120.0, 95.0)"
11-01-2023 13:38:48.033065,"(2.15, 2.8, 2.68)","(31.0, 100.0, 82.28571428571429)","(6.0, 9.0, 8.377777777777778)","(10.0, 16.5, 15.7)","(14.0, 38.0, 30.5)","(12.0, 18.0, 16.857142857142858)","(3.2, 3.5, 3.4870967741935486)","(31.0, 50.0, 46.0)","(61.0, 120.0, 95.0)"
11-01-2023 13:38:49.464286,"(2.15, 2.8, 2.68)","(31.0, 100.0, 82.28571428571429)","(6.0, 9.0, 8.621052631578948)","(10.0, 16.5, 15.46551724137931)","(14.0, 36.0, 26.666666666666668)","(12.0, 18.0, 16.833333333333332)","(3.2, 3.5, 3.4870967741935486)","(31.0, 50.0, 46.0)","(61.0, 120.0, 95.0)"
11-01-2023 13:38:50.949372,"(2.15, 2.8, 2.7111111111111112)","(31.0, 100.0, 82.28571428571429)","(6.0, 9.0, 8.621052631578948)","(10.0, 16.5, 15.5625)","(14.0, 34.0, 26.666666666666668)","(12.0, 18.0, 16.833333333333332)","(3.2, 3.5, 3.4870967741935486)","(31.0, 50.0, 46.0)","(61.0, 120.0, 95.0)"
11-01-2023 13:38:52.395929,"(2.15, 2.8, 2.7111111111111112)","(31.0, 100.0, 82.28571428571429)","(6.0, 9.0, 8.621052631578948)","(10.0, 16.5, 15.666666666666666)","(14.0, 34.0, 26.666666666666668)","(12.0, 18.0, 16.785714285714285)","(3.2, 3.5, 3.4870967741935486)","(31.0, 50.0, 46.0)","(61.0, 120.0, 89.44444444444444)"
11-01-2023 13:38:53.792581,"(2.15, 2.8, 2.7111111111111112)","(31.0, 100.0, 82.28571428571429)","(6.0, 9.0, 8.621052631578948)","(10.0, 16.0, 14.833333333333334)","(14.0, 34.0, 26.666666666666668)","(12.0, 17.5, 16.5)","(3.2, 3.5, 3.4870967741935486)","(31.0, 50.0, 46.0)","(61.0, 120.0, 89.44444444444444)"
11-01-2023 13:38:55.190144,"(2.15, 2.8, 2.7111111111111112)","(31.0, 100.0, 82.28571428571429)","(6.0, 9.0, 8.563636363636363)","(10.0, 15.5, 15.055555555555555)","(14.0, 34.0, 26.666666666666668)","(12.0, 17.5, 17.136363636363637)","(3.2, 3.5, 3.4833333333333334)","(31.0, 50.0, 46.0)","(61.0, 120.0, 89.44444444444444)"
11-01-2023 13:38:56.589251,"(2.15, 2.78, 2.7163636363636363)","(31.0, 100.0, 82.28571428571429)","(6.0, 9.0, 8.657142857142857)","(10.0, 15.5, 15.192307692307692)","(14.0, 34.0, 26.666666666666668)","(12.0, 17.5, 17.136363636363637)","(3.2, 3.5, 3.4833333333333334)","(31.0, 50.0, 46.0)","(61.0, 120.0, 89.44444444444444)"
