,Jemeldi,Billionair Baby,Hard To Say,Roll Up,Busting,Cripps Tonite,Corfe Castle,Junqueira,Shaquila,Wowits Willywonka,Alert State,Mishani Persuasion
07-01-2023 15:07:42.618229,"(41.0, 60.0, 56.111111111111114)","(21.0, 29.0, 28.34328358208955)","(10.0, 13.0, 12.625)","(31.0, 38.0, 36.72222222222222)","(3.4, 3.75, 3.8243386243386244)","(16.0, 17.5, 17.27358490566038)","(7.0, 8.0, 8.055737704918032)","(2.7, 3.1, 3.036775818639798)","(19.0, 26.0, 24.941176470588236)","(61.0, 75.0, 72.5)","(61.0, 110.0, 96.40625)","(101.0, 320.0, 266.6666666666667)"
07-01-2023 15:07:44.007433,"(41.0, 60.0, 56.111111111111114)","(21.0, 29.0, 28.34328358208955)","(10.0, 13.0, 12.625)","(31.0, 38.0, 36.490566037735846)","(3.4, 3.85, 3.8272189349112424)","(16.0, 17.5, 17.26923076923077)","(7.0, 8.2, 8.07391304347826)","(2.7, 3.05, 3.0417582417582416)","(19.0, 26.0, 24.941176470588236)","(61.0, 75.0, 72.5)","(61.0, 110.0, 96.40625)","(101.0, 320.0, 266.6666666666667)"
07-01-2023 15:07:45.368500,"(41.0, 55.0, 50.689655172413794)","(21.0, 29.0, 28.34328358208955)","(10.0, 13.0, 12.752475247524753)","(31.0, 38.0, 36.490566037735846)","(3.4, 3.85, 3.8317241379310345)","(16.0, 17.5, 17.26923076923077)","(7.0, 8.2, 8.053125)","(2.7, 3.05, 3.0417582417582416)","(19.0, 26.0, 24.941176470588236)","(61.0, 75.0, 72.5)","(61.0, 110.0, 96.40625)","(101.0, 320.0, 266.6666666666667)"
07-01-2023 15:07:46.627329,"(41.0, 55.0, 50.689655172413794)","(21.0, 29.0, 28.34328358208955)","(10.0, 13.0, 12.762886597938145)","(31.0, 38.0, 36.490566037735846)","(3.4, 3.85, 3.8317241379310345)","(16.0, 17.5, 17.192307692307693)","(7.0, 8.2, 7.930508474576271)","(2.7, 3.05, 3.0359974424552427)","(19.0, 26.0, 24.941176470588236)","(61.0, 75.0, 72.5)","(61.0, 110.0, 96.40625)","(101.0, 320.0, 266.6666666666667)"
07-01-2023 15:07:47.947104,"(41.0, 55.0, 52.950819672131146)","(21.0, 28.0, 27.825)","(10.0, 13.0, 12.762886597938145)","(31.0, 38.0, 36.490566037735846)","(3.4, 3.85, 3.8335766423357662)","(16.0, 17.5, 17.192307692307693)","(7.0, 8.0, 7.930508474576271)","(2.7, 3.05, 3.0329625292740046)","(19.0, 26.0, 24.5)","(61.0, 75.0, 72.5)","(61.0, 110.0, 95.73770491803279)","(101.0, 320.0, 266.6666666666667)"
07-01-2023 15:07:49.305155,"(41.0, 55.0, 52.950819672131146)","(21.0, 28.0, 27.825)","(11.0, 13.0, 12.762886597938145)","(31.0, 38.0, 36.490566037735846)","(3.4, 3.85, 3.8335766423357662)","(15.0, 17.5, 17.192307692307693)","(7.0, 8.0, 7.930508474576271)","(2.7, 3.05, 3.037785234899329)","(19.0, 26.0, 24.5)","(61.0, 75.0, 72.5)","(71.0, 110.0, 95.73770491803279)","(101.0, 320.0, 266.6666666666667)"
07-01-2023 15:07:50.613497,"(41.0, 55.0, 53.36206896551724)","(21.0, 28.0, 27.78125)","(11.0, 13.0, 12.953947368421053)","(31.0, 38.0, 36.490566037735846)","(3.4, 3.85, 3.848684210526316)","(15.0, 17.5, 17.625)","(7.0, 8.0, 7.930508474576271)","(2.7, 3.05, 3.05705329153605)","(19.0, 26.0, 24.5)","(61.0, 75.0, 73.88888888888889)","(71.0, 110.0, 95.73770491803279)","(101.0, 320.0, 266.6666666666667)"
07-01-2023 15:07:51.912545,"(41.0, 55.0, 53.36206896551724)","(21.0, 28.0, 27.73076923076923)","(11.0, 13.0, 12.953947368421053)","(31.0, 38.0, 36.490566037735846)","(3.4, 3.85, 3.8507246376811595)","(15.0, 18.0, 17.934782608695652)","(7.0, 8.0, 7.930508474576271)","(2.7, 3.1, 3.0367897727272726)","(19.0, 26.0, 24.5)","(61.0, 75.0, 73.88888888888889)","(71.0, 110.0, 95.73770491803279)","(101.0, 320.0, 266.6666666666667)"
07-01-2023 15:07:53.176629,"(41.0, 55.0, 53.36206896551724)","(21.0, 27.0, 26.6)","(11.0, 13.0, 12.953947368421053)","(31.0, 38.0, 36.490566037735846)","(3.4, 3.9, 3.8753623188405797)","(15.0, 18.0, 17.863636363636363)","(7.0, 8.0, 7.930508474576271)","(2.7, 3.05, 3.0285242290748897)","(19.0, 26.0, 24.5)","(61.0, 75.0, 73.88888888888889)","(71.0, 110.0, 95.73770491803279)","(101.0, 320.0, 266.6666666666667)"
07-01-2023 15:07:54.467827,"(41.0, 55.0, 53.0)","(21.0, 27.0, 26.5)","(11.0, 13.5, 12.992857142857142)","(31.0, 38.0, 36.72222222222222)","(3.4, 3.9, 3.8753623188405797)","(15.0, 18.0, 17.95945945945946)","(7.0, 8.0, 7.930508474576271)","(2.7, 3.05, 3.0285242290748897)","(19.0, 26.0, 24.5)","(61.0, 75.0, 73.88888888888889)","(71.0, 110.0, 95.73770491803279)","(101.0, 320.0, 266.6666666666667)"
07-01-2023 15:07:55.766263,"(41.0, 55.0, 53.0)","(21.0, 27.0, 26.666666666666668)","(11.0, 13.5, 12.992857142857142)","(31.0, 38.0, 36.72222222222222)","(3.4, 3.9, 3.8753623188405797)","(15.0, 18.0, 18.307692307692307)","(7.0, 8.0, 7.930508474576271)","(2.7, 3.05, 3.020808383233533)","(19.0, 26.0, 24.5)","(61.0, 75.0, 73.88888888888889)","(71.0, 110.0, 95.73770491803279)","(101.0, 320.0, 266.6666666666667)"
07-01-2023 15:07:57.076847,"(41.0, 55.0, 53.0)","(21.0, 27.0, 26.142857142857142)","(11.0, 13.0, 12.859550561797754)","(31.0, 38.0, 36.490566037735846)","(3.4, 3.9, 3.863975155279503)","(15.0, 18.5, 18.266666666666666)","(7.0, 8.0, 7.92520325203252)","(2.7, 3.05, 2.99372)","(19.0, 26.0, 24.5)","(61.0, 75.0, 73.88888888888889)","(71.0, 110.0, 94.47368421052632)","(101.0, 320.0, 266.6666666666667)"
