,Cesar Bessan,Hypocrite,Mac Kalhoun,Sunday Bowler,Haather,Pariah Conviction,Supertremendous,Divine Charm
07-01-2023 11:19:33.620814,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:34.843047,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:35.939940,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:37.040886,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:38.119116,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:39.247943,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:40.340376,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:41.437767,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:42.552417,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:43.839887,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:44.957801,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:46.265128,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:47.479019,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:48.638041,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:49.752884,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:50.955546,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:52.115260,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:53.274720,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:54.427953,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:55.496390,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:56.511658,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:57.653918,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:58.879798,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:19:59.965983,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:01.087999,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:02.190482,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:03.296962,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:04.399069,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:05.559178,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:06.910730,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:08.013589,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:09.068023,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:10.244951,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:11.448747,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:12.823569,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:14.062976,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:15.195913,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:16.435797,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:17.594158,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:18.759738,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:19.833210,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:20.851829,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:22.107229,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:23.299817,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:24.386247,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:25.441267,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:26.543794,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:27.689580,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:28.860348,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:29.974458,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:30.992174,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:32.158087,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:33.238293,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:34.309649,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:35.465230,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:36.638608,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:37.791595,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:38.917955,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:40.047981,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:41.119885,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:42.270623,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
07-01-2023 11:20:43.529407,"(8.0, 12.0, 11.025)","(17.0, 46.0, 29.333333333333336)","(1.8, 1.9, 1.8908333333333331)","(51.0, 180.0, 140.0)","(6.0, 11.5, 10.225000000000001)","(4.6, 6.0, 5.4375)","(26.0, 65.0, 57.25)","(9.0, 17.0, 13.25)"
