,Modulating,Zambora Lola,Kingsbrae Monica,Cherry Chunker,Burn The Edge,Tranquil Lindy,Nangar Candy,Esthers Rose
12-01-2023 10:49:06.090958,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:07.331092,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:08.575035,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:09.768134,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:10.925565,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:12.012215,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:13.116445,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:14.228138,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:15.381895,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
12-01-2023 10:49:16.546139,"(4.0, 7.6, 7.151282051282051)","(5.5, 8.8, 8.676635514018692)","(16.0, 48.0, 34.458333333333336)","(16.0, 46.0, 33.291666666666664)","(5.5, 9.2, 8.872566371681415)","(7.0, 14.0, 9.6)","(2.4, 3.75, 3.2809090909090908)","(31.0, 210.0, 123.0)"
