,Almighty Mack,Octare Stride,Phantom Rex,Mt View Buck,Good Boy Colombo,Blazin Sushi,Jay Jay Lopez
15-12-2022 15:35:09.986440,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 4.894117647058824)"
15-12-2022 15:35:11.082024,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 4.894117647058824)"
15-12-2022 15:35:12.101318,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 4.894117647058824)"
15-12-2022 15:35:13.145207,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 4.894117647058824)"
15-12-2022 15:35:14.165666,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 4.894117647058824)"
15-12-2022 15:35:15.116050,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 4.894117647058824)"
15-12-2022 15:35:16.249817,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 4.894117647058824)"
15-12-2022 15:35:17.247972,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 4.894117647058824)"
15-12-2022 15:35:18.366792,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 4.894117647058824)"
15-12-2022 15:35:19.403495,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 4.894117647058824)"
15-12-2022 15:35:20.466431,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 4.894117647058824)"
15-12-2022 15:35:21.589316,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 3.6916666666666664)"
15-12-2022 15:35:22.816055,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 3.6916666666666664)"
15-12-2022 15:35:23.954962,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 3.6916666666666664)"
15-12-2022 15:35:25.051758,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 3.6916666666666664)"
15-12-2022 15:35:26.146894,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 3.6916666666666664)"
15-12-2022 15:35:27.204870,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 3.6916666666666664)"
15-12-2022 15:35:28.130569,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 3.6916666666666664)"
15-12-2022 15:35:29.148037,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 3.6916666666666664)"
15-12-2022 15:35:30.192670,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 3.6916666666666664)"
15-12-2022 15:35:31.268762,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 3.6916666666666664)"
15-12-2022 15:35:32.359208,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 3.6916666666666664)"
15-12-2022 15:35:33.469064,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 3.6916666666666664)"
15-12-2022 15:35:34.515004,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 3.6916666666666664)"
15-12-2022 15:35:35.550017,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 3.6916666666666664)"
15-12-2022 15:35:36.541654,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 3.6916666666666664)"
15-12-2022 15:35:37.727933,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 3.5349999999999997)"
15-12-2022 15:35:38.823780,"(2.7, 3.25, 3.2355102040816326)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 3.5349999999999997)"
15-12-2022 15:35:40.069031,"(2.7, 3.25, 3.1637500000000003)","(3.8, 6.4, 3.7875)","(4.2, 7.4, 4.647619047619048)","(21.0, 100.0, 38.46153846153847)","(41.0, 340.0, 187.0)","(41.0, 490.0, 268.0)","(2.9, 8.0, 3.5349999999999997)"
