,Noble Present,Sudden Flare,Treat Me Special,Nannys Mission,Red Lil Shipment,Princess Mia Rose,Blue Bonnie,Great Devotion,Our Golden Colleen,License To Carry
05-01-2023 14:10:37.919310,"(14.0, 18.5, 17.676470588235293)","(26.0, 230.0, 106.0)","(2.6, 4.9, 4.8500000000000005)","(41.0, 980.0, 911.851851851852)","(26.0, 130.0, 78.5)","(13.0, 34.0, 18.7)","(10.0, 30.0, 20.833333333333332)","(2.45, 2.68, 2.4287179487179484)","(5.5, 9.6, 9.027272727272727)","(19.0, 65.0, 48.5)"
05-01-2023 14:10:39.149310,"(14.0, 18.5, 17.676470588235293)","(26.0, 230.0, 106.0)","(2.6, 4.9, 4.8500000000000005)","(41.0, 980.0, 911.851851851852)","(26.0, 130.0, 78.5)","(13.0, 34.0, 18.7)","(10.0, 30.0, 20.833333333333332)","(2.45, 2.68, 2.4287179487179484)","(5.5, 9.6, 9.027272727272727)","(19.0, 65.0, 48.5)"
05-01-2023 14:10:40.458145,"(14.0, 18.5, 17.676470588235293)","(26.0, 230.0, 106.0)","(2.6, 4.9, 4.8500000000000005)","(41.0, 980.0, 911.851851851852)","(26.0, 130.0, 78.5)","(13.0, 34.0, 18.7)","(10.0, 30.0, 20.833333333333332)","(2.45, 2.68, 2.4287179487179484)","(5.5, 9.6, 9.027272727272727)","(19.0, 65.0, 48.5)"
05-01-2023 14:10:42.039726,"(14.0, 18.5, 17.676470588235293)","(26.0, 230.0, 106.0)","(2.6, 4.9, 4.8500000000000005)","(41.0, 980.0, 911.851851851852)","(26.0, 130.0, 78.5)","(13.0, 34.0, 20.09090909090909)","(10.0, 30.0, 20.833333333333332)","(2.45, 2.68, 2.4287179487179484)","(5.5, 9.6, 9.027272727272727)","(19.0, 65.0, 48.5)"
05-01-2023 14:10:43.414984,"(14.0, 18.5, 17.676470588235293)","(26.0, 230.0, 106.0)","(2.6, 4.9, 4.8500000000000005)","(41.0, 980.0, 911.851851851852)","(26.0, 130.0, 78.5)","(13.0, 34.0, 20.09090909090909)","(10.0, 30.0, 20.833333333333332)","(2.45, 2.68, 2.4287179487179484)","(5.5, 9.6, 9.027272727272727)","(19.0, 65.0, 48.5)"
05-01-2023 14:10:44.830149,"(14.0, 18.5, 17.676470588235293)","(26.0, 230.0, 106.0)","(2.6, 4.9, 4.8500000000000005)","(41.0, 980.0, 911.851851851852)","(26.0, 130.0, 78.5)","(13.0, 34.0, 20.09090909090909)","(10.0, 30.0, 20.833333333333332)","(2.45, 2.68, 2.4287179487179484)","(5.5, 9.6, 9.027272727272727)","(19.0, 65.0, 48.5)"
05-01-2023 14:10:46.224845,"(14.0, 18.5, 17.676470588235293)","(26.0, 230.0, 106.0)","(2.6, 4.9, 4.8500000000000005)","(41.0, 980.0, 911.851851851852)","(26.0, 130.0, 78.5)","(13.0, 34.0, 20.09090909090909)","(10.0, 30.0, 20.833333333333332)","(2.45, 2.68, 2.4287179487179484)","(5.5, 9.6, 9.027272727272727)","(19.0, 65.0, 48.5)"
05-01-2023 14:10:47.524081,"(14.0, 18.5, 17.676470588235293)","(26.0, 230.0, 106.0)","(2.6, 4.9, 4.8500000000000005)","(41.0, 980.0, 911.851851851852)","(26.0, 130.0, 78.5)","(13.0, 34.0, 20.09090909090909)","(10.0, 30.0, 21.666666666666668)","(2.45, 2.68, 2.453333333333333)","(5.5, 9.6, 9.027272727272727)","(19.0, 65.0, 48.5)"
05-01-2023 14:10:48.924869,"(14.0, 18.5, 17.676470588235293)","(26.0, 230.0, 106.0)","(2.6, 4.9, 4.8500000000000005)","(41.0, 980.0, 750.0)","(26.0, 130.0, 100.28571428571429)","(13.0, 34.0, 20.09090909090909)","(10.0, 30.0, 21.666666666666668)","(2.45, 2.68, 2.453333333333333)","(5.5, 9.6, 9.027272727272727)","(19.0, 65.0, 48.5)"
05-01-2023 14:10:50.502163,"(14.0, 18.5, 17.676470588235293)","(26.0, 230.0, 106.0)","(2.6, 4.9, 4.695454545454545)","(41.0, 980.0, 750.0)","(26.0, 130.0, 100.28571428571429)","(13.0, 34.0, 20.09090909090909)","(10.0, 30.0, 21.666666666666668)","(2.45, 2.68, 2.453333333333333)","(5.5, 9.6, 9.027272727272727)","(19.0, 65.0, 48.5)"
