,Antarctic Ocean,Ashim,Shalaga,Beagle,Coastal Town,Belthil,Rich Memories,Trust Rusty,Rock Dee Jay,Navy Black,Pammy Joy,Pistachio,Tonys Kick
06-01-2023 14:40:46.681783,"(18.0, 27.0, 24.375)","(9.0, 15.5, 14.625)","(8.5, 12.0, 10.625)","(9.0, 14.5, 13.5)","(8.0, 10.0, 9.73913043478261)","(4.4, 5.7, 5.35)","(21.0, 44.0, 40.769230769230774)","(8.5, 11.5, 10.933333333333334)","(9.0, 12.0, 11.88888888888889)","(15.0, 26.0, 21.125)","(18.0, 27.0, 23.25)","(6.5, 8.6, 7.909090909090909)","(101.0, 220.0, 180.0)"
06-01-2023 14:40:48.171475,"(18.0, 26.0, 24.375)","(9.0, 15.5, 14.625)","(8.5, 12.0, 10.625)","(9.0, 14.5, 13.5)","(8.0, 10.0, 9.73913043478261)","(4.4, 5.7, 5.35)","(21.0, 44.0, 36.0)","(8.5, 11.5, 10.933333333333334)","(9.0, 12.0, 11.88888888888889)","(15.0, 26.0, 21.125)","(18.0, 27.0, 23.25)","(6.5, 8.6, 7.909090909090909)","(101.0, 220.0, 180.0)"
06-01-2023 14:40:49.724554,"(18.0, 26.0, 24.375)","(9.0, 15.5, 14.625)","(8.5, 12.0, 10.625)","(9.0, 14.5, 13.5)","(8.0, 10.0, 9.73913043478261)","(4.4, 5.7, 5.35)","(21.0, 44.0, 36.0)","(8.5, 11.5, 10.933333333333334)","(9.0, 12.0, 11.88888888888889)","(15.0, 26.0, 21.125)","(18.0, 27.0, 23.25)","(6.5, 8.6, 7.909090909090909)","(101.0, 220.0, 180.0)"
06-01-2023 14:40:51.170589,"(18.0, 26.0, 24.375)","(9.0, 15.5, 14.625)","(8.5, 12.0, 10.625)","(9.0, 14.5, 13.5)","(8.0, 10.0, 9.73913043478261)","(4.4, 5.7, 5.35)","(21.0, 44.0, 36.0)","(8.5, 11.5, 10.933333333333334)","(9.0, 12.0, 11.88888888888889)","(15.0, 26.0, 21.125)","(18.0, 27.0, 23.25)","(6.5, 8.6, 7.909090909090909)","(101.0, 220.0, 180.0)"
06-01-2023 14:40:52.661797,"(18.0, 26.0, 24.375)","(9.0, 15.5, 14.625)","(8.5, 12.0, 10.625)","(9.0, 14.5, 13.5)","(8.0, 10.0, 9.73913043478261)","(4.4, 5.7, 5.35)","(21.0, 44.0, 40.36363636363636)","(8.5, 11.5, 10.933333333333334)","(9.0, 12.0, 11.88888888888889)","(15.0, 26.0, 21.125)","(18.0, 27.0, 23.25)","(6.5, 8.6, 7.909090909090909)","(101.0, 220.0, 180.0)"
06-01-2023 14:40:54.182509,"(18.0, 26.0, 24.714285714285715)","(9.0, 15.5, 14.625)","(8.5, 12.0, 10.22)","(9.0, 14.5, 13.5)","(8.0, 10.0, 9.73913043478261)","(4.4, 5.7, 5.35)","(21.0, 44.0, 40.36363636363636)","(8.5, 11.5, 10.933333333333334)","(9.0, 12.0, 11.88888888888889)","(15.0, 26.0, 21.125)","(18.0, 27.0, 23.25)","(6.5, 8.6, 7.909090909090909)","(101.0, 220.0, 180.0)"
06-01-2023 14:40:55.686433,"(18.0, 26.0, 23.0)","(9.0, 15.5, 14.625)","(8.5, 10.5, 10.22)","(9.0, 14.5, 13.5)","(8.0, 10.0, 9.73913043478261)","(4.4, 5.7, 5.35)","(21.0, 44.0, 40.36363636363636)","(8.5, 11.5, 10.933333333333334)","(9.0, 12.0, 11.88888888888889)","(15.0, 26.0, 21.125)","(18.0, 27.0, 23.25)","(6.5, 8.6, 7.909090909090909)","(101.0, 220.0, 180.0)"
06-01-2023 14:40:57.126389,"(18.0, 26.0, 23.5)","(9.0, 15.5, 14.625)","(8.5, 10.5, 10.22)","(9.0, 14.5, 13.5)","(8.0, 10.0, 9.73913043478261)","(4.4, 5.7, 5.35)","(21.0, 44.0, 40.36363636363636)","(8.5, 11.5, 10.933333333333334)","(9.0, 12.0, 11.88888888888889)","(15.0, 26.0, 21.125)","(18.0, 27.0, 24.142857142857142)","(6.5, 8.6, 7.909090909090909)","(101.0, 220.0, 180.0)"
06-01-2023 14:40:58.600621,"(18.0, 26.0, 23.5)","(9.0, 15.5, 14.625)","(8.5, 10.5, 10.22)","(9.0, 14.5, 13.5)","(8.0, 10.0, 9.73913043478261)","(4.4, 5.7, 5.35)","(21.0, 44.0, 40.36363636363636)","(8.5, 11.5, 10.933333333333334)","(9.0, 12.0, 11.88888888888889)","(15.0, 26.0, 21.125)","(18.0, 26.0, 24.142857142857142)","(6.5, 8.6, 7.909090909090909)","(101.0, 220.0, 180.0)"
06-01-2023 14:41:00.093771,"(18.0, 26.0, 24.333333333333332)","(9.0, 15.5, 14.625)","(8.5, 10.5, 10.22)","(9.0, 14.5, 13.5)","(8.0, 10.0, 9.85)","(4.4, 5.7, 5.35)","(21.0, 44.0, 39.0)","(8.5, 11.5, 10.933333333333334)","(9.0, 12.0, 11.88888888888889)","(15.0, 26.0, 21.125)","(18.0, 26.0, 24.142857142857142)","(6.5, 8.6, 7.909090909090909)","(101.0, 220.0, 180.0)"
06-01-2023 14:41:01.660229,"(18.0, 26.0, 24.333333333333332)","(9.0, 15.5, 14.625)","(8.5, 10.5, 10.22)","(9.0, 14.5, 13.5)","(8.0, 10.0, 9.85)","(4.4, 5.7, 5.35)","(21.0, 44.0, 39.0)","(8.5, 11.5, 10.933333333333334)","(9.0, 12.0, 11.88888888888889)","(15.0, 26.0, 21.125)","(18.0, 26.0, 24.142857142857142)","(6.5, 8.6, 7.909090909090909)","(101.0, 220.0, 180.0)"
06-01-2023 14:41:03.096277,"(18.0, 26.0, 24.333333333333332)","(9.0, 15.5, 14.625)","(8.5, 10.5, 10.22)","(9.0, 14.5, 13.5)","(8.0, 10.0, 9.85)","(4.4, 5.7, 5.35)","(21.0, 44.0, 39.0)","(8.5, 11.5, 10.933333333333334)","(9.0, 12.0, 11.88888888888889)","(15.0, 26.0, 21.125)","(18.0, 26.0, 24.142857142857142)","(6.5, 8.6, 7.909090909090909)","(101.0, 220.0, 180.0)"
06-01-2023 14:41:04.568629,"(18.0, 26.0, 24.333333333333332)","(9.0, 15.5, 14.625)","(8.5, 10.5, 10.22)","(9.0, 14.5, 14.23076923076923)","(8.0, 10.0, 9.85)","(4.4, 5.7, 5.35)","(21.0, 44.0, 39.0)","(8.5, 11.5, 10.933333333333334)","(9.0, 12.0, 11.88888888888889)","(15.0, 26.0, 21.125)","(18.0, 26.0, 25.815789473684212)","(6.5, 8.6, 7.909090909090909)","(101.0, 220.0, 180.0)"
