,Levings,Brockton Bomber,Kingsbrae Beach,Flyaway Matty,Zeal Surprise,His Keen,Monkey Paw,Durwood
08-12-2022 13:58:50.745055,"(1.8, 2.32, 1.9914285714285715)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 23.357142857142858)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:58:52.221497,"(1.8, 2.32, 1.9914285714285715)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 23.357142857142858)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:58:53.746659,"(1.8, 2.32, 1.9914285714285715)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 23.357142857142858)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:58:55.211263,"(1.8, 2.3, 2.006666666666667)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:58:56.524570,"(1.8, 2.3, 2.006666666666667)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:58:57.772955,"(1.8, 2.3, 2.006666666666667)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:58:59.054198,"(1.8, 2.3, 2.006666666666667)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:00.283047,"(1.8, 2.3, 2.006666666666667)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:01.509094,"(1.8, 2.3, 2.006666666666667)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:02.862246,"(1.8, 2.3, 2.006666666666667)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:04.235058,"(1.8, 2.3, 2.006666666666667)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:05.477970,"(1.8, 2.3, 2.006666666666667)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:06.778851,"(1.8, 2.3, 2.006666666666667)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:07.987102,"(1.8, 2.3, 2.006666666666667)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:09.089116,"(1.8, 2.3, 2.006666666666667)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:10.285177,"(1.8, 2.3, 2.006666666666667)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:11.823334,"(1.8, 2.3, 2.006666666666667)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:13.197243,"(1.8, 2.3, 2.006666666666667)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:14.652798,"(1.8, 2.3, 2.006666666666667)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:16.167166,"(1.8, 2.3, 2.006666666666667)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:17.739867,"(1.8, 2.3, 2.0127272727272727)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:19.095789,"(1.8, 2.28, 2.0127272727272727)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 7.4375)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:20.413990,"(1.8, 2.28, 2.0127272727272727)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 26.9)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:21.789892,"(1.8, 2.26, 1.9742857142857142)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 23.357142857142858)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:23.066665,"(1.8, 2.26, 2.1135714285714284)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 23.357142857142858)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:24.284346,"(1.8, 2.26, 2.1135714285714284)","(21.0, 100.0, 53.125)","(26.0, 80.0, 50.0)","(13.0, 30.0, 23.357142857142858)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
08-12-2022 13:59:25.576203,"(1.8, 2.26, 2.1135714285714284)","(21.0, 100.0, 62.5)","(26.0, 80.0, 50.0)","(13.0, 30.0, 23.357142857142858)","(21.0, 65.0, 41.66666666666667)","(3.0, 4.9, 4.7250000000000005)","(4.6, 7.8, 6.027777777777779)","(71.0, 580.0, 325.0)"
