,Big Time Brielle,Check Me Out,Big Time May,Big Time Punga,Big Time Brynley,Big Time Dora
04-01-2023 09:20:19.187898,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:20.002373,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:20.839674,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:21.661021,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:22.479526,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:23.308509,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:24.127256,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:24.953482,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:25.766859,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:26.588444,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:27.407138,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:28.228537,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:29.051904,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:29.882969,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:30.695440,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:31.525718,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:32.344039,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:33.161913,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:33.977623,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:34.795489,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:35.621139,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:36.432270,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:37.255925,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:38.075063,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:38.908961,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:39.732690,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:40.547531,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:41.364608,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:42.187500,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:43.003648,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:43.827499,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:44.643600,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:45.458539,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:46.301579,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:47.117947,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:47.943964,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:48.762191,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:49.575407,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:50.408437,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:51.221737,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:52.037079,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:52.854059,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:53.669840,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:54.493380,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:55.306428,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:56.122327,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:56.936531,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:57.751956,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:58.577937,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:20:59.397761,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:00.216400,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:01.037022,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:01.852292,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:02.674620,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:03.485314,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:04.305045,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:05.115361,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:05.927042,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:06.747699,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:07.563719,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:08.371534,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:09.188713,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:10.001847,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:10.818471,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:11.637618,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:12.445643,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:13.257793,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:14.076663,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:14.897317,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:15.721623,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:16.530715,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:17.345440,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:18.164236,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:18.979087,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 17.294117647058826)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:19.791821,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 21.583333333333336)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:20.600566,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 21.583333333333336)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:21.412157,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 21.583333333333336)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:22.225366,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 21.583333333333336)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:23.039869,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 21.583333333333336)","(12.0, 60.0, 54.42222222222223)","(3.5, 9.4, 8.16)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:23.856034,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 21.583333333333336)","(12.0, 60.0, 54.42222222222223)","(3.5, 10.0, 6.853731343283582)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:24.666240,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 21.583333333333336)","(12.0, 60.0, 54.42222222222223)","(3.5, 10.0, 6.853731343283582)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:25.479399,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 21.583333333333336)","(12.0, 60.0, 54.42222222222223)","(3.5, 10.0, 6.853731343283582)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:26.295166,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 21.583333333333336)","(12.0, 60.0, 54.42222222222223)","(3.5, 10.0, 6.853731343283582)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:27.111153,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 21.583333333333336)","(12.0, 60.0, 54.42222222222223)","(3.5, 10.0, 6.853731343283582)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:27.930961,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 21.583333333333336)","(12.0, 60.0, 54.42222222222223)","(3.5, 10.0, 6.853731343283582)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:28.758086,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 21.583333333333336)","(12.0, 60.0, 54.42222222222223)","(3.5, 10.0, 6.853731343283582)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:29.567864,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 21.583333333333336)","(12.0, 60.0, 54.42222222222223)","(3.5, 10.0, 6.853731343283582)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:30.390346,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 21.583333333333336)","(12.0, 60.0, 54.42222222222223)","(3.5, 10.0, 6.853731343283582)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:31.197782,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 21.583333333333336)","(12.0, 60.0, 54.42222222222223)","(3.5, 10.0, 6.853731343283582)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:32.020354,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 21.583333333333336)","(12.0, 60.0, 54.42222222222223)","(3.5, 10.0, 6.853731343283582)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:32.829578,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 21.583333333333336)","(12.0, 60.0, 54.42222222222223)","(3.5, 10.0, 6.853731343283582)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:33.652990,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 21.583333333333336)","(12.0, 60.0, 54.42222222222223)","(3.5, 10.0, 6.853731343283582)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
04-01-2023 09:21:34.472846,"(9.0, 42.0, 30.666666666666664)","(8.0, 32.0, 21.583333333333336)","(12.0, 60.0, 54.42222222222223)","(3.5, 10.0, 6.853731343283582)","(1.95, 2.2, 2.1698924731182796)","(6.0, 23.0, 14.100000000000001)"
