,Bold Hunter,Kick On Command,Highground,Denims,Kaboom,Magic Palace,Gypsy Rozay,Motherlode
10-01-2023 15:21:11.469639,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 2.0356521739130433)","(2.4, 3.35, 3.257142857142857)","(14.0, 29.0, 27.384615384615383)","(11.0, 17.5, 16.0)","(81.0, 180.0, 141.42857142857144)","(31.0, 130.0, 106.57142857142857)","(81.0, 150.0, 107.14285714285714)"
10-01-2023 15:21:12.593290,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.04, 2.0356521739130433)","(2.4, 3.3, 3.257142857142857)","(14.0, 29.0, 27.384615384615383)","(11.0, 17.5, 16.0)","(81.0, 180.0, 141.42857142857144)","(31.0, 130.0, 106.57142857142857)","(81.0, 150.0, 107.14285714285714)"
10-01-2023 15:21:13.657057,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.04, 2.0328)","(2.4, 3.3, 3.257142857142857)","(14.0, 29.0, 27.384615384615383)","(11.0, 17.5, 16.0)","(81.0, 180.0, 141.42857142857144)","(31.0, 130.0, 106.57142857142857)","(81.0, 150.0, 107.14285714285714)"
10-01-2023 15:21:14.807221,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.04, 2.0326530612244897)","(2.4, 3.3, 3.257142857142857)","(14.0, 29.0, 27.384615384615383)","(11.0, 17.5, 16.0)","(81.0, 180.0, 141.42857142857144)","(31.0, 130.0, 109.5)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:15.906923,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.04, 2.0326530612244897)","(2.4, 3.3, 3.257142857142857)","(14.0, 29.0, 27.384615384615383)","(11.0, 17.5, 16.0)","(81.0, 180.0, 150.0)","(31.0, 130.0, 109.5)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:17.053871,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.04, 2.0326530612244897)","(2.4, 3.3, 3.257142857142857)","(14.0, 29.0, 27.384615384615383)","(11.0, 17.5, 16.0)","(81.0, 180.0, 150.0)","(31.0, 130.0, 109.5)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:18.071864,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.04, 2.0326530612244897)","(2.4, 3.3, 3.257142857142857)","(14.0, 29.0, 27.384615384615383)","(11.0, 17.5, 16.0)","(81.0, 180.0, 150.0)","(31.0, 130.0, 109.5)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:19.137618,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.04, 2.0326530612244897)","(2.4, 3.3, 3.257142857142857)","(14.0, 29.0, 27.384615384615383)","(11.0, 17.5, 16.0)","(81.0, 180.0, 150.0)","(31.0, 130.0, 109.5)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:20.216796,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.04, 2.0326530612244897)","(2.4, 3.3, 3.257142857142857)","(14.0, 29.0, 27.384615384615383)","(11.0, 17.5, 16.0)","(81.0, 180.0, 150.0)","(31.0, 130.0, 109.5)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:21.288294,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.04, 2.0326530612244897)","(2.4, 3.3, 3.257142857142857)","(14.0, 29.0, 27.384615384615383)","(11.0, 17.5, 16.0)","(81.0, 180.0, 150.0)","(31.0, 130.0, 109.5)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:22.366873,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.04, 2.0326530612244897)","(2.4, 3.3, 3.257142857142857)","(14.0, 29.0, 27.384615384615383)","(11.0, 17.5, 16.0)","(81.0, 180.0, 150.0)","(31.0, 130.0, 76.66666666666667)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:23.356605,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.04, 2.0)","(2.4, 3.3, 3.264705882352941)","(14.0, 29.0, 25.4)","(11.0, 17.5, 16.0)","(81.0, 180.0, 150.0)","(31.0, 130.0, 76.66666666666667)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:24.494545,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.9985714285714287)","(2.4, 3.3, 3.257142857142857)","(14.0, 29.0, 25.4)","(11.0, 17.5, 16.0)","(81.0, 180.0, 150.0)","(31.0, 130.0, 76.66666666666667)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:25.622653,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.9985714285714287)","(2.4, 3.3, 3.257142857142857)","(14.0, 29.0, 25.4)","(11.0, 17.5, 16.0)","(81.0, 180.0, 150.0)","(31.0, 130.0, 107.14285714285714)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:26.677824,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.9985714285714287)","(2.4, 3.3, 3.257142857142857)","(14.0, 29.0, 25.4)","(11.0, 17.5, 16.0)","(81.0, 180.0, 150.0)","(31.0, 130.0, 107.14285714285714)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:27.733921,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.9985714285714287)","(2.4, 3.3, 3.257142857142857)","(14.0, 29.0, 27.0)","(11.0, 17.5, 16.0)","(81.0, 180.0, 150.0)","(31.0, 130.0, 76.66666666666667)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:28.801019,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.9985714285714287)","(2.4, 3.3, 3.257142857142857)","(14.0, 29.0, 27.0)","(11.0, 17.5, 16.0)","(81.0, 180.0, 150.0)","(31.0, 130.0, 107.14285714285714)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:29.945375,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.9985714285714287)","(2.4, 3.3, 3.1999999999999997)","(14.0, 29.0, 25.4)","(11.0, 17.5, 16.0)","(81.0, 180.0, 150.0)","(31.0, 130.0, 107.14285714285714)","(81.0, 150.0, 112.5)"
10-01-2023 15:21:31.057970,"(8.0, 16.5, 13.38888888888889)","(1.95, 2.02, 1.9985714285714287)","(2.4, 3.3, 3.1999999999999997)","(14.0, 29.0, 25.4)","(11.0, 17.5, 16.0)","(81.0, 180.0, 150.0)","(31.0, 130.0, 76.66666666666667)","(81.0, 150.0, 112.5)"
