,Maxima,Diamond Neena,Clarks A Lark,Nighthawk Jink,Homebush Sparkle,Homebush Bentley,Know Gloating,Sozins Royal
05-01-2023 13:44:51.152760,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.2, 5.75)","(5.5, 10.0, 9.436)","(5.5, 10.0, 9.35)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:44:52.348572,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.2, 5.75)","(5.5, 10.0, 9.436)","(5.5, 10.0, 9.35)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:44:53.580368,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.2, 5.75)","(5.5, 10.0, 9.436)","(5.5, 10.0, 9.35)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:44:54.702252,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.2, 5.75)","(5.5, 10.0, 9.436)","(5.5, 10.0, 9.35)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:44:55.734489,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.2, 5.75)","(5.5, 10.0, 9.436)","(5.5, 10.0, 9.35)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:44:56.770711,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.2, 5.75)","(5.5, 10.0, 9.436)","(5.5, 10.0, 9.35)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:44:57.934639,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.2, 5.75)","(5.5, 10.0, 9.436)","(5.5, 10.0, 9.35)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:44:59.105673,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.2, 5.75)","(5.5, 10.0, 9.436)","(5.5, 10.0, 9.35)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:00.303516,"(2.3, 3.55, 3.1005714285714285)","(3.3, 6.2, 5.75)","(5.5, 10.0, 9.436)","(5.5, 10.0, 9.35)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:01.418334,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.2, 5.75)","(5.5, 10.0, 9.436)","(5.5, 10.0, 9.35)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:02.507441,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.2, 5.75)","(5.5, 10.0, 9.436)","(5.5, 10.0, 9.35)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:03.683796,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.2, 5.75)","(5.5, 10.0, 9.436)","(5.5, 10.0, 9.35)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:04.837181,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.2, 5.75)","(5.5, 10.0, 9.436)","(5.5, 10.0, 9.35)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:06.004648,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.2, 5.75)","(5.5, 10.0, 9.436)","(5.5, 10.0, 9.35)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:07.060604,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.2, 5.75)","(5.5, 10.0, 9.436)","(5.5, 10.0, 9.35)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:08.139080,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.2, 5.75)","(5.5, 10.0, 9.436)","(5.5, 10.0, 9.35)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:09.213779,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.2, 5.75)","(5.5, 10.0, 9.436)","(5.5, 10.0, 9.35)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:10.367399,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.2, 5.75)","(5.5, 10.0, 9.436)","(5.5, 10.0, 9.35)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:11.480382,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 5.174193548387096)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:12.593062,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:13.743441,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:14.848519,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:15.933926,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
05-01-2023 13:45:16.958433,"(2.3, 3.6, 3.1319999999999997)","(3.3, 6.8, 6.26)","(5.5, 10.0, 9.436)","(5.5, 11.0, 10.225000000000001)","(10.0, 21.0, 19.81818181818182)","(26.0, 220.0, 72.25)","(26.0, 210.0, 116.0)","(26.0, 220.0, 96.875)"
