,Our Cheeky Devil,Just As Well Nz,El Boston,Lord Verde Nz,Modern Bliss,Balenciago,Gottahaveahobbie,Our Madiba Nz,Duffy Hollow Nz
11-01-2023 18:42:07.321796,"(15.0, 30.0, 27.307692307692307)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:08.480743,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:09.647361,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:10.797848,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:12.059297,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:13.308168,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:14.488764,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:15.629987,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:16.764583,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:18.021006,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:19.249412,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:20.486095,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:21.691153,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:22.803681,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:23.924075,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:25.126880,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:26.229181,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:27.355007,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:28.493837,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:29.560978,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:30.657936,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:31.758387,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:32.979323,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:34.119735,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:35.221245,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:36.373368,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:37.476765,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:38.629492,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:39.889953,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:41.140100,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:42.384964,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:43.613752,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:44.816988,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:45.984072,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:47.141211,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:48.318851,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:49.591493,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:50.841662,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:52.080512,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:53.282859,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:54.436506,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:55.562518,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:56.832265,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:58.086777,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:42:59.306738,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:00.550160,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:01.706932,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:02.899471,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 24.285714285714285)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:04.167507,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:05.399534,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:06.662255,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:08.048831,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:09.318800,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:10.628621,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:11.821672,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:13.020172,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:14.304820,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
11-01-2023 18:43:15.543086,"(15.0, 30.0, 19.666666666666668)","(3.0, 99999, 99990)","(3.5, 5.0, 4.3)","(5.0, 99999, 99990)","(8.5, 15.0, 13.0)","(18.0, 42.0, 26.666666666666668)","(26.0, 30.0, 22.727272727272727)","(101.0, 99999, 99990)","(4.4, 99999, 99990)"
