,Pepper Spray,Barossa,Midnight Mojo,The Black Strat,Pure Rocket,Forgotten Vows,The Green Crusader,Exxel
10-01-2023 08:05:37.881532,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:38.913077,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:39.923155,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:40.913675,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:41.932529,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:42.951661,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:44.002005,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:45.034203,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:46.119779,"(3.2, 4.4, 4.29375)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:47.156474,"(3.2, 4.4, 4.1875)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:48.175001,"(3.2, 4.4, 3.86875)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
10-01-2023 08:05:49.212862,"(3.2, 4.4, 4.045833333333333)","(2.5, 3.1, 3.025)","(17.0, 230.0, 215.56666666666666)","(6.5, 11.5, 10.583333333333332)","(12.0, 30.0, 20.5)","(26.0, 85.0, 43.66666666666667)","(10.0, 14.0, 13.047619047619047)","(6.0, 11.5, 10.575)"
