,Tri For Us,Big Screen,Megazone,Bold Success,Downforce,Hardly Ever,Sentimental Hero,Knot Secret,Hear Me Sing,Sketta
07-01-2023 17:23:47.752847,"(12.0, 19.5, 18.263157894736842)","(9.0, 14.5, 14.078947368421053)","(18.0, 26.0, 24.25)","(71.0, 100.0, 92.0)","(21.0, 40.0, 31.57894736842105)","(2.4, 2.88, 2.8557142857142854)","(3.8, 4.4, 4.34)","(4.8, 5.5, 5.425000000000001)","(31.0, 55.0, 53.333333333333336)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:23:49.291092,"(12.0, 19.0, 18.263157894736842)","(9.0, 14.5, 14.078947368421053)","(18.0, 25.0, 24.25)","(71.0, 100.0, 92.0)","(21.0, 40.0, 31.57894736842105)","(2.4, 2.88, 2.8557142857142854)","(3.8, 4.4, 4.427777777777778)","(4.8, 5.5, 5.407692307692308)","(31.0, 55.0, 53.333333333333336)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:23:50.692744,"(12.0, 19.0, 18.263157894736842)","(9.0, 14.5, 14.078947368421053)","(18.0, 25.0, 24.25)","(71.0, 100.0, 92.0)","(21.0, 40.0, 31.57894736842105)","(2.4, 2.88, 2.8557142857142854)","(3.8, 4.5, 4.448387096774193)","(4.8, 5.5, 5.375)","(31.0, 55.0, 53.333333333333336)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:23:52.032284,"(12.0, 19.0, 18.263157894736842)","(9.0, 14.5, 14.078947368421053)","(18.0, 25.0, 23.0)","(71.0, 100.0, 92.0)","(21.0, 40.0, 31.57894736842105)","(2.4, 2.88, 2.8557142857142854)","(3.8, 4.5, 4.448387096774193)","(4.8, 5.4, 5.375)","(31.0, 55.0, 53.333333333333336)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:23:53.373118,"(12.0, 19.0, 18.263157894736842)","(9.0, 14.5, 14.078947368421053)","(18.0, 23.0, 22.8)","(71.0, 100.0, 92.0)","(21.0, 40.0, 31.57894736842105)","(2.4, 2.88, 2.8557142857142854)","(3.8, 4.5, 4.448387096774193)","(4.8, 5.4, 5.375)","(31.0, 55.0, 53.333333333333336)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:23:54.906498,"(12.0, 19.0, 18.263157894736842)","(9.0, 14.5, 13.884615384615385)","(18.0, 23.0, 22.8)","(71.0, 100.0, 92.0)","(21.0, 40.0, 31.57894736842105)","(2.4, 2.88, 2.8167441860465114)","(3.8, 4.5, 4.448387096774193)","(4.8, 5.4, 5.324)","(31.0, 55.0, 53.333333333333336)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:23:56.311781,"(12.0, 18.5, 17.25)","(9.0, 14.5, 13.884615384615385)","(18.0, 23.0, 22.8)","(71.0, 100.0, 92.0)","(21.0, 40.0, 31.57894736842105)","(2.4, 2.88, 2.8167441860465114)","(3.8, 4.5, 4.448387096774193)","(4.8, 5.4, 5.324)","(31.0, 55.0, 53.333333333333336)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:23:57.686862,"(12.0, 18.5, 17.25)","(9.0, 14.5, 13.884615384615385)","(18.0, 23.0, 23.142857142857142)","(71.0, 100.0, 92.0)","(21.0, 40.0, 34.074074074074076)","(2.4, 2.88, 2.824864864864865)","(3.8, 4.5, 4.448387096774193)","(4.8, 5.4, 5.324)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:23:59.029942,"(12.0, 18.5, 17.25)","(9.0, 14.5, 13.884615384615385)","(18.0, 24.0, 23.142857142857142)","(71.0, 100.0, 92.0)","(21.0, 40.0, 34.074074074074076)","(2.4, 2.88, 2.824864864864865)","(3.8, 4.5, 4.448387096774193)","(4.8, 5.4, 5.324)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
07-01-2023 17:24:00.347824,"(12.0, 18.5, 17.25)","(9.0, 14.5, 13.884615384615385)","(18.0, 24.0, 23.142857142857142)","(71.0, 100.0, 92.0)","(21.0, 40.0, 34.074074074074076)","(2.4, 2.88, 2.8302439024390242)","(3.8, 4.5, 4.448387096774193)","(4.8, 5.4, 5.324)","(31.0, 55.0, 47.5)","(41.0, 80.0, 73.33333333333333)"
