,Earstagrin,Forever More,Tiza New Day,Extortion,Sarge,Lucky Zara,Mista Moose,Frozen Jewel,Questro Queen Nz
07-12-2022 17:44:09.824793,"(71.0, 360.0, 290.0)","(15.0, 26.0, 23.0)","(3.7, 7.8, 5.7)","(3.4, 6.4, 5.800000000000001)","(7.5, 13.5, 12.8625)","(31.0, 130.0, 103.14285714285714)","(7.0, 15.0, 12.120000000000001)","(5.0, 7.8, 6.9714285714285715)","(6.0, 99999, 99990)"
07-12-2022 17:44:11.023755,"(71.0, 350.0, 242.0)","(15.0, 26.0, 18.0)","(3.7, 7.6, 5.166666666666667)","(3.4, 6.4, 5.800000000000001)","(7.5, 13.0, 10.066666666666666)","(31.0, 130.0, 103.14285714285714)","(7.0, 17.0, 11.0)","(5.0, 7.6, 6.9714285714285715)","(6.0, 99999, 99990)"
07-12-2022 17:44:12.200115,"(71.0, 350.0, 215.0)","(15.0, 26.0, 23.0)","(3.7, 7.6, 6.279999999999999)","(3.4, 6.4, 5.800000000000001)","(7.5, 13.0, 10.066666666666666)","(31.0, 140.0, 76.0)","(7.0, 16.0, 9.333333333333334)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:13.351677,"(71.0, 350.0, 215.0)","(15.0, 26.0, 23.0)","(3.7, 7.6, 6.279999999999999)","(3.4, 6.4, 5.800000000000001)","(7.5, 13.0, 10.066666666666666)","(31.0, 140.0, 76.0)","(7.0, 16.0, 9.333333333333334)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:14.499072,"(71.0, 350.0, 215.0)","(15.0, 26.0, 23.0)","(3.7, 7.6, 6.279999999999999)","(3.4, 6.4, 5.800000000000001)","(7.5, 13.0, 10.066666666666666)","(31.0, 140.0, 76.0)","(7.0, 16.0, 9.333333333333334)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:15.643647,"(71.0, 350.0, 215.0)","(15.0, 26.0, 23.0)","(3.7, 7.6, 6.279999999999999)","(3.4, 6.4, 5.800000000000001)","(7.5, 13.0, 10.066666666666666)","(31.0, 140.0, 77.23076923076923)","(7.0, 16.0, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:17.034084,"(71.0, 350.0, 250.625)","(15.0, 26.0, 24.0)","(3.7, 7.6, 6.279999999999999)","(3.4, 6.4, 5.800000000000001)","(7.5, 13.0, 10.066666666666666)","(31.0, 140.0, 94.66666666666667)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:18.274877,"(71.0, 400.0, 272.0)","(15.0, 26.0, 22.714285714285715)","(3.7, 7.6, 6.279999999999999)","(3.4, 6.4, 5.800000000000001)","(7.5, 13.0, 11.533333333333333)","(31.0, 140.0, 76.0)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:19.446244,"(71.0, 400.0, 272.0)","(15.0, 26.0, 22.57142857142857)","(3.7, 7.6, 6.279999999999999)","(3.4, 6.4, 5.800000000000001)","(7.5, 13.0, 11.533333333333333)","(31.0, 140.0, 76.0)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:20.580176,"(71.0, 400.0, 272.0)","(15.0, 26.0, 22.57142857142857)","(3.7, 7.6, 6.279999999999999)","(3.4, 6.4, 5.800000000000001)","(7.5, 13.0, 11.533333333333333)","(31.0, 140.0, 76.0)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:21.757748,"(71.0, 400.0, 272.0)","(15.0, 26.0, 22.57142857142857)","(3.7, 7.6, 6.279999999999999)","(3.4, 6.4, 5.800000000000001)","(7.5, 13.0, 9.7)","(31.0, 140.0, 84.0)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:22.803096,"(71.0, 400.0, 310.0)","(15.0, 26.0, 22.57142857142857)","(3.7, 7.6, 6.279999999999999)","(3.4, 6.4, 5.800000000000001)","(7.5, 13.0, 9.7)","(31.0, 130.0, 84.0)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:23.984798,"(71.0, 400.0, 337.0)","(15.0, 26.0, 22.714285714285715)","(3.7, 7.4, 5.4625)","(3.4, 6.4, 5.800000000000001)","(7.5, 13.0, 9.7)","(31.0, 130.0, 99.33333333333334)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:25.084898,"(71.0, 400.0, 337.0)","(15.0, 26.0, 22.714285714285715)","(3.7, 7.4, 5.4625)","(3.4, 6.4, 5.800000000000001)","(7.5, 13.0, 9.7)","(31.0, 130.0, 99.33333333333334)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:26.214689,"(71.0, 400.0, 348.3333333333333)","(15.0, 26.0, 22.57142857142857)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.800000000000001)","(7.5, 13.0, 12.057142857142857)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:27.310727,"(71.0, 400.0, 348.3333333333333)","(15.0, 26.0, 22.57142857142857)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.800000000000001)","(7.5, 13.0, 12.057142857142857)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:28.476020,"(71.0, 400.0, 278.0)","(15.0, 26.0, 22.714285714285715)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.800000000000001)","(7.5, 13.0, 12.12)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.9714285714285715)","(6.0, 99999, 99990)"
07-12-2022 17:44:29.636769,"(71.0, 400.0, 278.0)","(15.0, 26.0, 24.083333333333336)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.800000000000001)","(7.5, 13.0, 11.68)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 7.2333333333333325)","(6.0, 99999, 99990)"
07-12-2022 17:44:30.848951,"(71.0, 400.0, 314.2857142857143)","(15.0, 26.0, 24.083333333333336)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.68)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 7.2333333333333325)","(6.0, 99999, 99990)"
07-12-2022 17:44:31.924908,"(71.0, 400.0, 314.2857142857143)","(15.0, 26.0, 22.714285714285715)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.68)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.9714285714285715)","(6.0, 99999, 99990)"
07-12-2022 17:44:33.001475,"(71.0, 400.0, 314.2857142857143)","(15.0, 26.0, 22.714285714285715)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.68)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.9714285714285715)","(6.0, 99999, 99990)"
07-12-2022 17:44:34.064027,"(71.0, 400.0, 314.2857142857143)","(15.0, 26.0, 18.0)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.958333333333334)","(7.5, 13.0, 11.68)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:35.158566,"(71.0, 400.0, 314.2857142857143)","(15.0, 26.0, 18.0)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.958333333333334)","(7.5, 13.0, 11.68)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:36.223936,"(71.0, 400.0, 314.2857142857143)","(15.0, 26.0, 18.0)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.958333333333334)","(7.5, 13.0, 11.68)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:37.332823,"(71.0, 400.0, 314.2857142857143)","(15.0, 26.0, 18.0)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.958333333333334)","(7.5, 13.0, 11.68)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:38.418653,"(71.0, 400.0, 278.8461538461538)","(15.0, 26.0, 18.0)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.642857142857143)","(7.5, 13.0, 11.68)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:39.476440,"(71.0, 410.0, 290.0)","(15.0, 26.0, 23.333333333333332)","(3.7, 7.2, 6.04)","(3.4, 6.4, 6.088235294117648)","(7.5, 13.0, 11.68)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:40.660576,"(81.0, 410.0, 290.0)","(15.0, 26.0, 22.57142857142857)","(3.7, 7.2, 6.04)","(3.4, 6.4, 6.088235294117648)","(7.5, 13.0, 11.68)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.9714285714285715)","(6.0, 99999, 99990)"
07-12-2022 17:44:41.841520,"(81.0, 410.0, 252.5)","(15.0, 26.0, 22.714285714285715)","(3.7, 7.2, 6.04)","(3.4, 6.4, 6.088235294117648)","(7.5, 13.0, 11.68)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.9714285714285715)","(6.0, 99999, 99990)"
07-12-2022 17:44:43.034570,"(81.0, 410.0, 252.5)","(15.0, 26.0, 24.083333333333336)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.958333333333334)","(7.5, 13.0, 11.68)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 7.2333333333333325)","(6.0, 99999, 99990)"
07-12-2022 17:44:44.344919,"(81.0, 410.0, 252.5)","(15.0, 26.0, 22.714285714285715)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.6571428571428575)","(7.5, 13.0, 11.68)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.9714285714285715)","(6.0, 99999, 99990)"
07-12-2022 17:44:45.603672,"(81.0, 410.0, 252.5)","(15.0, 26.0, 23.333333333333332)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.6571428571428575)","(7.5, 13.0, 11.68)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.68)","(6.0, 99999, 99990)"
07-12-2022 17:44:46.728751,"(81.0, 410.0, 321.3636363636364)","(15.0, 26.0, 22.714285714285715)","(3.7, 7.2, 6.04)","(3.4, 6.4, 5.5)","(7.5, 13.0, 11.68)","(31.0, 130.0, 48.33333333333333)","(7.0, 15.5, 10.5)","(5.0, 7.6, 6.9714285714285715)","(6.0, 99999, 99990)"
