,Galloping Moon,Ozzies Risk,Mt View Hanna,Marionvale Gal,Jams Silver,Rio Sam,Mrs Jessup,Mt View Jett
0,"[datetime.datetime(2022, 11, 28, 13, 15, 26, 522896), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 26, 522896), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 26, 522896), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 26, 522896), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 26, 522896), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 26, 522896), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 26, 522896), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 26, 522896), 9.0, 23.0]"
1,"[datetime.datetime(2022, 11, 28, 13, 15, 27, 662103), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 27, 662103), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 27, 662103), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 27, 662103), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 27, 662103), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 27, 662103), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 27, 662103), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 27, 662103), 9.0, 23.0]"
2,"[datetime.datetime(2022, 11, 28, 13, 15, 28, 793637), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 28, 793637), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 28, 793637), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 28, 793637), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 28, 793637), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 28, 793637), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 28, 793637), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 28, 793637), 9.0, 23.0]"
3,"[datetime.datetime(2022, 11, 28, 13, 15, 29, 935886), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 29, 935886), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 29, 935886), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 29, 935886), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 29, 935886), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 29, 935886), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 29, 935886), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 29, 935886), 9.0, 23.0]"
4,"[datetime.datetime(2022, 11, 28, 13, 15, 31, 62956), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 31, 62956), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 31, 62956), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 31, 62956), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 31, 62956), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 31, 62956), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 31, 62956), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 31, 62956), 9.0, 23.0]"
5,"[datetime.datetime(2022, 11, 28, 13, 15, 32, 203316), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 32, 203316), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 32, 203316), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 32, 203316), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 32, 203316), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 32, 203316), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 32, 203316), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 32, 203316), 9.0, 23.0]"
6,"[datetime.datetime(2022, 11, 28, 13, 15, 33, 333636), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 33, 333636), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 33, 333636), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 33, 333636), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 33, 333636), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 33, 333636), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 33, 333636), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 33, 333636), 9.0, 23.0]"
7,"[datetime.datetime(2022, 11, 28, 13, 15, 34, 467200), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 34, 467200), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 34, 467200), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 34, 467200), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 34, 467200), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 34, 467200), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 34, 467200), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 34, 467200), 9.0, 23.0]"
8,"[datetime.datetime(2022, 11, 28, 13, 15, 35, 596877), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 35, 596877), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 35, 596877), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 35, 596877), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 35, 596877), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 35, 596877), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 35, 596877), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 35, 596877), 9.0, 23.0]"
9,"[datetime.datetime(2022, 11, 28, 13, 15, 36, 718966), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 36, 718966), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 36, 718966), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 36, 718966), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 36, 718966), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 36, 718966), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 36, 718966), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 36, 718966), 9.0, 23.0]"
10,"[datetime.datetime(2022, 11, 28, 13, 15, 37, 846527), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 37, 846527), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 37, 846527), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 37, 846527), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 37, 846527), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 37, 846527), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 37, 846527), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 37, 846527), 9.0, 23.0]"
11,"[datetime.datetime(2022, 11, 28, 13, 15, 38, 967788), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 38, 967788), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 38, 967788), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 38, 967788), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 38, 967788), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 38, 967788), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 38, 967788), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 38, 967788), 9.0, 23.0]"
12,"[datetime.datetime(2022, 11, 28, 13, 15, 40, 96974), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 40, 96974), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 40, 96974), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 40, 96974), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 40, 96974), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 40, 96974), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 40, 96974), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 40, 96974), 9.0, 23.0]"
13,"[datetime.datetime(2022, 11, 28, 13, 15, 41, 225814), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 41, 225814), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 41, 225814), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 41, 225814), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 41, 225814), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 41, 225814), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 41, 225814), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 41, 225814), 9.0, 23.0]"
14,"[datetime.datetime(2022, 11, 28, 13, 15, 42, 361350), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 42, 361350), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 42, 361350), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 42, 361350), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 42, 361350), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 42, 361350), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 42, 361350), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 42, 361350), 9.0, 23.0]"
15,"[datetime.datetime(2022, 11, 28, 13, 15, 43, 486450), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 43, 486450), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 43, 486450), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 43, 486450), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 43, 486450), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 43, 486450), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 43, 486450), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 43, 486450), 9.0, 23.0]"
16,"[datetime.datetime(2022, 11, 28, 13, 15, 44, 621444), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 44, 621444), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 44, 621444), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 44, 621444), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 44, 621444), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 44, 621444), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 44, 621444), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 44, 621444), 9.0, 23.0]"
17,"[datetime.datetime(2022, 11, 28, 13, 15, 45, 746346), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 45, 746346), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 45, 746346), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 45, 746346), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 45, 746346), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 45, 746346), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 45, 746346), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 45, 746346), 9.0, 23.0]"
18,"[datetime.datetime(2022, 11, 28, 13, 15, 46, 880954), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 46, 880954), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 46, 880954), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 46, 880954), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 46, 880954), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 46, 880954), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 46, 880954), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 46, 880954), 9.0, 23.0]"
19,"[datetime.datetime(2022, 11, 28, 13, 15, 48, 9400), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 48, 9400), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 48, 9400), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 48, 9400), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 48, 9400), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 48, 9400), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 48, 9400), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 48, 9400), 9.0, 23.0]"
20,"[datetime.datetime(2022, 11, 28, 13, 15, 49, 134352), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 49, 134352), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 49, 134352), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 49, 134352), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 49, 134352), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 49, 134352), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 49, 134352), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 49, 134352), 9.0, 23.0]"
21,"[datetime.datetime(2022, 11, 28, 13, 15, 50, 259598), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 50, 259598), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 50, 259598), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 50, 259598), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 50, 259598), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 50, 259598), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 50, 259598), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 50, 259598), 9.0, 23.0]"
22,"[datetime.datetime(2022, 11, 28, 13, 15, 51, 383940), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 51, 383940), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 51, 383940), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 51, 383940), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 51, 383940), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 51, 383940), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 51, 383940), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 51, 383940), 9.0, 23.0]"
23,"[datetime.datetime(2022, 11, 28, 13, 15, 52, 509176), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 52, 509176), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 52, 509176), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 52, 509176), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 52, 509176), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 52, 509176), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 52, 509176), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 52, 509176), 9.0, 23.0]"
24,"[datetime.datetime(2022, 11, 28, 13, 15, 53, 628196), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 53, 628196), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 53, 628196), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 53, 628196), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 53, 628196), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 53, 628196), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 53, 628196), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 53, 628196), 9.0, 23.0]"
25,"[datetime.datetime(2022, 11, 28, 13, 15, 54, 754550), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 54, 754550), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 54, 754550), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 54, 754550), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 54, 754550), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 54, 754550), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 54, 754550), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 54, 754550), 9.0, 23.0]"
26,"[datetime.datetime(2022, 11, 28, 13, 15, 55, 878578), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 55, 878578), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 55, 878578), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 55, 878578), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 55, 878578), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 55, 878578), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 55, 878578), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 55, 878578), 9.0, 23.0]"
27,"[datetime.datetime(2022, 11, 28, 13, 15, 57, 4914), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 57, 4914), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 57, 4914), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 57, 4914), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 57, 4914), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 57, 4914), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 57, 4914), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 57, 4914), 9.0, 23.0]"
28,"[datetime.datetime(2022, 11, 28, 13, 15, 58, 131216), 41.0, 340.0]","[datetime.datetime(2022, 11, 28, 13, 15, 58, 131216), 2.6, 4.3]","[datetime.datetime(2022, 11, 28, 13, 15, 58, 131216), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 13, 15, 58, 131216), 7.5, 15.0]","[datetime.datetime(2022, 11, 28, 13, 15, 58, 131216), 4.8, 9.2]","[datetime.datetime(2022, 11, 28, 13, 15, 58, 131216), 5.0, 10.5]","[datetime.datetime(2022, 11, 28, 13, 15, 58, 131216), 3.6, 6.6]","[datetime.datetime(2022, 11, 28, 13, 15, 58, 131216), 9.0, 23.0]"
