,Newtons Law,Bree Fury,Bermuda Sky,On The Deck,Uncle Bertie,Coal Island
0,"[datetime.datetime(2022, 11, 28, 18, 4, 23, 481986), 2.9, 5.0]","[datetime.datetime(2022, 11, 28, 18, 4, 23, 481986), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 23, 481986), 41.0, 210.0]","[datetime.datetime(2022, 11, 28, 18, 4, 23, 481986), 2.2, 99999]","[datetime.datetime(2022, 11, 28, 18, 4, 23, 481986), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 18, 4, 23, 481986), 3.2, 5.4]"
1,"[datetime.datetime(2022, 11, 28, 18, 4, 24, 603362), 2.9, 5.0]","[datetime.datetime(2022, 11, 28, 18, 4, 24, 603362), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 24, 603362), 41.0, 210.0]","[datetime.datetime(2022, 11, 28, 18, 4, 24, 603362), 2.2, 99999]","[datetime.datetime(2022, 11, 28, 18, 4, 24, 603362), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 18, 4, 24, 603362), 3.2, 5.4]"
2,"[datetime.datetime(2022, 11, 28, 18, 4, 25, 742642), 2.9, 5.0]","[datetime.datetime(2022, 11, 28, 18, 4, 25, 742642), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 25, 742642), 41.0, 210.0]","[datetime.datetime(2022, 11, 28, 18, 4, 25, 742642), 2.2, 99999]","[datetime.datetime(2022, 11, 28, 18, 4, 25, 742642), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 18, 4, 25, 742642), 3.2, 5.4]"
3,"[datetime.datetime(2022, 11, 28, 18, 4, 26, 878181), 2.9, 5.0]","[datetime.datetime(2022, 11, 28, 18, 4, 26, 878181), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 26, 878181), 41.0, 210.0]","[datetime.datetime(2022, 11, 28, 18, 4, 26, 878181), 2.2, 99999]","[datetime.datetime(2022, 11, 28, 18, 4, 26, 878181), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 18, 4, 26, 878181), 3.2, 5.4]"
4,"[datetime.datetime(2022, 11, 28, 18, 4, 28, 18596), 2.9, 5.0]","[datetime.datetime(2022, 11, 28, 18, 4, 28, 18596), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 28, 18596), 41.0, 210.0]","[datetime.datetime(2022, 11, 28, 18, 4, 28, 18596), 2.2, 99999]","[datetime.datetime(2022, 11, 28, 18, 4, 28, 18596), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 18, 4, 28, 18596), 3.2, 5.4]"
5,"[datetime.datetime(2022, 11, 28, 18, 4, 29, 182940), 2.9, 5.0]","[datetime.datetime(2022, 11, 28, 18, 4, 29, 182940), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 29, 182940), 41.0, 210.0]","[datetime.datetime(2022, 11, 28, 18, 4, 29, 182940), 2.2, 99999]","[datetime.datetime(2022, 11, 28, 18, 4, 29, 182940), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 18, 4, 29, 182940), 3.2, 5.4]"
6,"[datetime.datetime(2022, 11, 28, 18, 4, 30, 370848), 2.9, 5.0]","[datetime.datetime(2022, 11, 28, 18, 4, 30, 370848), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 30, 370848), 41.0, 210.0]","[datetime.datetime(2022, 11, 28, 18, 4, 30, 370848), 2.2, 99999]","[datetime.datetime(2022, 11, 28, 18, 4, 30, 370848), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 18, 4, 30, 370848), 3.2, 5.4]"
7,"[datetime.datetime(2022, 11, 28, 18, 4, 31, 493566), 2.9, 5.0]","[datetime.datetime(2022, 11, 28, 18, 4, 31, 493566), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 31, 493566), 41.0, 210.0]","[datetime.datetime(2022, 11, 28, 18, 4, 31, 493566), 2.2, 99999]","[datetime.datetime(2022, 11, 28, 18, 4, 31, 493566), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 18, 4, 31, 493566), 3.2, 5.4]"
8,"[datetime.datetime(2022, 11, 28, 18, 4, 32, 640360), 2.9, 5.0]","[datetime.datetime(2022, 11, 28, 18, 4, 32, 640360), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 32, 640360), 41.0, 210.0]","[datetime.datetime(2022, 11, 28, 18, 4, 32, 640360), 2.2, 99999]","[datetime.datetime(2022, 11, 28, 18, 4, 32, 640360), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 18, 4, 32, 640360), 3.2, 5.4]"
9,"[datetime.datetime(2022, 11, 28, 18, 4, 33, 788388), 2.9, 5.0]","[datetime.datetime(2022, 11, 28, 18, 4, 33, 788388), 21.0, 65.0]","[datetime.datetime(2022, 11, 28, 18, 4, 33, 788388), 41.0, 210.0]","[datetime.datetime(2022, 11, 28, 18, 4, 33, 788388), 2.2, 99999]","[datetime.datetime(2022, 11, 28, 18, 4, 33, 788388), 10.0, 18.5]","[datetime.datetime(2022, 11, 28, 18, 4, 33, 788388), 3.2, 5.4]"
