,Lizzie Lou,Winlock Tilly,Magic Avenue,Another Fay,Optimus Bruce,Pinned,My Luck Many,Tralee Wolf
11-01-2023 13:42:44.246827,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.72)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 29.0, 21.714285714285715)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:42:45.598732,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.72)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 29.0, 21.714285714285715)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:42:46.787439,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.72)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 29.0, 21.714285714285715)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:42:48.056024,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.72)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 29.0, 21.714285714285715)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:42:49.156778,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.72)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 29.0, 21.714285714285715)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:42:50.301176,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.72)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 29.0, 21.714285714285715)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:42:51.382185,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 7.72)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 26.363636363636363)","(1.6, 2.28, 1.8239999999999998)","(11.0, 29.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:42:52.439620,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 5.24)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:42:53.601073,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.92)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
11-01-2023 13:42:54.755353,"(9.0, 16.5, 16.131147540983605)","(7.0, 12.5, 9.95)","(4.2, 8.6, 6.92)","(61.0, 560.0, 281.5625)","(18.0, 46.0, 28.0)","(1.6, 2.28, 1.8239999999999998)","(11.0, 26.0, 24.444444444444443)","(21.0, 65.0, 53.41379310344828)"
