,Vitesse,Flat Bill,Samaronti,Helms Deep,Mine To Hold,Diggers Diamond,Longtail,Contraflow
15-12-2022 12:23:13.345237,"(3.5, 3.9, 3.841666666666667)","(12.0, 19.5, 17.863636363636363)","(4.0, 5.7, 5.5)","(8.0, 13.5, 12.1)","(9.0, 24.0, 22.444444444444443)","(31.0, 240.0, 194.22222222222223)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.5, 4.466666666666667)"
15-12-2022 12:23:14.338886,"(3.5, 3.9, 3.841666666666667)","(12.0, 19.5, 17.863636363636363)","(4.0, 5.9, 5.5)","(8.0, 13.5, 12.1)","(9.0, 24.0, 22.444444444444443)","(31.0, 240.0, 194.22222222222223)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.4, 4.466666666666667)"
15-12-2022 12:23:15.399782,"(3.5, 3.9, 3.841666666666667)","(12.0, 19.5, 17.863636363636363)","(4.0, 5.9, 5.5)","(8.0, 13.5, 12.1)","(9.0, 24.0, 22.444444444444443)","(31.0, 240.0, 194.22222222222223)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.4, 4.466666666666667)"
15-12-2022 12:23:16.483556,"(3.5, 3.9, 3.841666666666667)","(12.0, 19.5, 17.863636363636363)","(4.0, 5.9, 5.5)","(8.0, 13.5, 12.1)","(9.0, 24.0, 22.444444444444443)","(31.0, 240.0, 210.57142857142856)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.4, 4.433333333333334)"
15-12-2022 12:23:17.595374,"(3.5, 3.9, 3.841666666666667)","(12.0, 19.5, 17.863636363636363)","(4.0, 6.0, 5.6)","(8.0, 13.5, 12.1)","(9.0, 24.0, 23.066666666666666)","(31.0, 240.0, 210.57142857142856)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.4, 4.433333333333334)"
15-12-2022 12:23:18.897899,"(3.5, 3.9, 3.841666666666667)","(12.0, 19.5, 17.863636363636363)","(4.0, 6.0, 5.625)","(8.0, 13.5, 12.1)","(9.0, 24.0, 19.5)","(31.0, 240.0, 210.57142857142856)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.4, 4.18)"
15-12-2022 12:23:19.996341,"(3.5, 4.3, 4.2318181818181815)","(12.0, 19.0, 15.0)","(4.0, 5.9, 5.625)","(8.0, 13.5, 12.1)","(9.0, 24.0, 19.5)","(31.0, 240.0, 210.57142857142856)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.3, 4.18)"
15-12-2022 12:23:21.044726,"(3.5, 4.3, 4.2318181818181815)","(12.0, 18.5, 14.75)","(4.0, 5.9, 5.625)","(8.0, 13.5, 12.1)","(9.0, 24.0, 19.666666666666664)","(31.0, 240.0, 210.57142857142856)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.3, 4.18)"
15-12-2022 12:23:22.047223,"(3.5, 4.3, 4.2318181818181815)","(12.0, 18.5, 14.75)","(4.0, 5.9, 5.625)","(8.0, 13.5, 12.1)","(9.0, 24.0, 19.666666666666664)","(31.0, 240.0, 210.57142857142856)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.3, 4.18)"
15-12-2022 12:23:23.058119,"(3.5, 4.3, 4.2318181818181815)","(12.0, 18.5, 14.75)","(4.0, 5.9, 5.625)","(8.0, 13.5, 12.1)","(9.0, 24.0, 19.666666666666664)","(31.0, 240.0, 210.57142857142856)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.3, 4.18)"
15-12-2022 12:23:24.086631,"(3.5, 4.3, 4.2318181818181815)","(12.0, 18.5, 14.75)","(4.0, 5.9, 5.625)","(8.0, 13.5, 12.1)","(9.0, 24.0, 19.666666666666664)","(31.0, 240.0, 210.57142857142856)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.3, 4.18)"
15-12-2022 12:23:25.137430,"(3.5, 4.3, 4.2318181818181815)","(12.0, 18.5, 14.75)","(4.0, 5.9, 5.625)","(8.0, 13.5, 12.1)","(9.0, 24.0, 19.666666666666664)","(31.0, 240.0, 210.57142857142856)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.3, 4.18)"
15-12-2022 12:23:26.179138,"(3.5, 4.3, 4.2318181818181815)","(12.0, 18.5, 14.75)","(4.0, 5.9, 5.625)","(8.0, 13.5, 12.1)","(9.0, 24.0, 19.666666666666664)","(31.0, 240.0, 210.57142857142856)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.3, 4.18)"
15-12-2022 12:23:27.202081,"(3.5, 4.3, 4.2318181818181815)","(12.0, 18.5, 14.75)","(4.0, 5.9, 5.625)","(8.0, 13.5, 12.1)","(9.0, 24.0, 19.666666666666664)","(31.0, 240.0, 165.0909090909091)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.3, 4.18)"
15-12-2022 12:23:28.404182,"(3.5, 4.3, 4.2318181818181815)","(12.0, 18.5, 14.75)","(4.0, 5.9, 5.625)","(8.0, 13.5, 12.1)","(9.0, 24.0, 19.666666666666664)","(31.0, 240.0, 165.0909090909091)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.3, 4.18)"
15-12-2022 12:23:29.377428,"(3.5, 4.3, 4.2318181818181815)","(12.0, 18.5, 14.75)","(4.0, 5.9, 5.625)","(8.0, 13.5, 12.1)","(9.0, 24.0, 19.666666666666664)","(31.0, 240.0, 165.0909090909091)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.3, 4.18)"
15-12-2022 12:23:30.466140,"(3.5, 4.3, 4.2318181818181815)","(12.0, 18.5, 14.75)","(4.0, 5.9, 5.625)","(8.0, 13.5, 12.1)","(9.0, 24.0, 19.666666666666664)","(31.0, 240.0, 165.0909090909091)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.3, 4.333333333333333)"
15-12-2022 12:23:31.431320,"(3.5, 4.3, 4.2318181818181815)","(12.0, 18.5, 14.75)","(4.0, 5.9, 5.625)","(8.0, 13.5, 12.1)","(9.0, 24.0, 19.666666666666664)","(31.0, 240.0, 165.0909090909091)","(5.5, 6.6, 5.841666666666667)","(3.5, 5.2, 4.333333333333333)"
