,Winlock On Top,Aston Ulysses,High Expectation,Zipper Rogue,Pacific Hill,Metro Mike,Flashing Oscar
10-01-2023 19:09:09.502309,"(5.5, 14.0, 12.509090909090908)","(1.4, 1.74, 1.674)","(9.0, 28.0, 24.8)","(8.0, 16.5, 12.0)","(101.0, 830.0, 470.0)","(31.0, 170.0, 119.88235294117648)","(7.5, 17.5, 15.64)"
10-01-2023 19:09:10.498447,"(5.5, 14.0, 12.509090909090908)","(1.4, 1.74, 1.674)","(9.0, 28.0, 24.8)","(8.0, 16.5, 12.0)","(101.0, 830.0, 470.0)","(31.0, 170.0, 119.88235294117648)","(7.5, 17.5, 15.64)"
10-01-2023 19:09:11.498787,"(5.5, 14.0, 12.509090909090908)","(1.4, 1.74, 1.674)","(9.0, 28.0, 24.8)","(8.0, 16.5, 12.0)","(101.0, 830.0, 470.0)","(31.0, 170.0, 119.88235294117648)","(7.5, 17.5, 15.64)"
10-01-2023 19:09:12.495620,"(5.5, 14.0, 12.509090909090908)","(1.4, 1.74, 1.674)","(9.0, 28.0, 24.8)","(8.0, 16.5, 12.0)","(101.0, 830.0, 470.0)","(31.0, 170.0, 119.88235294117648)","(7.5, 17.5, 15.64)"
10-01-2023 19:09:13.500844,"(5.5, 14.0, 12.509090909090908)","(1.4, 1.74, 1.674)","(9.0, 28.0, 24.8)","(8.0, 16.5, 12.0)","(101.0, 830.0, 470.0)","(31.0, 170.0, 119.88235294117648)","(7.5, 17.5, 15.64)"
10-01-2023 19:09:14.558195,"(5.5, 14.0, 12.509090909090908)","(1.4, 1.7, 1.4268115942028985)","(9.0, 28.0, 24.8)","(8.0, 16.5, 12.0)","(101.0, 830.0, 470.0)","(31.0, 170.0, 119.88235294117648)","(7.5, 17.5, 15.64)"
10-01-2023 19:09:15.587993,"(5.5, 14.0, 12.509090909090908)","(1.4, 1.69, 1.472222222222222)","(9.0, 28.0, 24.8)","(8.0, 16.5, 12.0)","(101.0, 830.0, 470.0)","(31.0, 170.0, 119.88235294117648)","(7.5, 17.5, 15.64)"
10-01-2023 19:09:16.649448,"(5.5, 14.0, 12.509090909090908)","(1.4, 1.69, 1.472222222222222)","(9.0, 28.0, 24.8)","(8.0, 16.5, 12.0)","(101.0, 830.0, 470.0)","(31.0, 170.0, 119.88235294117648)","(7.5, 17.5, 15.64)"
10-01-2023 19:09:17.643598,"(5.5, 14.0, 12.509090909090908)","(1.4, 1.69, 1.472222222222222)","(9.0, 28.0, 24.8)","(8.0, 16.5, 12.0)","(101.0, 830.0, 470.0)","(31.0, 170.0, 119.88235294117648)","(7.5, 17.5, 15.64)"
10-01-2023 19:09:18.617948,"(5.5, 14.0, 12.509090909090908)","(1.4, 1.64, 1.5939999999999999)","(9.0, 28.0, 24.8)","(8.0, 16.5, 12.0)","(101.0, 830.0, 470.0)","(31.0, 170.0, 119.88235294117648)","(7.5, 17.5, 15.64)"
10-01-2023 19:09:19.605955,"(5.5, 14.0, 12.509090909090908)","(1.4, 1.64, 1.5939999999999999)","(9.0, 28.0, 24.8)","(8.0, 16.5, 12.0)","(101.0, 830.0, 470.0)","(31.0, 170.0, 119.88235294117648)","(7.5, 17.5, 15.64)"
10-01-2023 19:09:20.629670,"(5.5, 14.0, 12.509090909090908)","(1.4, 1.63, 1.4227536231884057)","(9.0, 28.0, 24.8)","(8.0, 16.5, 12.0)","(101.0, 830.0, 470.0)","(31.0, 170.0, 119.88235294117648)","(7.5, 17.5, 15.64)"
10-01-2023 19:09:21.659377,"(5.5, 14.0, 12.509090909090908)","(1.4, 1.62, 1.4221739130434783)","(9.0, 28.0, 24.8)","(8.0, 16.5, 12.0)","(101.0, 830.0, 470.0)","(31.0, 170.0, 119.88235294117648)","(7.5, 17.5, 15.64)"
10-01-2023 19:09:22.578340,"(5.5, 14.0, 12.509090909090908)","(1.4, 1.61, 1.4215942028985507)","(9.0, 28.0, 24.8)","(8.0, 16.5, 12.0)","(101.0, 830.0, 470.0)","(31.0, 170.0, 119.88235294117648)","(7.5, 17.5, 15.64)"
10-01-2023 19:09:23.586532,"(5.5, 14.0, 12.509090909090908)","(1.4, 1.6, 1.421014492753623)","(9.0, 28.0, 24.8)","(8.0, 16.5, 12.0)","(101.0, 830.0, 470.0)","(31.0, 170.0, 119.88235294117648)","(7.5, 17.5, 15.983333333333334)"
10-01-2023 19:09:24.627898,"(5.5, 14.0, 12.509090909090908)","(1.4, 1.59, 1.417578947368421)","(9.0, 28.0, 24.8)","(8.0, 16.5, 12.0)","(101.0, 830.0, 470.0)","(31.0, 170.0, 119.88235294117648)","(7.5, 17.5, 15.983333333333334)"
10-01-2023 19:09:25.650441,"(5.5, 14.0, 12.509090909090908)","(1.4, 1.58, 1.4825)","(9.0, 28.0, 24.8)","(8.0, 16.5, 12.0)","(101.0, 830.0, 470.0)","(31.0, 170.0, 119.88235294117648)","(7.5, 17.5, 16.511111111111113)"
10-01-2023 19:09:26.668109,"(5.5, 14.0, 12.509090909090908)","(1.4, 1.55, 1.5473214285714285)","(9.0, 28.0, 24.8)","(8.0, 16.5, 12.0)","(101.0, 830.0, 470.0)","(31.0, 170.0, 119.88235294117648)","(7.5, 17.5, 16.511111111111113)"
10-01-2023 19:09:27.657890,"(5.5, 14.0, 12.509090909090908)","(1.4, 1.55, 1.5473214285714285)","(9.0, 28.0, 24.8)","(8.0, 16.5, 12.0)","(101.0, 830.0, 470.0)","(31.0, 170.0, 119.88235294117648)","(7.5, 17.5, 16.511111111111113)"
