,Copy Cat,Solar Circles,Victa Makayla,Aston Chaffy,Gemtree Mercury
16-12-2022 13:56:21.464988,"(4.4, 5.8, 4.949999999999999)","(4.2, 6.6, 6.252941176470588)","(8.5, 14.0, 12.45)","(2.9, 7.4, 6.044444444444444)","(3.6, 5.6, 4.5375)"
16-12-2022 13:56:22.288913,"(4.4, 5.8, 5.0)","(4.2, 6.2, 6.0321428571428575)","(8.5, 14.0, 12.55)","(2.9, 7.2, 6.044444444444444)","(3.6, 5.6, 4.5375)"
16-12-2022 13:56:23.278051,"(4.4, 5.8, 4.927272727272728)","(4.2, 6.0, 5.777586206896552)","(8.5, 14.0, 12.55)","(2.9, 7.2, 6.044444444444444)","(3.6, 5.6, 4.8)"
16-12-2022 13:56:24.274127,"(4.4, 5.8, 4.927272727272728)","(4.2, 5.8, 5.598275862068966)","(8.5, 14.0, 12.55)","(2.9, 7.2, 6.044444444444444)","(3.6, 5.6, 4.8)"
16-12-2022 13:56:25.182571,"(4.4, 5.8, 4.927272727272728)","(4.2, 5.8, 5.598275862068966)","(8.5, 14.0, 12.55)","(2.9, 7.2, 6.044444444444444)","(3.6, 5.6, 4.8)"
16-12-2022 13:56:26.086005,"(4.4, 5.8, 4.927272727272728)","(4.2, 5.8, 5.598275862068966)","(8.5, 14.0, 12.55)","(2.9, 7.2, 6.044444444444444)","(3.6, 5.6, 4.8)"
16-12-2022 13:56:26.949820,"(4.4, 5.8, 4.927272727272728)","(4.2, 5.8, 5.598275862068966)","(8.5, 14.0, 12.55)","(2.9, 7.2, 6.044444444444444)","(3.6, 5.6, 4.8)"
16-12-2022 13:56:27.838312,"(4.4, 5.8, 4.9818181818181815)","(4.2, 5.8, 5.598275862068966)","(8.5, 14.0, 12.55)","(2.9, 7.2, 6.044444444444444)","(3.6, 5.6, 4.9653846153846155)"
16-12-2022 13:56:28.670090,"(4.4, 5.8, 4.9818181818181815)","(4.2, 5.8, 5.598275862068966)","(8.5, 14.0, 12.55)","(2.9, 7.2, 6.457142857142857)","(3.6, 5.6, 4.9653846153846155)"
16-12-2022 13:56:29.605227,"(4.4, 5.8, 5.55)","(4.2, 5.5, 5.3293103448275865)","(8.5, 14.0, 11.68)","(2.9, 7.2, 6.088888888888889)","(3.6, 5.6, 4.8)"
16-12-2022 13:56:30.414267,"(4.4, 5.8, 5.55)","(4.2, 5.5, 4.9)","(8.5, 14.0, 11.68)","(2.9, 7.2, 5.741666666666667)","(3.6, 5.6, 4.8)"
16-12-2022 13:56:31.298591,"(4.4, 5.8, 5.533333333333333)","(4.2, 5.7, 4.592307692307692)","(8.5, 14.0, 12.55)","(2.9, 7.2, 6.088888888888889)","(3.6, 5.6, 4.8)"
16-12-2022 13:56:32.201409,"(4.4, 5.8, 5.0)","(4.2, 5.7, 5.025)","(8.5, 14.0, 12.55)","(2.9, 7.2, 6.088888888888889)","(3.6, 5.7, 4.566666666666666)"
16-12-2022 13:56:33.083713,"(4.4, 5.8, 4.8)","(4.2, 5.1, 4.566666666666666)","(8.5, 14.0, 11.68)","(2.9, 7.2, 6.266666666666667)","(3.6, 5.2, 4.859090909090909)"
16-12-2022 13:56:33.911491,"(4.0, 5.8, 4.694736842105263)","(4.2, 5.1, 4.933333333333333)","(10.0, 14.0, 12.55)","(3.0, 7.2, 6.266666666666667)","(3.7, 5.3, 4.85)"
16-12-2022 13:56:34.790668,"(4.0, 5.8, 4.694736842105263)","(4.2, 5.4, 5.342592592592593)","(10.0, 14.0, 12.7)","(3.0, 7.0, 5.8)","(3.7, 5.7, 4.888888888888888)"
16-12-2022 13:56:35.733414,"(4.0, 5.8, 4.835714285714285)","(4.2, 5.4, 5.342592592592593)","(10.0, 14.0, 12.7)","(3.0, 7.0, 5.4799999999999995)","(3.7, 5.6, 4.888888888888888)"
16-12-2022 13:56:36.601579,"(4.0, 5.8, 4.09)","(4.2, 6.2, 5.625)","(10.0, 14.0, 12.7)","(3.0, 6.8, 5.4799999999999995)","(3.7, 5.6, 5.05)"
16-12-2022 13:56:37.477722,"(3.2, 5.8, 4.09)","(4.6, 6.8, 6.074999999999999)","(10.0, 14.0, 12.7)","(3.2, 6.8, 5.36)","(3.9, 5.6, 5.05)"
16-12-2022 13:56:38.293317,"(3.2, 5.8, 4.9)","(4.6, 6.0, 5.475)","(10.0, 14.0, 12.7)","(3.2, 6.8, 4.85)","(3.9, 5.6, 5.05)"
16-12-2022 13:56:39.163517,"(3.2, 5.8, 4.9)","(4.6, 6.0, 5.92037037037037)","(10.0, 14.0, 12.7)","(3.2, 6.8, 5.24)","(3.9, 5.6, 5.05)"
16-12-2022 13:56:39.982866,"(3.2, 5.8, 4.9)","(4.6, 5.9, 5.824074074074074)","(10.0, 14.0, 12.7)","(3.2, 6.6, 5.0)","(3.9, 5.6, 4.888888888888888)"
16-12-2022 13:56:40.876307,"(3.2, 5.8, 5.1)","(4.6, 5.9, 5.824074074074074)","(10.0, 14.0, 12.7)","(3.2, 6.6, 5.0)","(3.9, 5.4, 4.538461538461538)"
