,Eddie Jet,Buddys Mate,Reality Jewel,Why Not Emily,Donald Lane,Chasing Her Tail,Long Way Home,Infra Bang Bang
15-12-2022 14:06:20.070222,"(26.0, 100.0, 51.875)","(2.25, 3.35, 2.2638888888888893)","(5.5, 14.0, 11.793103448275861)","(21.0, 65.0, 44.09090909090909)","(5.0, 10.5, 7.444444444444445)","(31.0, 200.0, 114.5)","(3.5, 5.7, 3.5956521739130434)","(10.0, 23.0, 19.11111111111111)"
15-12-2022 14:06:21.464544,"(26.0, 100.0, 51.875)","(2.25, 3.35, 2.2638888888888893)","(5.5, 14.0, 11.793103448275861)","(21.0, 65.0, 36.5625)","(5.0, 10.5, 7.444444444444445)","(31.0, 200.0, 114.5)","(3.5, 5.7, 3.5956521739130434)","(10.0, 23.0, 19.11111111111111)"
15-12-2022 14:06:22.906206,"(26.0, 100.0, 51.875)","(2.25, 3.35, 2.2638888888888893)","(5.5, 14.0, 11.793103448275861)","(21.0, 65.0, 36.5625)","(5.0, 10.5, 7.444444444444445)","(31.0, 200.0, 114.5)","(3.5, 5.7, 3.5956521739130434)","(10.0, 23.0, 19.11111111111111)"
15-12-2022 14:06:24.391463,"(26.0, 100.0, 51.875)","(2.25, 3.35, 2.2638888888888893)","(5.5, 14.0, 11.793103448275861)","(21.0, 65.0, 36.5625)","(5.0, 10.5, 7.444444444444445)","(31.0, 200.0, 114.5)","(3.5, 5.7, 3.5956521739130434)","(10.0, 23.0, 19.11111111111111)"
15-12-2022 14:06:25.773259,"(26.0, 100.0, 51.875)","(2.25, 3.35, 2.2638888888888893)","(5.5, 14.0, 11.793103448275861)","(21.0, 65.0, 36.5625)","(5.0, 10.5, 7.444444444444445)","(31.0, 200.0, 114.5)","(3.5, 5.7, 3.5956521739130434)","(10.0, 23.0, 19.11111111111111)"
15-12-2022 14:06:27.144145,"(26.0, 100.0, 51.875)","(2.25, 3.35, 2.2638888888888893)","(5.5, 14.0, 11.793103448275861)","(21.0, 65.0, 36.5625)","(5.0, 10.5, 7.444444444444445)","(31.0, 200.0, 114.5)","(3.5, 5.7, 3.5956521739130434)","(10.0, 23.0, 19.11111111111111)"
15-12-2022 14:06:28.577136,"(26.0, 100.0, 51.875)","(2.25, 3.35, 2.2638888888888893)","(5.5, 14.0, 11.793103448275861)","(21.0, 65.0, 36.5625)","(5.0, 10.5, 7.444444444444445)","(31.0, 200.0, 114.5)","(3.5, 5.7, 3.5956521739130434)","(10.0, 23.0, 19.11111111111111)"
15-12-2022 14:06:30.240614,"(26.0, 100.0, 51.875)","(2.25, 3.35, 2.3150000000000004)","(5.5, 14.0, 11.793103448275861)","(21.0, 65.0, 36.5625)","(5.0, 10.5, 7.444444444444445)","(31.0, 200.0, 114.5)","(3.5, 5.7, 3.5956521739130434)","(10.0, 23.0, 19.11111111111111)"
15-12-2022 14:06:31.721571,"(26.0, 100.0, 51.875)","(2.25, 3.35, 2.3150000000000004)","(5.5, 14.0, 11.793103448275861)","(21.0, 65.0, 36.5625)","(5.0, 10.5, 7.444444444444445)","(31.0, 200.0, 114.5)","(3.5, 5.7, 3.5956521739130434)","(10.0, 23.0, 19.11111111111111)"
15-12-2022 14:06:33.032648,"(26.0, 100.0, 51.875)","(2.25, 3.35, 2.3150000000000004)","(5.5, 14.0, 11.793103448275861)","(21.0, 65.0, 36.5625)","(5.0, 10.5, 7.444444444444445)","(31.0, 200.0, 114.5)","(3.5, 5.7, 3.5956521739130434)","(10.0, 23.0, 19.11111111111111)"
