,Wiradjuri Queen,Little Burrito,Gothika,Rupurt Keen,Jeanie Cargo,Greek Flame,Tralee Jay
12-01-2023 14:45:42.850124,"(3.2, 5.2, 3.64)","(5.0, 9.6, 6.457142857142857)","(91.0, 650.0, 558.3333333333334)","(3.3, 5.5, 3.905555555555556)","(3.2, 4.5, 3.71875)","(21.0, 70.0, 40.0)","(8.0, 30.0, 13.8)"
12-01-2023 14:45:43.995588,"(3.2, 5.2, 3.64)","(5.0, 9.6, 6.457142857142857)","(91.0, 650.0, 558.3333333333334)","(3.3, 5.5, 3.905555555555556)","(3.2, 4.5, 3.71875)","(21.0, 70.0, 40.0)","(8.0, 30.0, 13.8)"
12-01-2023 14:45:45.299365,"(3.2, 5.2, 3.64)","(5.0, 9.6, 6.457142857142857)","(91.0, 650.0, 558.3333333333334)","(3.3, 5.5, 3.905555555555556)","(3.2, 4.5, 3.71875)","(21.0, 70.0, 40.0)","(8.0, 30.0, 13.8)"
12-01-2023 14:45:46.658201,"(3.2, 5.2, 3.64)","(5.0, 9.6, 6.457142857142857)","(91.0, 650.0, 558.3333333333334)","(3.3, 5.5, 3.905555555555556)","(3.2, 4.5, 3.71875)","(21.0, 70.0, 40.0)","(8.0, 30.0, 13.8)"
12-01-2023 14:45:47.896571,"(3.2, 5.2, 3.64)","(5.0, 9.6, 6.457142857142857)","(91.0, 650.0, 558.3333333333334)","(3.3, 5.5, 3.905555555555556)","(3.2, 4.5, 3.71875)","(21.0, 70.0, 40.0)","(8.0, 30.0, 13.8)"
12-01-2023 14:45:49.231096,"(3.2, 5.2, 3.64)","(5.0, 9.6, 6.457142857142857)","(91.0, 650.0, 558.3333333333334)","(3.3, 5.5, 3.905555555555556)","(3.2, 4.5, 3.71875)","(21.0, 70.0, 40.0)","(8.0, 30.0, 13.8)"
12-01-2023 14:45:50.622597,"(3.2, 5.2, 3.64)","(5.0, 9.6, 6.457142857142857)","(91.0, 650.0, 558.3333333333334)","(3.3, 5.5, 3.905555555555556)","(3.2, 4.5, 3.71875)","(21.0, 70.0, 40.0)","(8.0, 30.0, 13.8)"
12-01-2023 14:45:51.905672,"(3.2, 5.2, 3.64)","(5.0, 9.6, 6.457142857142857)","(91.0, 650.0, 558.3333333333334)","(3.3, 5.5, 3.905555555555556)","(3.2, 4.5, 3.71875)","(21.0, 70.0, 40.0)","(8.0, 30.0, 13.8)"
12-01-2023 14:45:53.210551,"(3.2, 5.2, 3.64)","(5.0, 9.6, 6.457142857142857)","(91.0, 650.0, 558.3333333333334)","(3.3, 5.5, 3.905555555555556)","(3.2, 4.5, 3.71875)","(21.0, 70.0, 40.0)","(8.0, 30.0, 13.8)"
12-01-2023 14:45:54.600450,"(3.2, 5.2, 3.64)","(5.0, 9.6, 6.457142857142857)","(91.0, 650.0, 558.3333333333334)","(3.3, 5.5, 3.905555555555556)","(3.2, 4.5, 3.71875)","(21.0, 70.0, 40.0)","(8.0, 30.0, 13.8)"
12-01-2023 14:45:55.897263,"(3.2, 5.2, 3.64)","(5.0, 9.6, 6.457142857142857)","(91.0, 650.0, 558.3333333333334)","(3.3, 5.5, 3.905555555555556)","(3.2, 4.5, 3.71875)","(21.0, 70.0, 40.0)","(8.0, 30.0, 13.8)"
12-01-2023 14:45:57.258379,"(3.2, 5.2, 3.64)","(5.0, 9.6, 6.457142857142857)","(91.0, 650.0, 558.3333333333334)","(3.3, 5.5, 3.905555555555556)","(3.2, 4.5, 3.71875)","(21.0, 70.0, 40.0)","(8.0, 30.0, 13.8)"
12-01-2023 14:45:58.593998,"(3.2, 5.2, 3.64)","(5.0, 9.6, 6.457142857142857)","(91.0, 650.0, 558.3333333333334)","(3.3, 5.5, 3.905555555555556)","(3.2, 4.5, 3.71875)","(21.0, 70.0, 40.0)","(8.0, 30.0, 13.8)"
12-01-2023 14:45:59.722134,"(3.2, 5.2, 3.64)","(5.0, 9.6, 6.457142857142857)","(91.0, 650.0, 558.3333333333334)","(3.3, 5.5, 3.905555555555556)","(3.2, 4.5, 3.71875)","(21.0, 70.0, 40.0)","(8.0, 30.0, 13.8)"
12-01-2023 14:46:00.901197,"(3.2, 5.2, 3.64)","(5.0, 9.6, 6.457142857142857)","(91.0, 650.0, 558.3333333333334)","(3.3, 5.5, 3.905555555555556)","(3.2, 4.5, 3.71875)","(21.0, 70.0, 40.0)","(8.0, 30.0, 13.8)"
12-01-2023 14:46:02.184196,"(3.2, 5.2, 3.64)","(5.0, 9.6, 6.457142857142857)","(91.0, 650.0, 558.3333333333334)","(3.3, 5.5, 3.905555555555556)","(3.2, 4.5, 3.71875)","(21.0, 70.0, 40.0)","(8.0, 30.0, 13.8)"
12-01-2023 14:46:03.390294,"(3.2, 5.2, 3.64)","(5.0, 9.6, 6.457142857142857)","(91.0, 650.0, 558.3333333333334)","(3.3, 5.5, 3.905555555555556)","(3.2, 4.5, 3.71875)","(21.0, 70.0, 40.0)","(8.0, 30.0, 13.8)"
