,Clase Azul,Spearhead Joe,Izuku Bale,Earn The Fizz,Elite Patty,Miss Belle,Milski,Dr Carlson
07-12-2022 13:59:06.009686,"(10.0, 40.0, 30.0)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.6571428571428575)","(51.0, 410.0, 180.0)","(6.0, 10.0, 8.28)","(21.0, 60.0, 41.34615384615385)","(1.9, 2.86, 2.381666666666667)"
07-12-2022 13:59:07.230782,"(10.0, 40.0, 34.1)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.6571428571428575)","(51.0, 410.0, 180.0)","(6.0, 10.0, 8.28)","(21.0, 55.0, 41.34615384615385)","(1.9, 2.86, 2.381666666666667)"
07-12-2022 13:59:08.413027,"(10.0, 40.0, 30.5)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.492307692307692)","(51.0, 410.0, 180.0)","(6.0, 10.0, 8.28)","(21.0, 55.0, 41.34615384615385)","(1.9, 2.86, 2.286)"
07-12-2022 13:59:09.620886,"(10.0, 40.0, 33.666666666666664)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.492307692307692)","(51.0, 410.0, 180.0)","(6.0, 10.0, 8.28)","(21.0, 55.0, 41.34615384615385)","(1.9, 2.86, 2.3)"
07-12-2022 13:59:10.829404,"(10.0, 40.0, 33.666666666666664)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.492307692307692)","(51.0, 410.0, 180.0)","(6.0, 10.0, 8.28)","(21.0, 55.0, 37.25)","(1.9, 2.86, 2.3636363636363638)"
07-12-2022 13:59:11.890877,"(10.0, 40.0, 33.666666666666664)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.415384615384616)","(51.0, 410.0, 180.0)","(6.0, 10.0, 8.28)","(21.0, 55.0, 37.25)","(1.9, 2.86, 2.328)"
07-12-2022 13:59:13.003107,"(10.0, 40.0, 33.666666666666664)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.415384615384616)","(51.0, 410.0, 180.0)","(6.0, 10.0, 8.28)","(21.0, 55.0, 37.25)","(1.9, 2.86, 2.328)"
07-12-2022 13:59:14.035992,"(10.0, 40.0, 33.666666666666664)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.728571428571429)","(51.0, 410.0, 180.0)","(6.0, 10.0, 8.28)","(21.0, 55.0, 37.25)","(1.9, 2.86, 2.328)"
07-12-2022 13:59:15.144713,"(10.0, 40.0, 33.666666666666664)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.569230769230769)","(51.0, 410.0, 180.0)","(6.0, 10.0, 8.28)","(21.0, 55.0, 37.25)","(1.9, 2.86, 2.3)"
07-12-2022 13:59:16.225317,"(10.0, 40.0, 33.666666666666664)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.569230769230769)","(51.0, 410.0, 227.0)","(6.0, 10.0, 8.28)","(21.0, 55.0, 37.25)","(1.9, 2.86, 2.183157894736842)"
07-12-2022 13:59:17.386328,"(10.0, 40.0, 33.666666666666664)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.569230769230769)","(51.0, 410.0, 227.0)","(6.0, 10.0, 8.28)","(21.0, 55.0, 37.25)","(1.9, 2.84, 2.183157894736842)"
07-12-2022 13:59:18.605963,"(10.0, 40.0, 33.666666666666664)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.415384615384616)","(51.0, 410.0, 227.0)","(6.0, 10.0, 8.28)","(21.0, 55.0, 37.25)","(1.9, 2.84, 2.288)"
07-12-2022 13:59:19.704625,"(10.0, 40.0, 28.799999999999997)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.415384615384616)","(51.0, 410.0, 227.0)","(6.0, 10.0, 8.28)","(21.0, 55.0, 37.25)","(1.9, 2.82, 2.288)"
07-12-2022 13:59:20.810866,"(10.0, 40.0, 33.888888888888886)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.415384615384616)","(51.0, 410.0, 227.0)","(6.0, 10.0, 8.28)","(21.0, 55.0, 37.25)","(1.9, 2.82, 2.288)"
07-12-2022 13:59:21.941565,"(10.0, 40.0, 33.888888888888886)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.415384615384616)","(51.0, 410.0, 227.0)","(6.0, 10.0, 8.28)","(21.0, 55.0, 37.25)","(1.9, 2.82, 2.288)"
07-12-2022 13:59:23.091737,"(10.0, 40.0, 33.888888888888886)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.569230769230769)","(51.0, 410.0, 227.0)","(6.0, 10.0, 8.28)","(21.0, 55.0, 37.25)","(1.9, 2.82, 2.288)"
07-12-2022 13:59:24.343050,"(10.0, 40.0, 33.888888888888886)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.569230769230769)","(51.0, 410.0, 227.0)","(6.0, 10.0, 8.28)","(21.0, 55.0, 37.25)","(1.9, 2.82, 2.288)"
07-12-2022 13:59:25.527882,"(10.0, 40.0, 29.4)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.569230769230769)","(51.0, 410.0, 227.0)","(6.0, 10.0, 8.28)","(21.0, 55.0, 37.25)","(1.9, 2.82, 2.288)"
07-12-2022 13:59:26.693730,"(10.0, 40.0, 34.111111111111114)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.569230769230769)","(51.0, 410.0, 227.0)","(6.0, 10.0, 8.28)","(21.0, 55.0, 37.25)","(1.9, 2.82, 2.2836363636363637)"
07-12-2022 13:59:27.855791,"(10.0, 40.0, 34.111111111111114)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.569230769230769)","(51.0, 410.0, 227.0)","(6.0, 10.0, 8.28)","(21.0, 55.0, 37.25)","(1.9, 2.88, 2.282)"
07-12-2022 13:59:28.964642,"(10.0, 40.0, 34.111111111111114)","(4.6, 7.2, 4.866666666666667)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.569230769230769)","(51.0, 410.0, 227.0)","(6.0, 10.0, 8.936842105263159)","(21.0, 55.0, 37.25)","(1.9, 2.8, 2.3566666666666665)"
07-12-2022 13:59:30.189453,"(10.0, 40.0, 34.111111111111114)","(4.6, 7.0, 5.32)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.569230769230769)","(51.0, 410.0, 227.0)","(6.0, 9.8, 8.936842105263159)","(21.0, 55.0, 37.25)","(1.9, 2.8, 2.3566666666666665)"
07-12-2022 13:59:31.403681,"(10.0, 40.0, 34.111111111111114)","(4.6, 7.0, 5.32)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.569230769230769)","(51.0, 410.0, 227.0)","(6.0, 9.8, 8.936842105263159)","(21.0, 55.0, 37.25)","(1.9, 2.8, 2.3566666666666665)"
07-12-2022 13:59:32.616238,"(10.0, 40.0, 34.111111111111114)","(4.6, 7.2, 5.508333333333333)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.871428571428572)","(51.0, 410.0, 227.0)","(6.0, 9.8, 8.936842105263159)","(21.0, 55.0, 37.25)","(1.9, 2.8, 2.3566666666666665)"
07-12-2022 13:59:33.775584,"(10.0, 40.0, 34.111111111111114)","(4.6, 7.2, 5.508333333333333)","(19.0, 60.0, 36.94444444444444)","(5.5, 9.8, 6.871428571428572)","(51.0, 410.0, 227.0)","(6.0, 9.8, 8.936842105263159)","(21.0, 55.0, 37.25)","(1.9, 2.8, 2.3566666666666665)"
