,Iggy Bigs,Avasarala,Judys Ms Officer,Keepmeinthe Moment,Marys Last Song,Rare Action Attack,Chrome Attack,Journeyist,Maureenlovesfrank
0,"[datetime.datetime(2022, 11, 28, 9, 50, 13, 688601), 5.5, 5.6]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 688601), 17.0, 140.0]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 688601), 21.0, 99999]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 688601), 1.8, 2.22]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 688601), 14.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 688601), 31.0, 390.0]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 688601), 21.0, 44.0]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 688601), 14.0, 17.5]","[datetime.datetime(2022, 11, 28, 9, 50, 13, 688601), 4.6, 6.8]"
1,"[datetime.datetime(2022, 11, 28, 9, 50, 14, 853053), 5.5, 5.6]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 853053), 17.0, 140.0]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 853053), 21.0, 99999]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 853053), 1.8, 2.2]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 853053), 14.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 853053), 31.0, 390.0]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 853053), 21.0, 44.0]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 853053), 14.0, 17.5]","[datetime.datetime(2022, 11, 28, 9, 50, 14, 853053), 4.6, 6.8]"
2,"[datetime.datetime(2022, 11, 28, 9, 50, 16, 3020), 5.5, 5.6]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 3020), 17.0, 140.0]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 3020), 21.0, 99999]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 3020), 1.8, 2.22]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 3020), 14.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 3020), 31.0, 390.0]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 3020), 21.0, 44.0]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 3020), 14.0, 17.5]","[datetime.datetime(2022, 11, 28, 9, 50, 16, 3020), 4.6, 6.8]"
3,"[datetime.datetime(2022, 11, 28, 9, 50, 17, 169597), 5.5, 5.6]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 169597), 17.0, 140.0]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 169597), 21.0, 99999]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 169597), 1.8, 2.22]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 169597), 14.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 169597), 31.0, 380.0]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 169597), 21.0, 44.0]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 169597), 14.0, 17.5]","[datetime.datetime(2022, 11, 28, 9, 50, 17, 169597), 4.6, 6.8]"
4,"[datetime.datetime(2022, 11, 28, 9, 50, 18, 320524), 5.5, 5.6]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 320524), 17.0, 140.0]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 320524), 21.0, 99999]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 320524), 1.8, 2.22]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 320524), 14.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 320524), 31.0, 380.0]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 320524), 21.0, 44.0]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 320524), 14.0, 17.5]","[datetime.datetime(2022, 11, 28, 9, 50, 18, 320524), 4.6, 6.8]"
5,"[datetime.datetime(2022, 11, 28, 9, 50, 19, 518744), 5.5, 5.6]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 518744), 17.0, 140.0]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 518744), 21.0, 99999]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 518744), 1.8, 2.22]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 518744), 14.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 518744), 31.0, 380.0]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 518744), 21.0, 44.0]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 518744), 14.0, 17.5]","[datetime.datetime(2022, 11, 28, 9, 50, 19, 518744), 4.6, 6.8]"
6,"[datetime.datetime(2022, 11, 28, 9, 50, 20, 673511), 5.5, 5.6]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 673511), 17.0, 140.0]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 673511), 21.0, 99999]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 673511), 1.8, 2.22]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 673511), 14.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 673511), 31.0, 380.0]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 673511), 21.0, 44.0]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 673511), 14.0, 17.5]","[datetime.datetime(2022, 11, 28, 9, 50, 20, 673511), 4.6, 6.8]"
7,"[datetime.datetime(2022, 11, 28, 9, 50, 21, 843244), 5.5, 5.6]","[datetime.datetime(2022, 11, 28, 9, 50, 21, 843244), 17.0, 140.0]","[datetime.datetime(2022, 11, 28, 9, 50, 21, 843244), 21.0, 99999]","[datetime.datetime(2022, 11, 28, 9, 50, 21, 843244), 1.8, 2.2]","[datetime.datetime(2022, 11, 28, 9, 50, 21, 843244), 14.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 21, 843244), 31.0, 380.0]","[datetime.datetime(2022, 11, 28, 9, 50, 21, 843244), 21.0, 44.0]","[datetime.datetime(2022, 11, 28, 9, 50, 21, 843244), 14.0, 17.5]","[datetime.datetime(2022, 11, 28, 9, 50, 21, 843244), 4.6, 6.8]"
8,"[datetime.datetime(2022, 11, 28, 9, 50, 23, 6310), 5.5, 5.6]","[datetime.datetime(2022, 11, 28, 9, 50, 23, 6310), 17.0, 140.0]","[datetime.datetime(2022, 11, 28, 9, 50, 23, 6310), 21.0, 99999]","[datetime.datetime(2022, 11, 28, 9, 50, 23, 6310), 1.8, 2.2]","[datetime.datetime(2022, 11, 28, 9, 50, 23, 6310), 14.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 23, 6310), 31.0, 360.0]","[datetime.datetime(2022, 11, 28, 9, 50, 23, 6310), 21.0, 44.0]","[datetime.datetime(2022, 11, 28, 9, 50, 23, 6310), 14.0, 17.5]","[datetime.datetime(2022, 11, 28, 9, 50, 23, 6310), 4.6, 6.8]"
9,"[datetime.datetime(2022, 11, 28, 9, 50, 24, 166192), 5.5, 5.6]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 166192), 17.0, 140.0]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 166192), 21.0, 99999]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 166192), 1.8, 2.2]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 166192), 14.0, 30.0]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 166192), 31.0, 370.0]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 166192), 21.0, 44.0]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 166192), 14.0, 17.5]","[datetime.datetime(2022, 11, 28, 9, 50, 24, 166192), 4.6, 6.8]"
