,Goldstar Larson,Homebush Archie,Trousseau,Off Grid,Young Romeo,Made The Cut,Diamond Harmony
05-01-2023 13:23:45.717974,"(3.6, 5.2, 4.831578947368421)","(21.0, 210.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:23:46.796073,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:23:47.855667,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:23:49.128385,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:23:50.089560,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:23:51.148745,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:23:52.206598,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:23:53.250881,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:23:54.327623,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:23:55.381731,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:23:56.400042,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:23:57.365471,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:23:58.384698,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:23:59.379828,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:00.369219,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:01.283331,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:02.202120,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:03.169602,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
05-01-2023 13:24:04.150066,"(3.6, 5.2, 4.831578947368421)","(21.0, 220.0, 98.15384615384615)","(4.6, 9.8, 8.790476190476191)","(4.4, 9.6, 8.784615384615385)","(4.8, 7.6, 7.064285714285713)","(5.0, 8.4, 7.824)","(6.5, 12.5, 11.064285714285713)"
