,Exit Parking,Gemma Brann,Invest Wisely,Magpie Miss,Back Moo Moo,Cash Ability,Kulu Zac
10-01-2023 18:33:44.955819,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:33:45.951830,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:33:46.929073,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:33:47.989101,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:33:49.070552,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:33:50.086450,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:33:51.104876,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:33:52.063834,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:33:53.087163,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:33:54.099349,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:33:55.152872,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:33:56.120732,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:33:57.070321,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:33:58.077443,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 65.0, 42.599999999999994)"
10-01-2023 18:33:59.113741,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 65.0, 52.400000000000006)"
10-01-2023 18:34:00.135722,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 65.0, 40.266666666666666)"
10-01-2023 18:34:01.120576,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 60.0, 40.266666666666666)"
10-01-2023 18:34:02.066191,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 60.0, 40.266666666666666)"
10-01-2023 18:34:03.094126,"(31.0, 240.0, 130.94117647058823)","(5.5, 11.0, 7.466666666666667)","(9.0, 18.5, 15.533333333333333)","(3.4, 6.6, 4.659090909090909)","(7.5, 14.5, 11.326315789473684)","(1.9, 2.7, 2.1)","(21.0, 60.0, 40.266666666666666)"
