,Fascinate Donald,Farmor Rowdy,Wishing,Ambrosia Tux,Cosmic Billy,Bodacious Star
08-01-2023 19:01:10.640492,"(1.55, 2.06, 1.8974193548387097)","(14.0, 38.0, 20.75)","(16.0, 65.0, 59.0)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.8, 6.3533333333333335)"
08-01-2023 19:01:11.640896,"(1.55, 2.06, 1.9511627906976745)","(14.0, 38.0, 20.75)","(16.0, 65.0, 59.0)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.8, 6.3533333333333335)"
08-01-2023 19:01:12.666558,"(1.55, 2.06, 1.9511627906976745)","(14.0, 38.0, 20.75)","(16.0, 65.0, 59.0)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.8, 6.3533333333333335)"
08-01-2023 19:01:13.697247,"(1.55, 2.06, 1.8457142857142859)","(14.0, 38.0, 20.75)","(16.0, 65.0, 59.0)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.8, 5.908333333333333)"
08-01-2023 19:01:14.752037,"(1.55, 2.06, 1.8457142857142859)","(14.0, 38.0, 20.75)","(16.0, 65.0, 59.0)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.6, 6.95)"
08-01-2023 19:01:15.743460,"(1.55, 2.06, 1.8457142857142859)","(14.0, 38.0, 20.75)","(16.0, 65.0, 59.0)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.4, 6.95)"
08-01-2023 19:01:16.695300,"(1.55, 2.06, 1.9511627906976745)","(14.0, 38.0, 20.75)","(16.0, 65.0, 59.0)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.4, 6.95)"
08-01-2023 19:01:17.755497,"(1.55, 2.06, 1.9511627906976745)","(14.0, 38.0, 20.75)","(16.0, 65.0, 59.0)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.4, 6.95)"
08-01-2023 19:01:18.769187,"(1.55, 2.06, 1.9511627906976745)","(14.0, 38.0, 20.75)","(16.0, 65.0, 59.0)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.4, 6.95)"
08-01-2023 19:01:19.748597,"(1.55, 2.06, 1.8457142857142859)","(14.0, 38.0, 20.75)","(16.0, 65.0, 59.0)","(6.0, 15.0, 10.692307692307693)","(9.0, 19.5, 16.357142857142858)","(4.6, 7.8, 6.3533333333333335)"
