,Hot Milo,Homebush Altena,Homebush Noah,Homebush Reta,Senior Project,Goldstar Rio,Tane Mahuta,Know Beast
09-01-2023 11:11:48.440250,"(3.0, 8.6, 4.525925925925926)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:11:49.513621,"(3.0, 8.6, 4.525925925925926)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:11:50.662594,"(3.0, 8.6, 4.525925925925926)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:11:51.846334,"(3.0, 8.6, 4.525925925925926)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:11:53.002313,"(3.0, 8.6, 4.525925925925926)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:11:54.191203,"(3.0, 8.6, 4.525925925925926)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:11:55.363037,"(3.0, 8.6, 4.525925925925926)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:11:56.600369,"(3.0, 8.6, 4.525925925925926)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:11:57.802712,"(3.0, 8.6, 4.525925925925926)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:11:59.038027,"(3.0, 8.6, 4.525925925925926)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:00.281398,"(3.0, 8.6, 4.525925925925926)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:01.492596,"(3.0, 8.6, 4.525925925925926)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:02.674355,"(3.0, 8.6, 4.525925925925926)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:03.847957,"(3.0, 8.6, 4.525925925925926)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:05.041320,"(3.0, 8.6, 4.525925925925926)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:06.237219,"(3.0, 8.4, 5.161111111111111)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:07.372758,"(3.0, 8.4, 5.161111111111111)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:08.407728,"(3.0, 8.4, 5.161111111111111)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:09.409753,"(3.0, 8.4, 5.161111111111111)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:10.443126,"(3.0, 8.4, 5.161111111111111)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:11.482434,"(3.0, 8.4, 5.161111111111111)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:12.664583,"(3.0, 8.4, 5.161111111111111)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:13.858015,"(3.0, 8.4, 5.161111111111111)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:15.069239,"(3.0, 8.4, 5.161111111111111)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:16.257986,"(3.0, 8.4, 5.161111111111111)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:17.516754,"(3.0, 8.4, 5.161111111111111)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:18.815392,"(3.0, 8.4, 5.161111111111111)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:20.090147,"(3.0, 8.4, 5.161111111111111)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:21.320950,"(3.0, 8.4, 5.161111111111111)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:22.544250,"(3.0, 9.2, 5.472222222222221)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:23.759236,"(3.0, 9.2, 5.472222222222221)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
09-01-2023 11:12:24.986675,"(3.0, 9.2, 5.472222222222221)","(5.0, 19.5, 10.4375)","(21.0, 130.0, 52.11538461538461)","(8.5, 36.0, 27.0625)","(2.2, 3.55, 3.0495)","(21.0, 130.0, 52.80769230769231)","(20.0, 130.0, 66.94444444444444)","(13.0, 70.0, 62.6875)"
