,Titanium Power,Constant Flight,Snippy Fox,Much Much Better,Niffler,Munitions,Pizarro,Noble Soldier,Van Giz
07-01-2023 16:36:06.833392,"(8.5, 9.8, 9.540000000000001)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.515625)","(11.0, 15.5, 15.329545454545455)","(10.0, 11.0, 10.73076923076923)","(16.0, 19.0, 18.307692307692307)","(2.1, 2.52, 2.4610714285714286)","(9.0, 13.0, 12.714285714285714)","(8.5, 11.5, 11.368421052631579)"
07-01-2023 16:36:08.260851,"(8.5, 9.8, 9.540000000000001)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.515625)","(11.0, 15.5, 15.265625)","(10.0, 11.0, 10.73076923076923)","(16.0, 19.0, 18.307692307692307)","(2.1, 2.52, 2.462068965517241)","(9.0, 13.0, 12.75)","(8.5, 11.5, 11.368421052631579)"
07-01-2023 16:36:09.606735,"(8.5, 9.8, 9.540000000000001)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.515625)","(11.0, 15.5, 15.265625)","(10.0, 11.0, 10.73076923076923)","(16.0, 19.0, 18.307692307692307)","(2.1, 2.52, 2.462068965517241)","(9.0, 13.0, 12.75)","(8.5, 11.5, 11.368421052631579)"
07-01-2023 16:36:11.097622,"(8.5, 9.8, 9.540000000000001)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.515625)","(11.0, 15.5, 15.265625)","(10.0, 11.0, 10.73076923076923)","(16.0, 19.0, 18.307692307692307)","(2.1, 2.52, 2.459459459459459)","(9.0, 13.0, 12.75)","(8.5, 11.5, 11.368421052631579)"
07-01-2023 16:36:12.614182,"(8.5, 9.8, 9.540000000000001)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.515625)","(11.0, 15.5, 15.3125)","(10.0, 11.0, 10.73076923076923)","(16.0, 19.0, 18.307692307692307)","(2.1, 2.52, 2.459459459459459)","(9.0, 13.0, 12.75)","(8.5, 11.5, 11.368421052631579)"
07-01-2023 16:36:13.976033,"(8.5, 9.8, 9.540000000000001)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.515625)","(11.0, 15.5, 15.265625)","(10.0, 11.0, 10.73076923076923)","(16.0, 19.0, 18.307692307692307)","(2.1, 2.52, 2.459459459459459)","(9.0, 13.0, 12.75)","(8.5, 11.5, 11.368421052631579)"
07-01-2023 16:36:15.540240,"(8.5, 9.8, 9.540000000000001)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.515625)","(11.0, 15.5, 15.265625)","(10.0, 11.0, 10.511627906976745)","(16.0, 19.0, 18.307692307692307)","(2.1, 2.52, 2.446315789473684)","(9.0, 13.0, 12.75)","(8.5, 11.5, 11.368421052631579)"
07-01-2023 16:36:17.132182,"(8.5, 9.8, 9.655555555555555)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.515625)","(11.0, 15.5, 15.3125)","(10.0, 11.0, 10.596153846153847)","(16.0, 19.0, 18.217391304347824)","(2.1, 2.52, 2.3619188191881917)","(9.0, 13.0, 12.666666666666666)","(8.5, 11.5, 11.285714285714286)"
07-01-2023 16:36:18.839835,"(8.5, 9.8, 9.655555555555555)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.692307692307692)","(11.0, 15.5, 15.3125)","(10.0, 11.0, 10.596153846153847)","(16.0, 19.0, 18.217391304347824)","(2.1, 2.4, 2.3619188191881917)","(9.0, 13.0, 12.666666666666666)","(8.5, 11.5, 11.285714285714286)"
07-01-2023 16:36:20.389571,"(8.5, 9.8, 9.655555555555555)","(41.0, 80.0, 78.125)","(9.0, 13.5, 12.692307692307692)","(11.0, 15.5, 15.3125)","(10.0, 11.0, 10.596153846153847)","(16.0, 19.0, 17.434782608695652)","(2.1, 2.4, 2.3619188191881917)","(9.0, 13.0, 12.666666666666666)","(8.5, 11.5, 11.125)"
