,Kingscroft,Elegantly Wasted,Craigs Cruisin,Borneo Brave,Diesel Flyer,Black Elegance,Lornas Creek
11-01-2023 13:55:43.334259,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 87.77777777777777)","(31.0, 330.0, 63.6)"
11-01-2023 13:55:44.390787,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 87.77777777777777)","(31.0, 330.0, 63.6)"
11-01-2023 13:55:45.637010,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 87.77777777777777)","(31.0, 330.0, 63.6)"
11-01-2023 13:55:46.713850,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 87.77777777777777)","(31.0, 330.0, 63.6)"
11-01-2023 13:55:47.811802,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 87.77777777777777)","(31.0, 330.0, 63.6)"
11-01-2023 13:55:48.891598,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 87.77777777777777)","(31.0, 330.0, 126.46153846153847)"
11-01-2023 13:55:49.928788,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 87.77777777777777)","(31.0, 330.0, 164.625)"
11-01-2023 13:55:51.008958,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 87.77777777777777)","(31.0, 330.0, 164.625)"
11-01-2023 13:55:52.261342,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 87.77777777777777)","(31.0, 330.0, 164.625)"
11-01-2023 13:55:53.385191,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 87.77777777777777)","(31.0, 330.0, 164.625)"
11-01-2023 13:55:54.550242,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 87.77777777777777)","(31.0, 330.0, 164.625)"
11-01-2023 13:55:55.766252,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 87.77777777777777)","(31.0, 330.0, 164.625)"
11-01-2023 13:55:56.962307,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 87.77777777777777)","(31.0, 330.0, 164.625)"
11-01-2023 13:55:58.019978,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 87.77777777777777)","(31.0, 330.0, 164.625)"
11-01-2023 13:55:59.062661,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 87.77777777777777)","(31.0, 330.0, 164.625)"
11-01-2023 13:56:00.000255,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 87.77777777777777)","(31.0, 330.0, 164.625)"
11-01-2023 13:56:00.975596,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 87.77777777777777)","(31.0, 330.0, 164.625)"
11-01-2023 13:56:02.018452,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 227.17647058823528)","(31.0, 330.0, 164.625)"
11-01-2023 13:56:03.020134,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 227.17647058823528)","(31.0, 330.0, 164.625)"
11-01-2023 13:56:04.050005,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 227.17647058823528)","(31.0, 330.0, 164.625)"
11-01-2023 13:56:05.142472,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 227.17647058823528)","(31.0, 330.0, 164.625)"
11-01-2023 13:56:06.231071,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 227.17647058823528)","(31.0, 330.0, 164.625)"
11-01-2023 13:56:07.231427,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 227.17647058823528)","(31.0, 330.0, 164.625)"
11-01-2023 13:56:08.336135,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 619.1666666666666)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 217.0)","(31.0, 330.0, 164.625)"
11-01-2023 13:56:09.534449,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 410.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 24.0)","(41.0, 390.0, 217.0)","(31.0, 330.0, 164.625)"
11-01-2023 13:56:10.604220,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 51.0)","(101.0, 730.0, 410.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 217.0)","(31.0, 330.0, 164.625)"
11-01-2023 13:56:11.636406,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 410.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 217.0)","(31.0, 330.0, 164.625)"
11-01-2023 13:56:12.729238,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 410.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 217.0)","(31.0, 330.0, 67.2)"
11-01-2023 13:56:13.702089,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 410.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 217.0)","(31.0, 330.0, 67.2)"
11-01-2023 13:56:14.845516,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 410.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 217.0)","(31.0, 330.0, 67.2)"
11-01-2023 13:56:16.210993,"(2.0, 3.15, 2.3676923076923075)","(16.0, 65.0, 44.0)","(101.0, 730.0, 410.0)","(1.65, 2.46, 1.9026666666666667)","(15.0, 40.0, 23.384615384615387)","(41.0, 390.0, 217.0)","(31.0, 330.0, 67.2)"
